VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES
PX890202_Thrombosis_Venous_Thrombosis_Start,Does the participant/subject have a history of the following medical problems/conditions? Thrombosis Start Date,DCW_890202.doc,date,,,,,,,PhenX,PX890202010100,,,,,
PX890202_Thrombosis_Venous_Thrombosis_Ongoing,Does the participant/subject have a history of the following medical problems/conditions? Thrombosis Ongoing,DCW_890202.doc,integer,,0,1,,,,PhenX,PX890202010200,,,,,
PX890202_Thrombosis_Venous_Thrombosis_End,Does the participant/subject have a history of the following medical problems/conditions? Thrombosis End Date,DCW_890202.doc,date,,,,,,,PhenX,PX890202010300,,,,,
PX890202_Thrombosis_Venous_DVT_Start,Does the participant/subject have a history of the following medical problems/conditions? DVT Start Date,DCW_890202.doc,date,,,,,,,PhenX,PX890202020100,,,,,
PX890202_Thrombosis_Venous_DVT_Ongoing,Does the participant/subject have a history of the following medical problems/conditions? DVT Ongoing,DCW_890202.doc,integer,,0,1,,,,PhenX,PX890202020200,,,,,
PX890202_Thrombosis_Venous_DVT_End,Does the participant/subject have a history of the following medical problems/conditions? DVT End Date,DCW_890202.doc,date,,,,,,,PhenX,PX890202020300,,,,,
PX890202_Thrombosis_Venous_Pulmonary Embolism_Start,Does the participant/subject have a history of the following medical problems/conditions? Pulmonary Embolism Start Date,DCW_890202.doc,date,,,,,,,PhenX,PX890202030100,,,,,
PX890202_Thrombosis_Venous_Pulmonary Embolism_Ongoing,Does the participant/subject have a history of the following medical problems/conditions? Pulmonary Embolism Ongoing,DCW_890202.doc,integer,,0,1,,,,PhenX,PX890202030200,,,,,
PX890202_Thrombosis_Venous_Pulmonary Embolism_End,Does the participant/subject have a history of the following medical problems/conditions? Pulmonary Embolism End Date,DCW_890202.doc,date,,,,,,,PhenX,PX890202030300,,,,,
PX890202_Thrombosis_Venous_Other_VTE_Start,Does the participant/subject have a history of the following medical problems/conditions? Other VTE Start Date,DCW_890202.doc,date,,,,,,,PhenX,PX890202040100,,,,,
PX890202_Thrombosis_Venous_Other_VTE_Ongoing,Does the participant/subject have a history of the following medical problems/conditions? Other VTE Ongoing,DCW_890202.doc,integer,,0,1,,,,PhenX,PX890202040200,,,,,
PX890202_Thrombosis_Venous_Other_VTE_End,Does the participant/subject have a history of the following medical problems/conditions? Other VTE End Date,DCW_890202.doc,date,,,,,,,PhenX,PX890202040300,,,,,
PX890202_Thrombosis_Venous_Specify_VTE_Start,Does the participant/subject have a history of the following medical problems/conditions? Specify VTE Start Date,DCW_890202.doc,date,,,,,,,PhenX,PX890202050100,,,,,
PX890202_Thrombosis_Venous_Specify_VTE_Ongoing,Does the participant/subject have a history of the following medical problems/conditions? Specify VTE Ongoing,DCW_890202.doc,integer,,0,1,,,,PhenX,PX890202050200,,,,,
PX890202_Thrombosis_Venous_Specify_VTE_End,Does the participant/subject have a history of the following medical problems/conditions? Specify VTE End Date,DCW_890202.doc,date,,,,,,,PhenX,PX890202050300,,,,,
PX890202_Thrombosis_Venous_Specify_VTE_Name,Does the participant/subject have a history of the following medical problems/conditions? Specify VTE,DCW_890202.doc,string,,,,,"ASK IF ""Does the participant/subject have a history of the following medical problems/conditions? Specify VTE Start Date"" != """"",,PhenX,PX890202050400,,,,,
