VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,
PX270101_Access_Health_Services_Last_Seen_Doctor,About how long has it been since you last saw a doctor or other health care professional about your health?,DCW_270101.doc,encoded values,,,,,,,PhenX,PX270101010000,,,,,0 = Never,1 = Within the past year (anytime less than 12 months ago) ,2 = Within the last 2 years (1 year but less than 2 years ago),3 = Within the last 3 years (2 years but less than 3 years ago),4 = Within the last 5 years (3 years but less than 5 years ago),5 = Within the last 10 years (5 years but less than 10 years ago),6 = 10 years ago or more,7 = Refused ,9 = Don't know
PX270101_Access_Health_Services_Purpose_Visit,"Was this a wellness visit, physical, or general purpose check-up?",DCW_270101.doc,encoded values,,,,,ASK IF Q1 = 1 OR Q1 = 2 OR Q1 = 3 OR Q1 = 4 OR Q1 = 5 OR Q1 = 6,,PhenX,PX270101020000,,,,,1 = Yes ,2 = No ,7 = Don't know ,9 = Refused ,,,,,
PX270101_Access_Health_Services_How_Long_Since_Wellness_Visit,"About how long has it been since you last saw a doctor or other health professional for a wellness visit, physical, or general purpose check-up?",DCW_270101.doc,encoded values,,,,,ASK IF Q2 = 2 OR Q2 = 7 OR Q2 = 9,,PhenX,PX270101030000,,,,,0 = Never,1 = Within the past year (anytime less than 12 months ago) ,2 = Within the last 2 years (1 year but less than 2 years ago),3 = Within the last 3 years (2 years but less than 3 years ago),4 = Within the last 5 years (3 years but less than 5 years ago),5 = Within the last 10 years (5 years but less than 10 years ago),6 = 10 years ago or more,7 =  Refused ,9 = Don't know 
PX270101_Access_Health_Services_Usual_Place_Health_Care,Is there a place that you USUALLY go to if you are sick and need health care?,DCW_270101.doc,encoded values,,,,,ASK IF Q1 = 0 OR Q1 = 7 OR Q1 = 9 & OR Q2 = 1,,PhenX,PX270101040000,,,,,1 = Yes ,2 = There is NO place,3 = There is MORE THAN ONE place,7 = Refused ,9 = Don't know ,,,,
PX270101_Access_Health_Services_Health_Care_Most_Often,"What kind of place is it/do you go to most often - a doctor's office or health center; an urgent care center, a clinic in a drug store or grocery store; a hospital emergency room; a VA Medical Center or VA outpatient clinic; or some other place? Read if necessary: A doctor's office or health center is a place where you see the same doctor or the same group of doctors every visit, where you usually need to make an appointment ahead of time, and where your medical records are on file. Read if necessary: Urgent care centers and clinics in a drug store or grocery store are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit.",DCW_270101.doc,encoded values,,,,,ASK IF Q4 = 1 OR Q4 = 3 OR Q4 = 7 OR Q4 = 9,,PhenX,PX270101050000,,,,,1 = A doctor's office or health center,"2 = Walk-in clinic, urgent care center, or retail clinic in a pharmacy or grocery store",3 = Emergency room,4 = A VA Medical Center or VA outpatient clinic,5 = Some other place,6 = Does not go to one place most often ,7 = Refused ,9 = Don't know ,
PX270101_Access_Health_Services_Past_12_Months_Urgent_Care,"During the past 12 months, how many times have you gone to an urgent care center or a clinic in a drug store or grocery store about your health? Read if necessary: Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. Read if necessary: This is different from a hospital emergency room. Enter 96 if number of times is 96 or more.",DCW_270101.doc,integer,,0,96,,ASK IF Q4 = 2 OR Q6.1 = 40-96,,PhenX,PX270101060100,,,,,,,,,,,,,
PX270101_Access_Health_Services_Past_12_Months_Urgent_Care_Encoded,"During the past 12 months, how many times have you gone to an urgent care center or a clinic in a drug store or grocery store about your health? Read if necessary: Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. Read if necessary: This is different from a hospital emergency room. Enter 96 if number of times is 96 or more.",DCW_270101.doc,encoded values,,,,,ASK IF Q4 = 2 OR Q6.1 = 40-96,,PhenX,PX270101060200,,,,,97 = Refused ,99 = Don't know,,,,,,,
PX270101_Access_Health_Services_Past_12_Months_Hospitalized _Overnight,"During the past 12 months, have you been hospitalized overnight?",DCW_270101.doc,encoded values,,,,,,,PhenX,PX270101080000,,,,,1 = Yes ,2 = No ,7 = Refused ,9 = Don't know,,,,,
PX270101_Access_Health_Services_Delayed_Medical_Care,"During the past 12 months, have you DELAYED getting medical care because of the cost?",DCW_270101.doc,encoded values,,,,,,,PhenX,PX270101090000,,,,,1 = Yes ,2 = No ,7 = Refused ,9 = Don't know,,,,,
PX270101_Access_Health_Services_Cost,"During the past 12 months, was there any time when you needed medical care, but DID NOT GET IT because of the cost?",DCW_270101.doc,encoded values,,,,,,,PhenX,PX270101100000,,,,,1 = Yes ,2 = No ,7 = Refused ,9 = Don't know,,,,,
