"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX321101_Supportive_Care_Needs_Cancer_Last_Month_Pain","In the last month, which was your level of need for help with: Pain","DCW_321101.doc","encoded values","","","","","","","PhenX","PX321101010000","","","","","1 = Not applicable","2 = Satisfied","3 = Low need","4 = Moderate need","5 = High need","","","","","",""
"PX321101_Supportive_Care_Needs_Cancer_Last_Month_Energy","In the last month, which was your level of need for help with: Lack of energy/ tiredness","DCW_321101.doc","encoded values","","","","","","","PhenX","PX321101020000","","","","","1 = Not applicable","2 = Satisfied","3 = Low need","4 = Moderate need","5 = High need","","","","","",""
"PX321101_Supportive_Care_Needs_Cancer_Last_Month_Feel_Unwell","In the last month, which was your level of need for help with: Feeling unwell a lot of the time","DCW_321101.doc","encoded values","","","","","","","PhenX","PX321101030000","","","","","1 = Not applicable","2 = Satisfied","3 = Low need","4 = Moderate need","5 = High need","","","","","",""
"PX321101_Supportive_Care_Needs_Cancer_Last_Month_Work_Around_Home","In the last month, which was your level of need for help with: Work around the home","DCW_321101.doc","encoded values","","","","","","","PhenX","PX321101040000","","","","","1 = Not applicable","2 = Satisfied","3 = Low need","4 = Moderate need","5 = High need","","","","","",""
"PX321101_Supportive_Care_Needs_Cancer_Last_Month_Unable_Do_Things","In the last month, which was your level of need for help with: Not being able to do the things you used to do","DCW_321101.doc","encoded values","","","","","","","PhenX","PX321101050000","","","","","1 = Not applicable","2 = Satisfied","3 = Low need","4 = Moderate need","5 = High need","","","","","",""
"PX321101_Supportive_Care_Needs_Cancer_Last_Month_Anxiety","In the last month, which was your level of need for help with: Anxiety","DCW_321101.doc","encoded values","","","","","","","PhenX","PX321101060000","","","","","1 = Not applicable","2 = Satisfied","3 = Low need","4 = Moderate need","5 = High need","","","","","",""
"PX321101_Supportive_Care_Needs_Cancer_Last_Month_Depressed","In the last month, which was your level of need for help with: Feeling down or depressed","DCW_321101.doc","encoded values","","","","","","","PhenX","PX321101070000","","","","","1 = Not applicable","2 = Satisfied","3 = Low need","4 = Moderate need","5 = High need","","","","","",""
"PX321101_Supportive_Care_Needs_Cancer_Last_Month_Sadness","In the last month, which was your level of need for help with: Feelings of sadness","DCW_321101.doc","encoded values","","","","","","","PhenX","PX321101080000","","","","","1 = Not applicable","2 = Satisfied","3 = Low need","4 = Moderate need","5 = High need","","","","","",""
"PX321101_Supportive_Care_Needs_Cancer_Last_Month_Fear_Cancer_Spreading","In the last month, which was your level of need for help with: Fears about the cancer spreading","DCW_321101.doc","encoded values","","","","","","","PhenX","PX321101090000","","","","","1 = Not applicable","2 = Satisfied","3 = Low need","4 = Moderate need","5 = High need","","","","","",""
"PX321101_Supportive_Care_Needs_Cancer_Last_Month_Treatment_Effect","In the last month, which was your level of need for help with: Worry that the results of treatment are beyond your control","DCW_321101.doc","encoded values","","","","","","","PhenX","PX321101100000","","","","","1 = Not applicable","2 = Satisfied","3 = Low need","4 = Moderate need","5 = High need","","","","","",""
