VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,
PX280801_Affordability_Problems_Access_Prescriptions_Delay_Cost,"Please think about the last 12 months, that is, between {MONTH YEAR-1} and today. {{Have you/Has{PERSON}} delayed getting prescription medicines} because of worry about the cost?",DCW_280801.doc,enumerated,,,,,,,PhenX,PX280801010000,,,,,Yes,No,Refused,Don't know
PX280801_Affordability_Problems_Access_Prescriptions_Delay_Cost_Who_1,Who was that? PROBE: Did anyone else delay getting prescription medicines because of worry about the cost? ENTER ALL THAT APPLY. Full Name 1,DCW_280801.doc,string,,,,,"ASK IF ""Please think about the last 12 months, that is, between {MONTH YEAR-1} and today. {{Have you/Has{PERSON}} delayed getting prescription medicines} because of worry about the cost?"" = ""Yes""",,PhenX,PX280801020100,,,,,,,,
PX280801_Affordability_Problems_Access_Prescriptions_Delay_Cost_Who_2,Who was that? PROBE: Did anyone else delay getting prescription medicines because of worry about the cost? ENTER ALL THAT APPLY. Full Name 2,DCW_280801.doc,string,,,,,"ASK IF ""Please think about the last 12 months, that is, between {MONTH YEAR-1} and today. {{Have you/Has{PERSON}} delayed getting prescription medicines} because of worry about the cost?"" = ""Yes""",,PhenX,PX280801020200,,,,,,,,
PX280801_Affordability_Problems_Access_Prescriptions_Delay_Cost_Who_3,Who was that? PROBE: Did anyone else delay getting prescription medicines because of worry about the cost? ENTER ALL THAT APPLY. Full Name 3,DCW_280801.doc,string,,,,,"ASK IF ""Please think about the last 12 months, that is, between {MONTH YEAR-1} and today. {{Have you/Has{PERSON}} delayed getting prescription medicines} because of worry about the cost?"" = ""Yes""",,PhenX,PX280801020300,,,,,,,,
PX280801_Affordability_Problems_Access_Prescriptions_Delay_Cost_Who_4,Who was that? PROBE: Did anyone else delay getting prescription medicines because of worry about the cost? ENTER ALL THAT APPLY. Full Name 4,DCW_280801.doc,string,,,,,"ASK IF ""Please think about the last 12 months, that is, between {MONTH YEAR-1} and today. {{Have you/Has{PERSON}} delayed getting prescription medicines} because of worry about the cost?"" = ""Yes""",,PhenX,PX280801020400,,,,,,,,
PX280801_Affordability_Problems_Access_Prescriptions_Delay_Cost_Who_5,Who was that? PROBE: Did anyone else delay getting prescription medicines because of worry about the cost? ENTER ALL THAT APPLY. Full Name 5,DCW_280801.doc,string,,,,,"ASK IF ""Please think about the last 12 months, that is, between {MONTH YEAR-1} and today. {{Have you/Has{PERSON}} delayed getting prescription medicines} because of worry about the cost?"" = ""Yes""",,PhenX,PX280801020500,,,,,,,,
PX280801_Affordability_Problems_Access_Prescriptions_Not_Afford,"In the last 12 months, was there any time when {{you/{PERSON}}/anyone in the household} needed prescription medicines, but did not get them because {{you/he/she}/they} couldn<U+0092>t afford it?",DCW_280801.doc,enumerated,,,,,"ASK IF ""Please think about the last 12 months, that is, between {MONTH YEAR-1} and today. {{Have you/Has{PERSON}} delayed getting prescription medicines} because of worry about the cost?"" = ""No"" OR ""Please think about the last 12 months, that is, between {MONTH YEAR-1} and today. {{Have you/Has{PERSON}} delayed getting prescription medicines} because of worry about the cost?"" = ""Refused"" OR ""Please think about the last 12 months, that is, between {MONTH YEAR-1} and today. {{Have you/Has{PERSON}} delayed getting prescription medicines} because of worry about the cost?"" = ""Don't know""",,PhenX,PX280801030000,,,,,Yes,No,Refused,Don't know
PX280801_Affordability_Problems_Access_Prescriptions_Not_Afford_Who_1,Who was that? PROBE: Did anyone else need prescription medicines but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 1,DCW_280801.doc,string,,,,,"ASK IF ""In the last 12 months, was there any time when {{you/{PERSON}}/anyone in the household} needed prescription medicines, but did not get them because {{you/he/she}/they} couldn't afford it?"" = ""Yes""",,PhenX,PX280801040100,,,,,,,,
PX280801_Affordability_Problems_Access_Prescriptions_Not_Afford_Who_2,Who was that? PROBE: Did anyone else need prescription medicines but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 2,DCW_280801.doc,string,,,,,"ASK IF ""In the last 12 months, was there any time when {{you/{PERSON}}/anyone in the household} needed prescription medicines, but did not get them because {{you/he/she}/they} couldn't afford it?"" = ""Yes""",,PhenX,PX280801040200,,,,,,,,
PX280801_Affordability_Problems_Access_Prescriptions_Not_Afford_Who_3,Who was that? PROBE: Did anyone else need prescription medicines but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 3,DCW_280801.doc,string,,,,,"ASK IF ""In the last 12 months, was there any time when {{you/{PERSON}}/anyone in the household} needed prescription medicines, but did not get them because {{you/he/she}/they} couldn't afford it?"" = ""Yes""",,PhenX,PX280801040300,,,,,,,,
