VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,
PX281101_Healthcare_Communications_Doctor_Instructions_Illness_Condition,"In the last 12 months, did a doctor or other health provider give you instructions about what to do about a specific illness or health condition?",DCW_281101.doc,enumerated values,,,,,,,PhenX,PX281101010000,,,,,Yes,No,,,
PX281101_Healthcare_Communications_Doctor_Instructions_Illness_Condition_Understand,"In the last 12 months, how often were these instructions easy to understand?",DCW_281101.doc,enumerated values,,,,,"ASK IF ""In the last 12 months, did a doctor or other health provider give you instructions about what to do about a specific illness or health condition?"" = ""Yes""",,PhenX,PX281101020000,,,,,Never,Sometimes,Usually,Always,
PX281101_Healthcare_Communications_Doctor_Instructions_Illness_Condition_Describe_Follow,"In the last 12 months, how often did doctors or other health providers ask you to describe how you were going to follow these instructions?",DCW_281101.doc,enumerated values,,,,,"ASK IF ""In the last 12 months, did a doctor or other health provider give you instructions about what to do about a specific illness or health condition?"" = ""Yes""",,PhenX,PX281101030000,,,,,Never,Sometimes,Usually,Always,
PX281101_Healthcare_Communications_Sign_Forms_Doctor_Office,"In the last 12 months, did you have to fill out or sign any forms at a doctor's or other health provider's office?",DCW_281101.doc,enumerated values,,,,,,,PhenX,PX281101040000,,,,,Yes,No,,,
PX281101_Healthcare_Communications_Sign_Forms_Doctor_Office_Help,"In the last 12 months, how often were you offered help in filling out a form at the doctor's or other health provider's office?",DCW_281101.doc,enumerated values,,,,,"ASK IF ""In the last 12 months, did you have to fill out or sign any forms at a doctor's or other health provider's office?"" = ""Yes""",,PhenX,PX281101050000,,,,,Never,Sometimes,Usually,Always,
PX281101_Healthcare_Communications_Doctor_Explain_Easy_Understand,"In the last 12 months, how often did doctors or other health professionals explain things in a way that was easy to understand?",DCW_281101.doc,enumerated values,,,,,,,PhenX,PX281101060000,,,,,Never,Sometimes,Usually,Always,
PX281101_Healthcare_Communications_Doctor_Listen_Carefully,"In the last 12 months, how often did doctors or other health professionals listen carefully to you?",DCW_281101.doc,enumerated values,,,,,,,PhenX,PX281101070000,,,,,Never,Sometimes,Usually,Always,
PX281101_Healthcare_Communications_Doctor_Show_Respect,"In the last 12 months, how often did doctors or other health professionals show respect for what you had to say?",DCW_281101.doc,enumerated values,,,,,,,PhenX,PX281101080000,,,,,Never,Sometimes,Usually,Always,
PX281101_Healthcare_Communications_Doctor_Spend_Time,"In the last 12 months, how often did doctors or other health professionals spend enough time with you?",DCW_281101.doc,enumerated values,,,,,,,PhenX,PX281101090000,,,,,Never,Sometimes,Usually,Always,
PX281101_Healthcare_Communications_Specialist_Appointment,"Specialists are doctors like surgeons, heart doctors, allergy doctors, skin doctors, and other doctors who specialize in one area of health care. In the last 12 months, did you make any appointments to see a specialist?",DCW_281101.doc,enumerated values,,,,,,,PhenX,PX281101100000,,,,,Yes,No,,,
PX281101_Healthcare_Communications_Specialist_Appointment_Needed,"In the last 12 months, how often did you get an appointment to see a specialist as soon as you needed?",DCW_281101.doc,enumerated values,,,,,"ASK IF ""Specialists are doctors like surgeons, heart doctors, allergy doctors, skin doctors, and other doctors who specialize in one area of health care. In the last 12 months, did you make any appointments to see a specialist?"" = ""Yes""",,PhenX,PX281101110000,,,,,Never,Sometimes,Usually,Always,
PX281101_Healthcare_Communications_Complete_Date,Date Completed,DCW_281101.doc,date,,,,,,,PhenX,PX281101120000,,,,,,,,,
PX281101_Healthcare_Communications_Complete_Date_Who,Who completed this form?,DCW_281101.doc,enumerated values,,,,,,,PhenX,PX281101130000,,,,,Person named on front of this form,Someone else,,,
PX281101_Healthcare_Communications_Complete_Date_Who_Relationship,"If Someone Else, what is person's relationship to the person named on the front of this form?",DCW_281101.doc,enumerated values,,,,,"ASK IF ""Who completed this form?"" = \Someone else""""",,PhenX,PX281101140000,,,,,Husband or wife,Unmarried partner,Son or daughter,Other relative,Not related
