"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX320201_Chronic_Medical_Conditions_Self_Reported_Heart_Disease_Problem","Do you have the problem? Heart disease","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201010000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_High_Blood_Pressure_Problem","Do you have the problem? High blood pressure","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201020000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Lung_Disease_Problem","Do you have the problem? Lung disease","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201030000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Diabetes_Problem","Do you have the problem? Diabetes","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201040000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Ulcer_Stomach_Disease_Problem","Do you have the problem? Ulcer or stomach disease","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201050000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Kidney_Disease_Problem","Do you have the problem? Kidney disease","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201060000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Liver_Disease_Problem","Do you have the problem? Liver disease","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201070000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Anemia_Other_Blood_Disease_Problem","Do you have the problem? Anemia or other blood disease","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201080000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Cancer_Problem","Do you have the problem? Cancer","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201090000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Depression_Problem","Do you have the problem? Depression","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201100000","","","","","0 = No","1 = Yes","","","","","","","","",""
"PX320201_Chronic_Medical_Conditions_Self_Reported_Osteoarthritis_Degenerative_Arthritis_Problem","Do you have the problem? Osteoarthritis, degenerative arthritis","DCW_320201.doc","encoded values","","","","","","","PhenX","PX320201110000","","","","","0 = No","1 = Yes","","","","","","","","",""
