VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Date_Admission,Date of admission to Labor and Delivery,DCW_241302.doc,date,,,,,,,PhenX,PX241302010000,,,,,,,,,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Time_Admission,Time of admission,DCW_241302.doc,string,,,,,,,PhenX,PX241302020000,,,,,,,,,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Reason_Admission,Indication for admission (check 1),DCW_241302.doc,encoded values,,,,,,,PhenX,PX241302030000,,,,,0 = Postpartum admission after home or in-transit delivery,1 = Spontaneous labor,2 = Spontaneous ROM (rupture of membranes),3 = Induction,4 = Cesarean,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Membrane_Rupture_Type,If the patient has both spontaneous ROM and spontaneous labor she should be coded as 1 - spontaneous labor. Do not use codes 3 or 4 unless she is being admitted for a planned induction or cesarean. Type of membrane rupture,DCW_241302.doc,encoded values,,,,,,,PhenX,PX241302040000,,,,,1 = Spontaneous,2 = Artificial,,,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Labor_Type,Type of labor,DCW_241302.doc,encoded values,,,,,,,PhenX,PX241302050000,,,,,0 = No labor,1 = Spontaneous,"2 = Spontaneous, augmented",3 = Induced,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Induction_Indications,Indication(s) for induction (check all that apply),DCW_241302.doc,encoded values,,,,,,,PhenX,PX241302060100,,,,,01 = Elective,02 = Post-dates,03 = IUGR (intrauterine growth restriction),04 = Oligohydramnios,05 = Non-reassuring fetal status,06 = Abruption,07 = Hypertension or preeclampsia,08 = Chorioamnionitis,09 = PROM (premature (or prolonged) rupture of membranes),10 = Macrosomia,99 = Other,
PX241302_Mode_Delivery_Medical_Records_Induction_Indications_Other,"Indication(s) for induction (check all that apply). If coded 99, Specify",DCW_241302.doc,string,,,,,,,PhenX,PX241302060200,,,,,,,,,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Date_Delivery,Date of delivery (mm-dd-yyyy),DCW_241302.doc,date,,,,,,,PhenX,PX241302070000,,,,,,,,,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Time_Delivery,Time of delivery,DCW_241302.doc,string,,,,,,,PhenX,PX241302080000,,,,,,,,,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Delivery_Type,Successful delivery type,DCW_241302.doc,encoded values,,,,,,,PhenX,PX241302090000,,,,,1 = Spontaneous vaginal,2 = Forceps vaginal,3 = Vacuum vaginal,4 = Cesarean,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Primary_Indication_Vaginal_Cesarean,Record the primary indication for vaginal or cesarean delivery,DCW_241302.doc,encoded values,,,,,,,PhenX,PX241302100101,,,,,1 = Non-reassuring fetal status,2 = Dystocia,3 = Abnormal presentation,4 = Placental abruption,5 = Umbilical cord prolapse,6 = Suspected Macrosomia,7 = Preeclampsia or hypertension,8 = Maternal exhaustion,9 = Other,,,
PX241302_Mode_Delivery_Medical_Records_Primary_Indication_Vaginal_Cesarean_Other,"Record the primary indication for vaginal or cesarean delivery. If coded 9, Specify",DCW_241302.doc,string,,,,,,,PhenX,PX241302100102,,,,,,,,,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Secondary_Indications,List up to 3 secondary indications,DCW_241302.doc,encoded values,,,,,,,PhenX,PX241302100201,,,,,0 = No other indications,1 = Non-reassuring fetal status,2 = Dystocia,3 = Abnormal presentation,4 = Placental abruption,5 = Umbilical cord prolapse,6 = Suspected Macrosomia,7 = Preeclampsia or hypertension,8 = Maternal exhaustion,9 = Other,,
PX241302_Mode_Delivery_Medical_Records_Secondary_Indications_Other,"List up to 3 secondary indications. If coded 9, Specify",DCW_241302.doc,string,,,,,,,PhenX,PX241302100202,,,,,,,,,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Vacuum_Vaginal_Extraction,Vaginal vacuum extraction attempted,DCW_241302.doc,enumerated,,,,,,,PhenX,PX241302110000,,,,,Yes,No,,,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Vaginal_Forceps,Vaginal forceps attempted,DCW_241302.doc,enumerated,,,,,,,PhenX,PX241302120000,,,,,Yes,No,,,,,,,,,,
PX241302_Mode_Delivery_Medical_Records_Initiating_Event_Delivery,"Initiating event of delivery (complete for all deliveries of 16+ weeks, regardless of gestational age)",DCW_241302.doc,encoded values,,,,,,,PhenX,PX241302130000,,,,,0 = Spontaneous labor with delivery (regardless of route of delivery),1 = PROM leading to spontaneous labor (regardless of route of delivery),2 = PROM leading to induction of labor or C-section without labor,"3 = Indicated delivery, not spontaneous labor or spontaneous PROM",8 = Not documented,9 = Records missing,,,,,,
