VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Collection,Were the sample collection procedures outlined in Lippi et al. (2012) followed?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201010100,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Collection_Venous_Statsis,Were steps taken to prevent prolonged venous stasis?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201010200,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Collection_Nonhemolyzed,Were nonhemolyzed samples collected?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201010300,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Collection_Blood_Draw,Was the order of blood draw recorded?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201010400,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Collection_Tubes,Were collection tubes filled and mixed?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201010500,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Collection_Venipuncture,Was blood collected by direct venipuncture into 3.2% sodium citrate tubes?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201010600,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Collection_Tubes_Filled,Were the tubes filled within 11% of the fill line?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201010700,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Collection_Tubes_Second,Was a second tube collected?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201010800,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Collection_Tubes_Winged,Was a winged butterfly collection system used?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201010900,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Collection_Tubes_Discard,Was a discard tube drawn?,DCW_911201.doc,enumerated,,,,,ASK IF Q1.9=YES,,PhenX,PX911201011000,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing,Were the sample collection and processing procedures outlined in Adcock Funk et al. (2012) followed?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201020100,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing_Sodium_Citrate,Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201020200,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing_Refrigerated,Were samples refrigerated or stored on ice or in an ice bath?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201020300,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing_Transportation,Were samples transported vertically?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201020400,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing_Agitation,Were samples agitated during transportation?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201020500,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing_Storage_Unprocessed,Were samples stored as unprocessed sodium citrate whole blood samples?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201020600,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing_Storage_Whole_Blood,Were samples stored as whole blood samples centrifuged and maintained in sodium citrate tubes?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201020700,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing_Storage_Plasma,Were samples stored as plasma processed by centrifugation and aliquoting into a second tube?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201020800,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing_Platelet_Poor_Plasma,Were samples processed to platelet poor plasma (PPP) within 1 hour of collection?,DCW_911201.doc,enumerated,,,,,ASK IF Q2.7=YES OR Q2.8=YES,,PhenX,PX911201020900,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing_Assayed,Were samples assayed within 4 hours of collection?,DCW_911201.doc,enumerated,,,,,ASK IF Q2.7=YES OR Q2.8=YES,,PhenX,PX911201021000,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing_Centrifuge_Validated,"Was the centrifuge validated so that process results in less than 10,000 platelets/microliter ",DCW_911201.doc,enumerated,,,,,ASK IF Q2.7=YES OR Q2.8=YES,,PhenX,PX911201021100,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing_Frozen,Was the sample frozen immediately and stored at -20 C for at most 2 weeks?,DCW_911201.doc,enumerated,,,,,ASK IF Q2.7=YES OR Q2.8=YES,,PhenX,PX911201021200,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Sample_Processing_Deep_Freeze,"Was the sample transferred to <= -70 C, including shipment?",DCW_911201.doc,enumerated,,,,,ASK IF Q2.7=YES OR Q2.8=YES,,PhenX,PX911201021300,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_One_Stage_Clotting_Factor_Assay_Changes,Were any changes made in the protocol over the course of the study?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201030100,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_One_Stage_Clotting_Factor_Assay_Record,"Were the make and manufacturer of equipment, repeatability and coefficients of variation for the assay, and the reagents used recorded?",DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201030200,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Pharmacokinetic_Study,"Were the parameters outlined by the International Society on Thrombosis and Haemostasis Subcommittee on Factor VIII, Factor VIII and Rare Coagulation Disorders (Iorio et al., 2017) followed?",DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201040100,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Pharmacokinetic_Study_Infusion_Baseline,Was Factor VIII activity tested before infusion (baseline)?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201040200,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Pharmacokinetic_Study_After_Infusion_Hours_4,Was Factor VIII activity tested 4-8 hour after infusion?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201040300,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Pharmacokinetic_Study_After_Infusion_Hours_16,Was Factor VIII activity tested 16-28 hours after infusion?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201040400,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Pharmacokinetic_Study_After_Infusion_Hours_40,Was Factor VIII activity tested 40-60 hours after infusion?,DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201040500,,,,,Yes,No
PX911201_Factor_Eight_Population_Clotting_Standard_Pharmacokinetic_Model,"Was a “robust” population pharmacokinetics model, such as WAPPS-Hemo or PKFit, used?",DCW_911201.doc,enumerated,,,,,,,PhenX,PX911201050000,,,,,Yes,No
