"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX311501_Genetic_Test_Result","Did you receive a genetic test result for yourself or your child?","DCW_311501.doc","enumerated","","","","","","","PhenX","PX311501010000","","","","","Yes","No","","","","","","","","","",""
"PX311501_Genetic_Test_Result_Diagnosis","If so, did the result provide a genetic diagnosis (was there a positive genetic test result)?","DCW_311501.doc","enumerated","","","","","ASK IF Q1=Yes","","PhenX","PX311501020000","","","","","Yes","No","","","","","","","","","",""
"PX311501_Genetic_Test_Result_Shared_Biological_Family","Since receiving your/your child's study results, have you shared the information with any biological family members (blood relatives)? ","DCW_311501.doc","enumerated","","","","","","","PhenX","PX311501030000","","","","","Yes","I didn't share this information with anyone","I haven't shared this information yet, but plan to in the future","","","","","","","","",""
"PX311501_Genetic_Test_Result_Shared_Other_Biological_Parent","Since receiving your/your child's study results, have you shared the information with any of the following blood relatives? My child's other biological parent","DCW_311501.doc","enumerated","","","","","ASK IF Q3=Yes","","PhenX","PX311501040100","","","","","Yes","No","N/A","","","","","","","","",""
"PX311501_Genetic_Test_Result_Shared_Children","Since receiving your/your child's study results, have you shared the information with any of the following blood relatives? My child(ren)","DCW_311501.doc","enumerated","","","","","","","PhenX","PX311501040200","","","","","Yes","No","N/A","","","","","","","","",""
"PX311501_Genetic_Test_Result_Shared_Sibling","Since receiving your/your child's study results, have you shared the information with any of the following blood relatives? My siblings","DCW_311501.doc","enumerated","","","","","","","PhenX","PX311501040300","","","","","Yes","No","N/A","","","","","","","","",""
"PX311501_Genetic_Test_Result_Shared_Parent","Since receiving your/your child's study results, have you shared the information with any of the following blood relatives? My parents","DCW_311501.doc","enumerated","","","","","","","PhenX","PX311501040400","","","","","Yes","No","N/A","","","","","","","","",""
"PX311501_Genetic_Test_Result_Shared_Other_Biological_Family","Since receiving your/your child's study results, have you shared the information with any of the following blood relatives? My other biological family members   ","DCW_311501.doc","enumerated","","","","","","","PhenX","PX311501040501","","","","","Yes","No","N/A","","","","","","","","",""
"PX311501_Genetic_Test_Result_Shared_Other_Biological_Family_Detail","Since receiving your/your child's study results, have you shared the information with any of the following blood relatives? My other biological family members. Specify:","DCW_311501.doc","string","","","","","ASK IF Q4.5.1=Yes","","PhenX","PX311501040502","","","","","","","","","","","","","","","",""
"PX311501_Genetic_Test_Result_Share_Decision","Thinking about the family members you DID share your genetic test result with, which of the following were important to your decision to share? Check all that apply. ","DCW_311501.doc","encoded values","","","","","","","PhenX","PX311501050100","","","","","a = I felt obligated to share my genetic test result ","b = I was encouraged by my health care provider ","c = I made an agreement to tell them before receiving my genetic test result ","d = I was encouraged by other family members to share the information ","e = I felt the information could help my family members in making medical decisions ","f = I was asked about my genetic test result by a family member ","g = I wanted to know if a family member had symptoms related to my genetic test result ","h = I needed emotional support from my family member ","i = I needed advice from my family member in making medical decisions ","j = I wanted to provide my family member information about their risk ","k = I wanted to encourage them to get tested ","l = Other"
"PX311501_Genetic_Test_Result_Share_Decision_Specify","Thinking about the family members you DID share your genetic test result with, which of the following were important to your decision to share? Other, specify","DCW_311501.doc","string","","","","","ASK IF Q5.1=Other","","PhenX","PX311501050200","","","","","","","","","","","","","","","",""
