VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,
PX101702_Sexual_Risk_Behavior_Female_Any_Sex,Have you ever had any kind of sex,DCW_101702.doc,encoded values,,,,,,,PhenX,PX101702010000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't know,,,,
PX101702_Sexual_Risk_Behavior_Female_Vaginal_Sex,"Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man’s penis in your vagina.",DCW_101702.doc,encoded values,,,,,,,PhenX,PX101702020000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't know,,,,
PX101702_Sexual_Risk_Behavior_Female_Oral_Sex_Man,Have you ever performed oral sex on a man? This means putting your mouth on a man’s penis or genitals.,DCW_101702.doc,encoded values,,,,,,,PhenX,PX101702030000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't know,,,,
PX101702_Sexual_Risk_Behavior_Female_Anal_Sex,Have you ever had anal sex? This means contact between a man’s penis and your anus or butt.,DCW_101702.doc,encoded values,,,,,,,PhenX,PX101702040000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't know,,,,
PX101702_Sexual_Risk_Behavior_Female_Any_Sex_Age,"How old were you the first time you had any kind of sex, including {vaginal, anal, or oral/vaginal or anal/vaginal or oral/anal or oral/vaginal/anal/oral}?",DCW_101702.doc,numeric,,,,,,,PhenX,PX101702050100,,,,,,,,,,,,
PX101702_Sexual_Risk_Behavior_Female_Any_Sex_Age_Encoded,"How old were you the first time you had any kind of sex, including {vaginal, anal, or oral/vaginal or anal/vaginal or oral/anal or oral/vaginal/anal/oral}?",DCW_101702.doc,encoded values,,,,,,,PhenX,PX101702050200,,,,,77 = Refused,99 = Don't know,,,,,,
PX101702_Sexual_Risk_Behavior_Female_Any_Sex_Number_Men,"In your lifetime, with how many men have you had any kind of sex?",DCW_101702.doc,numeric,,,,,,,PhenX,PX101702060100,,,,,,,,,,,,
PX101702_Sexual_Risk_Behavior_Female_Any_Sex_Number_Men_Encoded,"In your lifetime, with how many men have you had any kind of sex?",DCW_101702.doc,encoded values,,,,,,,PhenX,PX101702060200,,,,,77777 = Refused,99999 = Don't know,,,,,,
PX101702_Sexual_Risk_Behavior_Female_Past_Year_Any_Sex_Number_Men,"In the past 12 months, with how many men have you had any kind of sex?",DCW_101702.doc,numeric,,,,,ASK IF Q6 > 0,,PhenX,PX101702070100,,,,,,,,,,,,
PX101702_Sexual_Risk_Behavior_Female_Past_Year_Any_Sex_Number_Men_Encoded,"In the past 12 months, with how many men have you had any kind of sex?",DCW_101702.doc,encoded values,,,,,ASK IF Q6 > 0,,PhenX,PX101702070200,,,,,77777 = Refused,99999 = Don't know,,,,,,
PX101702_Sexual_Risk_Behavior_Female_Lifetime_Vaginal_Sex_Men_Number,"In your lifetime, with how many men have you had vaginal sex? Vaginal sex means a man’s penis in your vagina.",DCW_101702.doc,numeric,,,,,ASK IF Q2 = 1,,PhenX,PX101702080100,,,,,,,,,,,,
PX101702_Sexual_Risk_Behavior_Female_Lifetime_Vaginal_Sex_Men_Number_Encoded,"In your lifetime, with how many men have you had vaginal sex? Vaginal sex means a man’s penis in your vagina.",DCW_101702.doc,encoded values,,,,,ASK IF Q2 = 1,,PhenX,PX101702080200,,,,,77777 = Refused,99999 = Don't know,,,,,,
PX101702_Sexual_Risk_Behavior_Female_Past_Year_Vaginal_Sex_Men_Number,"In the past 12 months, with how many men have you had vaginal sex? Vaginal sex means a man’s penis in your vagina.",DCW_101702.doc,numeric,,,,,ASK IF Q2 = 1,,PhenX,PX101702090100,,,,,,,,,,,,
