"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX992101_Long_Covid_Daily_Living_Climb_Stairs_Transfer_Before_Help_Need_Before_Help_Need","Climbing stairs and transferring - BEFORE you were diagnosed with COVID-19, how much help did you need climbing stairs/transferring?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101010100","","","","","None, I can perform these tasks independently","A little help","A Lot of help","Unable to perform task","","","",""
"PX992101_Long_Covid_Daily_Living_Climb_Stairs_Transfer_Today_Help_Need_Today_Help_Need","Climbing stairs and transferring - TODAY, how much help do you need climbing stairs/transferring?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101010200","","","","","None, I can perform these tasks independently","A little help","A Lot of help","Unable to perform task","","","",""
"PX992101_Long_Covid_Daily_Living_Climb_Stairs_Transfer_Impact","Climbing stairs and transferring - Please state which activities, if any, have been impacted and describe how they have been impacted.","DCW_992101.doc","string","","","","","","","PhenX","PX992101010300","","","","","","","","","","","",""
"PX992101_Long_Covid_Daily_Living_Personal_Grooming_Dressing_Before_Help_Need","Personal grooming and dressing - BEFORE you were diagnosed with COVID-19, how much help did you need with personal grooming and dressing?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101020100","","","","","None, I can perform these tasks independently","A little help","A Lot of help","Unable to perform task","","","",""
"PX992101_Long_Covid_Daily_Living_Personal_Grooming_Dressing_Today_Help_Need","Personal grooming and dressing - TODAY, how much help do you need with personal grooming and dressing?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101020200","","","","","None, I can perform these tasks independently","A little help","A Lot of help","Unable to perform task","","","",""
"PX992101_Long_Covid_Daily_Living_Personal_Grooming_Dressing_Impact","Personal grooming and dressing - Please state which activities, if any, have been impacted and describe how they have been impacted.","DCW_992101.doc","string","","","","","","","PhenX","PX992101020300","","","","","","","","","","","",""
"PX992101_Long_Covid_Daily_Living_Toilet_Bath_Before_Help_Need","Using the toilet and bathing - BEFORE you were diagnosed with COVID-19, how much help did you need using the restroom and bathing?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101030100","","","","","None, I can perform these tasks independently","A little help","A Lot of help","Unable to perform task","","","",""
"PX992101_Long_Covid_Daily_Living_Toilet_Bath_Today_Help_Need","Using the toilet and bathing - TODAY, how much help do you need using the restroom and bathing?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101030200","","","","","None, I can perform these tasks independently","A little help","A Lot of help","Unable to perform task","","","",""
"PX992101_Long_Covid_Daily_Living_Toilet_Bath_Impact","Using the toilet and bathing - Please state which activities, if any, have been impacted and describe how they have been impacted.","DCW_992101.doc","string","","","","","","","PhenX","PX992101030300","","","","","","","","","","","",""
"PX992101_Long_Covid_Daily_Living_Household_Chores_Before_Help_Need","Doing household chores - BEFORE you were diagnosed with COVID-19, how much help did you need doing household chores?","DCW_992101.doc","enumerated","","","","","","","PhenX","PX992101040100","","","","","None, I can perform these tasks independently","A little help","A Lot of help","Unable to perform task","","","",""
