"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX992201_Long_Covid_Physical_Function_Before_Limit_Activity_Physical_Mental_Emotional_Problem","Before COVID-19, were you limited in any way in any activities because of physical, mental, or emotional problems?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201010000","","","","","Yes (specify)","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Before_Limit_Activity_Physical_Mental_Emotional_Problem_Specify","Please specify how you were limited before COVID-19","DCW_992201.doc","string","","","","","ASK IF \"Before COVID-19, were you limited in any way in any activities because of physical, mental, or emotional problems?\" = \"Yes (specify)\"","","PhenX","PX992201020000","","","","","","","","","","","",""
"PX992201_Long_Covid_Physical_Function_Before_Health_Problem_Special_Equipment","Before COVID-19, did you have any health problem that required you to use special equipment, such as a cane, a wheelchair, a special bed, or a special telephone? *Include occasional use or use in certain circumstances","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201030000","","","","","Yes","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Difficulty_Walk_Quarter_Mile_Any","Do you have any difficulty walking a quarter of a mile, that is about 2 or 3 blocks, without stopping?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201040000","","","","","Yes","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Difficulty_Walk_Quarter_Mile_How_Much","How much difficulty do you have walking a quarter of a mile?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201050000","","","","","A little","Some","A lot","Unable to do","Refuse to answer","","",""
"PX992201_Long_Covid_Physical_Function_Before_Difficulty_Walk_Quarter_Mile_Any","Did you have difficulty walking a quarter of a mile before your COVID-19 illness?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201060000","","","","","Yes","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Ease_Walk_Quarter_Mile","How easy is it for you to walk a quarter of a mile?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201070000","","","","","Very easy","Somewhat easy","Not so easy","Refuse to answer","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Difficulty_Walk_One_Mile_Any","Do you have any difficulty walking a distance of one mile?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201080000","","","","","Yes","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Before_Difficulty_Walk_One_Mile_How_Much","Did you have difficulty walking one mile before your COVID-19 illness?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201090000","","","","","Yes","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Ease_Walk_One_Mile","How easy is it for you to walk one mile?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201100000","","","","","Very easy","Somewhat easy","Not so easy","Refuse to answer","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Difficulty_Walk_Ten_Steps_Any","Do you have any difficulty walking up 10 steps, that is about 1 flight, without resting?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201110000","","","","","Yes","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Difficulty_Walk_Ten_Steps_How_Much","How much difficulty do you have walking up 10 steps?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201120000","","","","","A little","Some","A lot","Unable to do","Refuse to answer","","",""
"PX992201_Long_Covid_Physical_Function_Before_Difficulty_Walk_Ten_Steps_Any","Did you have difficulty walking up 10 steps before your COVID-19 illness?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201130000","","","","","Yes","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Ease_Walk_Ten_Steps","How easy is it for you to walk up 10 steps?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201140000","","","","","Very easy","Somewhat easy","Not so easy","Refuse to answer","","","",""
"PX992201_Long_Covid_Physical_Function_Today_Difficulty_Walk_Twenty_Steps_Any","Do you have any difficulty walking up 20 steps, that is about 2 flights, without resting?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201150000","","","","","Yes","No","Refuse to answer","","","","",""
"PX992201_Long_Covid_Physical_Function_Before_Difficulty_Walk_Twenty_Steps_Any","Did you have difficulty walking up 20 steps before your COVID-19 illness?","DCW_992201.doc","enumerated","","","","","","","PhenX","PX992201160000","","","","","Yes","No","Refuse to answer","","","","",""
