"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX122102_Global_Psychopathology_Rating_Scale_Clinical_Somatic_Concern","Rate items 1-10 on the basis of individual's self-report: Somatic Concern","DCW_122102.doc","encoded values","","","","","","","PhenX","PX122102010000","","","","","0 = Not present","1 = Very mild","2 = Mild","3 = Moderate","4 = Moderately severe","5 = Severe","6 = Extremely severe","","","","","","","","","","","","",""
"PX122102_Global_Psychopathology_Rating_Scale_Clinical_Anxiety","Rate items 1-10 on the basis of individual's self-report: Anxiety","DCW_122102.doc","encoded values","","","","","","","PhenX","PX122102020000","","","","","0 = Not present","1 = Very mild","2 = Mild","3 = Moderate","4 = Moderately severe","5 = Severe","6 = Extremely severe","","","","","","","","","","","","",""
"PX122102_Global_Psychopathology_Rating_Scale_Clinical_Depression","Rate items 1-10 on the basis of individual's self-report: Depression","DCW_122102.doc","encoded values","","","","","","","PhenX","PX122102030000","","","","","0 = Not present","1 = Very mild","2 = Mild","3 = Moderate","4 = Moderately severe","5 = Severe","6 = Extremely severe","","","","","","","","","","","","",""
"PX122102_Global_Psychopathology_Rating_Scale_Clinical_Guilt","Rate items 1-10 on the basis of individual's self-report: Guilt","DCW_122102.doc","encoded values","","","","","","","PhenX","PX122102040000","","","","","0 = Not present","1 = Very mild","2 = Mild","3 = Moderate","4 = Moderately severe","5 = Severe","6 = Extremely severe","","","","","","","","","","","","",""
"PX122102_Global_Psychopathology_Rating_Scale_Clinical_Hostility","Rate items 1-10 on the basis of individual's self-report: Hostility","DCW_122102.doc","encoded values","","","","","","","PhenX","PX122102050000","","","","","0 = Not present","1 = Very mild","2 = Mild","3 = Moderate","4 = Moderately severe","5 = Severe","6 = Extremely severe","","","","","","","","","","","","",""
"PX122102_Global_Psychopathology_Rating_Scale_Clinical_Grandiosity","Rate items 1-10 on the basis of individual's self-report: Grandiosity","DCW_122102.doc","encoded values","","","","","","","PhenX","PX122102060000","","","","","0 = Not present","1 = Very mild","2 = Mild","3 = Moderate","4 = Moderately severe","5 = Severe","6 = Extremely severe","","","","","","","","","","","","",""
"PX122102_Global_Psychopathology_Rating_Scale_Clinical_Suspiciousness","Rate items 1-10 on the basis of individual's self-report: Suspiciousness","DCW_122102.doc","encoded values","","","","","","","PhenX","PX122102070000","","","","","0 = Not present","1 = Very mild","2 = Mild","3 = Moderate","4 = Moderately severe","5 = Severe","6 = Extremely severe","","","","","","","","","","","","",""
"PX122102_Global_Psychopathology_Rating_Scale_Clinical_Hallucinations","Rate items 1-10 on the basis of individual's self-report: Hallucinations","DCW_122102.doc","encoded values","","","","","","","PhenX","PX122102080000","","","","","0 = Not present","1 = Very mild","2 = Mild","3 = Moderate","4 = Moderately severe","5 = Severe","6 = Extremely severe","","","","","","","","","","","","",""
"PX122102_Global_Psychopathology_Rating_Scale_Clinical_Unusual_Thought_Content","Rate items 1-10 on the basis of individual's self-report: Unusual thought content","DCW_122102.doc","encoded values","","","","","","","PhenX","PX122102090000","","","","","0 = Not present","1 = Very mild","2 = Mild","3 = Moderate","4 = Moderately severe","5 = Severe","6 = Extremely severe","","","","","","","","","","","","",""
"PX122102_Global_Psychopathology_Rating_Scale_Clinical_Disorientation","Rate items 1-10 on the basis of individual's self-report: Disorientation","DCW_122102.doc","encoded values","","","","","","","PhenX","PX122102100000","","","","","0 = Not present","1 = Very mild","2 = Mild","3 = Moderate","4 = Moderately severe","5 = Severe","6 = Extremely severe","","","","","","","","","","","","",""
