VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_Correct_Currently,"Does your child currently wear glasses or contact lenses to correct, or partially correct, his/her eyesight?",DCW_111302.doc,enumerated,,,,,,,PhenX,PX111302010000,,,,,No,Glasses,Contact lenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_Frequency_Currently,How often are the glasses or contact lenses worn?,DCW_111302.doc,enumerated,,,,,,,PhenX,PX111302020000,,,,,All the time,Most of the time,Sometimes,Hardly ever,Only when eyes feel tired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_Astigmatism,Were the glasses/contact lenses prescribed for Astigmatism?,DCW_111302.doc,enumerated,,,,,,,PhenX,PX111302030100,,,,,Yes,No,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_Short_Sightedness_Myopia,Were the glasses/contact lenses prescribed for Short-sightedness/myopia?,DCW_111302.doc,enumerated,,,,,,,PhenX,PX111302030200,,,,,Yes,No,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_Long_Sightedness_Hyperopia,Were the glasses/contact lenses prescribed for Long-sightedness/hyperopia?,DCW_111302.doc,enumerated,,,,,,,PhenX,PX111302030300,,,,,Yes,No,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_Other,Were the glasses/contact lenses prescribed for Other?,DCW_111302.doc,enumerated,,,,,,,PhenX,PX111302030400,,,,,Yes,No,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_Other_Specify,Specify other glasses/contact lenses prescribed.,DCW_111302.doc,string,,,,,,,PhenX,PX111302030500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_No_Longer_Need,"Has your child worn glasses or contact lenses in the past, but no longer needs to wear them?",DCW_111302.doc,enumerated,,,,,,,PhenX,PX111302040100,,,,,No,Yes,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_First_Date,Please state the date when first prescribed.,DCW_111302.doc,Date,,,,,,,PhenX,PX111302040200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_First_Age,Please state the age when first prescribed.,DCW_111302.doc,integer,,,,,,,PhenX,PX111302040300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_Stop_Date,Date stopped?,DCW_111302.doc,Date,,,,,,,PhenX,PX111302040400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_Stop_Reason,Reason stopped?,DCW_111302.doc,string,,,,,,,PhenX,PX111302040500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX111302_Glasses_Contact_Lenses_Frequency_Before,How often did you child wear their glasses/contact lenses?,DCW_111302.doc,enumerated,,,,,,,PhenX,PX111302050000,,,,,All the time,Most of the time,Sometimes,Hardly ever,Only when eyes feel tired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
