"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX960202_Covid19_Effects_Outbreak_Affect_Healthcare","¿De que formas ha afectado el brote de COVID-19 su atencion medica general? (Marque todas las que correspondan)","DCW_960202.doc","encoded values","","","","","","","PhenX","PX960202010000","","","","","1 = No fui a citas de atencion medica porque me preocupaba tener que entrar al consultorio del profesional de la salud","2 = El profesional de la salud que me atiende cancelo las citas","3 = El profesional de la salud que me atiende cambio a consultas por telefono o en linea","4 = El profesional de la salud que me atiende me dijo que me autoaislara o me mantuviera en cuarentena","5 = Ninguna de estas corresponde","","","","","","","","","","","",""
"PX960202_Covid19_Effects_Outbreak_Behavior_Less","¿Cuales de los siguientes habitos de comportamiento ha tenido menos a causa del brote de COVID-19? (Marque todos los que correspondan)","DCW_960202.doc","encoded values","","","","","","","PhenX","PX960202020000","","","","","1 = Contacto en persona con personas dentro de su casa (es decir, usted esta en cuarentena separado de uno o mas familiares o personas que viven en la casa)","2 = Contacto en persona con familiares que viven fuera de su casa","3 = Contacto en persona con amigos","4 = Contacto en persona con colegas de su trabajo","5 = Eventos en persona en la comunidad, incluidos eventos religiosos","6 = Ninguna de estas corresponde","","","","","","","","","","",""
"PX960202_Covid19_Effects_Outbreak_Behavior_Change","¿Cuales de los siguientes habitos de comportamiento ha cambiado a causa del brote de COVID-19? (Marque todos los que correspondan)","DCW_960202.doc","encoded values","","","","","","","PhenX","PX960202030000","","","","","1 = Comer mas comidas cocinadas en casa","2 = Comer mas comidas para llevar o entregadas a domicilio","3 = Hacer mas ejercicio fiosico","4 = Hacer menos ejercicio fiosico","5 = Pasar mas tiempo al aire libre en la naturaleza","6 = Pasar menos tiempo al aire libre en la naturaleza","7 = Ninguno de estas corresponde","","","","","","","","","",""
"PX960202_Covid19_Effects_Outbreak_Affect_Work","¿De que formas ha afectado el brote de COVID-19 su trabajo? (Marque todas las que correspondan)","DCW_960202.doc","encoded values","","","","","","","PhenX","PX960202040000","","","","","1 = Pase a trabajar a distancia o desde la casa","2 = Perdio mi empleo de manera permanente","3 = Perdio mi empleo de manera temporal o no me dijeron por cuanto tiempo","4 = Conseguio un nuevo empleo","5 = Reduje mis horas de trabajo","6 = Aumente mis horas de trabajo","7 = Mi trabajo me puso en mayor riesgo de contraer COVID-19","8 = Despedio empleados","9 = No tenioa un empleo con salario antes del brote de COVID-19","10 = Ninguna de estas corresponde","","","","","","",""
"PX960202_Covid19_Effects_Outbreak_Affect_Work_Spouse","¿De que formas ha afectado el brote de COVID-19 el trabajo de su conyuge o pareja? (Marque todas las que correspondan","DCW_960202.doc","encoded values","","","","","","","PhenX","PX960202050000","","","","","0 = No corresponde. No tengo conyuge ni pareja","1 = Mi conyuge o pareja paso a trabajar a distancia o desde la casa","2 = Mi conyuge o pareja perdio su empleo de manera permanente","3 = Mi conyuge o pareja perdio su empleo de manera temporal o no le dijeron por cuanto tiempo","4 = Mi conyuge o pareja consiguio un nuevo empleo","5 = Mi conyuge o pareja redujo sus horas de trabajo","6 = Mi conyuge o pareja aumento sus horas de trabajo","7 = El trabajo de mi conyuge o pareja lo/la puso en mayor riesgo de contraer COVID-19","8 = Mi conyuge o pareja despidio empleados","9 = Mi conyuge o pareja no tenioa un empleo con salario antes del brote de COVID-19","10 = Ninguna de estas corresponde","","","","","",""
"PX960202_Covid19_Effects_Outbreak_Affect_Childcare","¿Como ha afectado el brote de COVID-19 su cuidado infantil habitual? (Marque todas las que correspondan)","DCW_960202.doc","encoded values","","","","","","","PhenX","PX960202060000","","","","","1 = Tuve dificultad para conseguir cuidado infantil","2 = Tuve que pagar mas por el cuidado infantil","3 = Mi conyuge o pareja o yo tuvimos que cambiar nuestro horario de trabajo para cuidar nosotros a nuestros ninos","4 = Mi cuidado infantil habitual no se ha visto afectado por el brote de COVID-19","5 = No tengo ninos que necesitan cuidado infantil.","","","","","","","","","","","",""
"PX960202_Covid19_Effects_Outbreak_Source_Stress","¿Cuales han sido sus mayores fuentes de estres a causa del brote de COVID-19? (Marque todas las que correspondan)","DCW_960202.doc","encoded values","","","","","","","PhenX","PX960202070000","","","","","1 = Preocupaciones sobre la salud","2 = Preocupaciones financieras","3 = Efectos en el trabajo","4 = Efectos en el nino o nina","5 = Efectos en su comunidad","6 = Efectos en los miembros de su familia","7 = Acceso a alimentos","8 = Acceso a artioculos para bebes (p. ej., formula para bebes, panales, toallitas hioºmedas)","9 = Acceso a productos de cuidado personal o de consumo para el hogar","10 = Acceso a atencion medica, incluida la atencion de salud mental","11 = Distanciamiento social o estar en cuarentena","12 = No tengo estres a causa del brote de COVID-19","","","","",""
"PX960202_Covid19_Effects_Outbreak_Cope_Stress","¿Que ha hecho para sobrellevar el estres relacionado con el brote de COVID-19? (Marque todas las que correspondan)","DCW_960202.doc","encoded values","","","","","","","PhenX","PX960202080000","","","","","1 = Practicar meditacion o atencion plena (mindfulness)","2 = Hablar con amigos y familiares (p. ej., por telefono, texto o video)","3 = Participar en mas actividades en familia (p. ej., juegos, deportes)","4 = Ver mas television u otras actividades \de tiempo con pantallas\\ (p. ej.\""," videojuegos"," redes sociales)\\",5 = Comer con mas frecuencia"," incluidos refrigerios o snacks\"","6 = Aumentar el tiempo que pasa leyendo libros o haciendo actividades como rompecabezas y crucigramas","7 = Beber alcohol","8 = Consumir tabaco (p. ej., fumar, vapear)","9 = Consumir marihuana (p. ej., vapear, fumar, ingerir) o cannabidiol (CBD)","10 = Hablar con los profesionales de la salud que me atienden con mas frecuencia, incluido el profesional de la salud mental (p. ej., terapista, psicologo, consejero)","11 = Hacer trabajos voluntarios","12 = No he hecho ninguna de estas cosas para sobrellevar el brote de COVID-19","","",""
"PX960202_Covid19_Effects_Outbreak_Impact_Positive_Negative","Indique en que grado considera que el brote de COVID-19 tiene un efecto positivo o negativo en su vida.","DCW_960202.doc","encoded values","","","","","","","PhenX","PX960202090000","","","","","1 = Sumamente negativo","2 = Moderadamente negativo","3 = Algo negativo","4 = Ningioºn efecto","5 = Ligeramente positivo","6 = Moderadamente positivo","7 = Sumamente positive","","","","","","","","","",""
"PX960202_Covid19_Effects_Outbreak_Happy_Life","Desde que se entero del brote de COVID-19, ¿con que frecuencia se ha sentido feliz y satisfecho/a con su vida?","DCW_960202.doc","encoded values","","","","","","","PhenX","PX960202100000","","","","","1 = Nunca","2 = Rara vez","3 = A veces","4 = Con frecuencia","5 = Con mucha frecuencia","","","","","","","","","","","",""
"PX960202_Covid19_Effects_Outbreak_Often_Difficulty_Sleeping","Desde que se entero del brote de COVID-19, ¿con que frecuencia: ha tenido dificultad para dormir?","DCW_960202.doc","encoded values","","","","","","","PhenX","PX960202110100","","","","","1 = Nunca","2 = Rara vez","3 = A veces","4 = Con frecuencia","5 = Con mucha frecuencia","","","","","","","","","","","",""
