VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_Interview_Date,What's the interview date?,DCW_660701.doc,date,,,,,,,PhenX,PX660701010100,,,,,Yes,No,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_LastName,What is the family last name?,DCW_660701.doc,string,,,,,,,PhenX,PX660701010200,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_Id,What is the family ID number?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701010300,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_Informant_Name,"What is the first, middle, and last name of the Informant?",DCW_660701.doc,string,,,,,,,PhenX,PX660701010400,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_Informant_Id,What is the Informant's ID number?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701010500,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_Subject_Name,"What is the first, middle, and last name of the person being described?",DCW_660701.doc,string,,,,,,,PhenX,PX660701010600,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_Subject_Id,What is the ID number of the person being described?,DCW_660701.doc,string,,,,,,,PhenX,PX660701010700,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_Relationship,What is the subject's relationship to the Informant?,DCW_660701.doc,string,,,,,,,PhenX,PX660701010800,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_Subject_Birthdate,What is the birthdate of the person described?,DCW_660701.doc,date,,,,,,,PhenX,PX660701010900,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_Subject_Living,Is person described living?,DCW_660701.doc,encoded,,,,,,,PhenX,PX660701011000,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_Figs_LastKnown_Age,"Age when subject last seen or known about, or died",DCW_660701.doc,integer,,,,,,,PhenX,PX660701011100,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_LastKnown_Date,"Year when subject last seen or known about, or died",DCW_660701.doc,integer,,,,,,,PhenX,PX660701011200,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_Cause_Death,"If deceased, cause of death",DCW_660701.doc,string,,,,,ASK IF subject deceased,,PhenX,PX660701011300,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_Figs_Psychiatric_Problems,Probe: has he/she had any psychiatric or personality problems like those we mentioned earlier?,DCW_660701.doc,encoded,,,,,,,PhenX,PX660701011400,,,,,0 = No,1 = Yes,9 = Unknown,,,
PX660701_FamilyHistory_MentalDisorders_OtherDisorders_Disorders_Other,Indicate any disorder not in the checklists and complete questions 1.a–f for the disorder.  Specify:,DCW_660701.doc,string,,,,,,,PhenX,PX660701020100,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_OtherDisorders_Treatment,Code and describe professional treatment:,DCW_660701.doc,encoded,,,,,,,PhenX,PX660701020201,,,,,0 = None,1 = Inpatient,2 = Outpatient,3 = ECT,4 = Medication,9 = Unknown
PX660701_FamilyHistory_MentalDisorders_OtherDisorders_Treatment_Inpatient,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF inpatient encoded,,PhenX,PX660701020202,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_OtherDisorders_Treatment_Outpatient,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF outpatient encoded,,PhenX,PX660701020203,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_OtherDisorders_Treatment_Ect,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF ECT encoded,,PhenX,PX660701020204,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_OtherDisorders_Treatment_Medication,Describe the treatment received.,DCW_660701.doc,string,,,,,ASK IF Medication encoded,,PhenX,PX660701020205,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_OtherDisorders_Onset_Age,What is the age of onset?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701020300,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_OtherDisorders_Episodes,What is the number of episodes?,DCW_660701.doc,integer,,,,,,,PhenX,PX660701020400,,,,,,,,,,
PX660701_FamilyHistory_MentalDisorders_OtherDisorders_Episode_Duration,What is the duration of longest episode in weeks?,DCW_660701.doc,integer,weeks,,,,,,PhenX,PX660701020500,,,,,,,,,,
