"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX992301_Long_Covid_Quality_Life_Child_Before_Mobility","Under each heading, please tick the ONE box that describes your health BEFORE your COVID-19 test - Mobility (walking about)","DCW_992301.doc","enumerated","","","","","","","PhenX","PX992301010000","","","","","I had no problems walking about","I had some problems walking about","I had a lot of problems walking about","","","","",",,,,,,,,,,,,,"
"PX992301_Long_Covid_Quality_Life_Child_Before_Looking_After_Self","Under each heading, please tick the ONE box that describes your health BEFORE your COVID-19 test - Looking after myself","DCW_992301.doc","enumerated","","","","","","","PhenX","PX992301020000","","","","","I had no problems washing or dressing myself","I had some problems washing or dressing myself","I had a lot of problems washing or dressing myself","","","","",",,,,,,,,,,,,,"
"PX992301_Long_Covid_Quality_Life_Child_Before_Usual_Activity","Under each heading, please tick the ONE box that describes your health BEFORE your COVID-19 test - Doing usual activities (for example, going to school, hobbies, sports, playing, doing things with family or friends)","DCW_992301.doc","enumerated","","","","","","","PhenX","PX992301030000","","","","","I had no problems doing my usual activities","I had some problems doing my usual activities","I had a lot of problems doing my usual activities","","","","",",,,,,,,,,,,,,"
"PX992301_Long_Covid_Quality_Life_Child_Before_Pain_Discomfort","Under each heading, please tick the ONE box that describes your health BEFORE your COVID-19 test - Having pain or discomfort","DCW_992301.doc","enumerated","","","","","","","PhenX","PX992301040000","","","","","I had no pain or discomfort","I had some pain or discomfort","I had a lot of pain or discomfort","","","","",",,,,,,,,,,,,,"
"PX992301_Long_Covid_Quality_Life_Child_Before_Worried_Sad_Unhappy","Under each heading, please tick the ONE box that describes your health BEFORE your COVID-19 test - Feeling worried, sad or unhappy","DCW_992301.doc","enumerated","","","","","","","PhenX","PX992301050000","","","","","I was not worried, sad or unhappy","I was a bit worried, sad or unhappy","I was very worried, sad or unhappy","","","","",",,,,,,,,,,,,,"
"PX992301_Long_Covid_Quality_Life_Child_Today_Mobility","Under each heading, please tick the ONE box that describes your health TODAY - Mobility (walking about)","DCW_992301.doc","enumerated","","","","","","","PhenX","PX992301060000","","","","","I have no problems walking about","I have some problems walking about","I have a lot of problems walking about","","","","",",,,,,,,,,,,,,"
"PX992301_Long_Covid_Quality_Life_Child_Today_Looking_After_Self","Under each heading, please tick the ONE box that describes your health TODAY - Looking after myself","DCW_992301.doc","enumerated","","","","","","","PhenX","PX992301070000","","","","","I have no problems washing or dressing myself","I have some problems washing or dressing myself","I have a lot of problems washing or dressing myself","","","","",",,,,,,,,,,,,,"
"PX992301_Long_Covid_Quality_Life_Child_Today_Usual_Activity","Under each heading, please tick the ONE box that describes your health TODAY - Doing usual activities (for example, going to school, hobbies, sports, playing, doing things with family or friends)","DCW_992301.doc","enumerated","","","","","","","PhenX","PX992301080000","","","","","I have no problems doing my usual activities","I have some problems doing my usual activities","I have a lot of problems doing my usual activities","","","","",",,,,,,,,,,,,,"
"PX992301_Long_Covid_Quality_Life_Child_Today_Pain_Discomfort","Under each heading, please tick the ONE box that describes your health TODAY - Having pain or discomfort","DCW_992301.doc","enumerated","","","","","","","PhenX","PX992301090000","","","","","I have no pain or discomfort","I have some pain or discomfort","I have a lot of pain or discomfort","","","","",",,,,,,,,,,,,,"
"PX992301_Long_Covid_Quality_Life_Child_Today_Worried_Sad_Unhappy","Under each heading, please tick the ONE box that describes your health TODAY - Feeling worried, sad or unhappy","DCW_992301.doc","enumerated","","","","","","","PhenX","PX992301100000","","","","","I am not worried, sad or unhappy","I am a bit worried, sad or unhappy","I am very worried, sad or unhappy","","","","",",,,,,,,,,,,,,"
"PX992301_Long_Covid_Quality_Life_Child_Before_Feel_No_One_Talk_To","How often did you feel that you have no one to talk to?","DCW_992301.doc","encoded values","","","","","","","PhenX","PX992301110000","","","","","1 = Hardly Ever or Never","2 = Some of the time","3 = Often","","","","",",,,,,,,,,,,,,"
