VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130601_Hospitalized_Head_Injury,Have you ever been hospitalized or treated in an emergency room following an injury to your head or neck? Think about any childhood injuries you remember or were told about.,DCW_130601.doc,enumerated,,,,,,,PhenX,PX130601010000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130601_Hospitalized_Head_Injury Cause,Cause of injury reported in question 1,DCW_130601.doc,string,,,,,,,PhenX,PX130601010100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130601_Head_Or_Neck_Injury_LOC,"Were you knocked out or did you lose consciousness (LOC)?  If yes, how long?",DCW_130601.doc,enumerated,,,,,,,PhenX,PX130601010200,,,,,No LOC,<30 min,30 min-24 hrs,> 24 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130601_Head_Injury_Memory_Gap,"If no, were you dazed or did you have a gap in your memory from the injury?",DCW_130601.doc,enumerated,,,,,,,PhenX,PX130601010300,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130601_Head_Or_Neck_Injury_Age,How old were you?,DCW_130601.doc,integer,year,,,,Age is only needed if there was a loss of consciousness,,PhenX,PX130601010400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130601_Moving_Vehicle_Head_Injury,"Have you ever injured your head or neck in a car accident or from some other moving vehicle accident (e.g. motorcycle, ATV)?",DCW_130601.doc,enumerated,,,,,,,PhenX,PX130601020000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130601_Moving_Vehicle_Head_Injury_Cause,Cause of injury reported in question 2,DCW_130601.doc,string,,,,,,,PhenX,PX130601020100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130601_Moving_Vehicle_Head_Injury_LOC,"Were you knocked out or did you lose consciousness (LOC)?  If yes, how long?",DCW_130601.doc,enumerated,,,,,,,PhenX,PX130601020200,,,,,No LOC,<30 min,30 min-24 hrs,> 24 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130601_Vehicular_Head_Injury_Memory_Gap,"If no, were you dazed or did you have a gap in your memory from the injury?",DCW_130601.doc,enumerated,,,,,,,PhenX,PX130601020300,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130601_Moving_Vehicle_Head_Injury_Age,How old were you?,DCW_130601.doc,integer,year,,,,Age is only needed if there was a loss of consciousness,,PhenX,PX130601020400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
