"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX870701_Responses_Stress_Sickle_Cell_Disease_Youth_Not_Able_Do_Things_Other_Kids_Do","Please circle the number indicating how stressful the following things have been for you in the past 6 months. Not being able to do the things that other kids can do or are allowed to do","DCW_870701.doc","encoded values","","","","","","","PhenX","PX870701010000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870701_Responses_Stress_Sickle_Cell_Disease_Youth_Go_To_Hospital_Often","Please circle the number indicating how stressful the following things have been for you in the past 6 months. Having to go to the hospital or clinic so often","DCW_870701.doc","encoded values","","","","","","","PhenX","PX870701020000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870701_Responses_Stress_Sickle_Cell_Disease_Youth_Missing_School_Falling_Behind_Work","Please circle the number indicating how stressful the following things have been for you in the past 6 months. Missing school days or falling behind in school work","DCW_870701.doc","encoded values","","","","","","","PhenX","PX870701030000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870701_Responses_Stress_Sickle_Cell_Disease_Youth_Concerns_Family_Friends","Please circle the number indicating how stressful the following things have been for you in the past 6 months. Concerns about my family and friends","DCW_870701.doc","encoded values","","","","","","","PhenX","PX870701040000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870701_Responses_Stress_Sickle_Cell_Disease_Youth_Feeling_Confused_Why_Got_It","Please circle the number indicating how stressful the following things have been for you in the past 6 months. Feeling confused about what sickle cell disease is and why I got it","DCW_870701.doc","encoded values","","","","","","","PhenX","PX870701050000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870701_Responses_Stress_Sickle_Cell_Disease_Youth_Not_Understanding_Doctors_Tell","Please circle the number indicating how stressful the following things have been for you in the past 6 months. Not understanding what doctors tell me about sickle cell disease","DCW_870701.doc","encoded values","","","","","","","PhenX","PX870701060000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870701_Responses_Stress_Sickle_Cell_Disease_Youth_Having_Pain_Crises","Please circle the number indicating how stressful the following things have been for you in the past 6 months. Having sickle cell pain crises","DCW_870701.doc","encoded values","","","","","","","PhenX","PX870701070000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870701_Responses_Stress_Sickle_Cell_Disease_Youth_Concerns_Future","Please circle the number indicating how stressful the following things have been for you in the past 6 months. Concerns about the future","DCW_870701.doc","encoded values","","","","","","","PhenX","PX870701080000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870701_Responses_Stress_Sickle_Cell_Disease_Youth_Concerns_Future_Other","Please circle the number indicating how stressful the following things have been for you in the past 6 months. Other:","DCW_870701.doc","encoded values","","","","","","","PhenX","PX870701090000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870701_Responses_Stress_Sickle_Cell_Disease_Youth_Concerns_Future_Other_Write","Please circle the number indicating how stressful the following things have been for you in the past 6 months. Other (Specify):","DCW_870701.doc","string","","","","","ASK IF \"Please circle the number indicating how stressful the following things have been for you in the past 6 months. Other: \" = \"2\" OR \"Please circle the number indicating how stressful the following things have been for you in the past 6 months. Other: \" = \"3\" OR \"Please circle the number indicating how stressful the following things have been for you in the past 6 months. Other: \" = \"4\"","","PhenX","PX870701090100","","","","","1 = None","2 = A little","3 = Some","4 = A lot",",,,,,"
"PX870701_Responses_Stress_Sickle_Cell_Disease_Youth_Circle_Control_Over_Problems","Circle the number that shows how much control you generally think you have over these problems.","DCW_870701.doc","encoded values","","","","","","","PhenX","PX870701100000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870701_Responses_Stress_Sickle_Cell_Disease_Youth_Try_Not_Feel_Anything","WHEN DEALING WITH THE STRESS OF SICKLE CELL DISEASE: I try not to feel anything.","DCW_870701.doc","encoded values","","","","","","","PhenX","PX870701110000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
