VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_Hemophilia,Do you have hemophilia?,DCW_810901.doc,encoded values,,1,9,,,,PhenX,PX810901010000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_Chemotheraphy_4weeks,Have you received cancer chemotherapy in the past four weeks or do you anticipate such therapy in the next four weeks?,DCW_810901.doc,encoded values,,1,9,,,,PhenX,PX810901020000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_Age,Age,DCW_810901.doc,integer,days,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX810901030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_Blood_Draw_Results,Record the results of the blood draw.,DCW_810901.doc,string,,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX810901040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_Blood_Draw_Tube_Deviation,Record reasons for a tube not being drawn according to the protocol.,DCW_810901.doc,string,,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX810901050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_Venipuncture_Comments,Record any comments about the venipuncture.,DCW_810901.doc,string,,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX810901060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_Serum_Determination,"Determine if the serum is hemolyzed, turbid, lipemic, or icteric.",DCW_810901.doc,enumerated,,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX810901070100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_Serum_Description,"If serum is hemolyzed, turbid, lipemic, or iteric, then describe.",DCW_810901.doc,enumerated,,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX810901070200,,,,,hemolyzed,turbid,lipemic,icteric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_Total_Billirubin_Concentration,Total billirubin concentration,DCW_810901.doc,integer,mg/mL,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX810901080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_Equipment_Make,Make of the equipment used to perform the total billirubin assay.,DCW_810901.doc,string,,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX810901090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_Equipment_Manufacturer,Manufacturer of the equipment used to perform the total billirubin assay.,DCW_810901.doc,string,,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX810901100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_Total_Billirubin_Assay_Repeatability,Repeatability of the total billirubin assay.,DCW_810901.doc,string,,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX810901110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX810901_Billirubin_CoefficientsVariation_TotalBillirubin_Assay,Coefficients of variation of the total billirubin assay.,DCW_810901.doc,integer,mg/mL,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX810901120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
