"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX871201_Prolonged_Grief_Disorder_Lost_Someone_Significant","Have you lost someone significant to you?","DCW_871201.doc","enumerated","","","","","","","PhenX","PX871201010000","","","","","Yes","No","","",""
"PX871201_Prolonged_Grief_Disorder_Months_Significant_Other_Died","How many months has it been since your significant other died?","DCW_871201.doc","integer","months","","","","","","PhenX","PX871201020000","","","","","","","","",""
"PX871201_Prolonged_Grief_Disorder_Longing_Person_Died","Do you feel yourself longing or yearning for the person who died?","DCW_871201.doc","encoded values","","","","","","","PhenX","PX871201030000","","","","","1 = Not at all","2 = Slightly","3 = Somewhat","4 = Quite a bit","5 = Overwhelmingly"
"PX871201_Prolonged_Grief_Disorder_Trouble_Doing_Normal_Things","Do you have trouble doing the things you normally do because you are thinking so much about the person who died?","DCW_871201.doc","encoded values","","","","","","","PhenX","PX871201040000","","","","","1 = Not at all","2 = Slightly","3 = Somewhat","4 = Quite a bit","5 = Overwhelmingly"
"PX871201_Prolonged_Grief_Disorder_Confused_Role_Life","Do you feel confused about your role in life or feel like you don't know who you are any more (i.e., feeling like that a part of you has died)?","DCW_871201.doc","encoded values","","","","","","","PhenX","PX871201050000","","","","","1 = Not at all","2 = Slightly","3 = Somewhat","4 = Quite a bit","5 = Overwhelmingly"
"PX871201_Prolonged_Grief_Disorder_Trouble_Believe_Person_Really_Gone","Do you have trouble believing that the person who died is really gone?","DCW_871201.doc","encoded values","","","","","","","PhenX","PX871201060000","","","","","1 = Not at all","2 = Slightly","3 = Somewhat","4 = Quite a bit","5 = Overwhelmingly"
"PX871201_Prolonged_Grief_Disorder_Avoid_Reminder_Person_Really_Gone","Do you avoid reminders that the person who died is really gone?","DCW_871201.doc","encoded values","","","","","","","PhenX","PX871201070000","","","","","1 = Not at all","2 = Slightly","3 = Somewhat","4 = Quite a bit","5 = Overwhelmingly"
"PX871201_Prolonged_Grief_Disorder_Emotional_Pain","Do you feel emotional pain (e.g., anger, bitterness, sorrow) related to the death?","DCW_871201.doc","encoded values","","","","","","","PhenX","PX871201080000","","","","","1 = Not at all","2 = Slightly","3 = Somewhat","4 = Quite a bit","5 = Overwhelmingly"
"PX871201_Prolonged_Grief_Disorder_Trouble_Engage_Life","Do you feel that you have trouble re-engaging in life (e.g., problems engaging with friends, pursuing interests, planning for the future)?","DCW_871201.doc","encoded values","","","","","","","PhenX","PX871201090000","","","","","1 = Not at all","2 = Slightly","3 = Somewhat","4 = Quite a bit","5 = Overwhelmingly"
"PX871201_Prolonged_Grief_Disorder_Emotionally_Numb_Detach","Do you feel emotionally numb or detached from others?","DCW_871201.doc","encoded values","","","","","","","PhenX","PX871201100000","","","","","1 = Not at all","2 = Slightly","3 = Somewhat","4 = Quite a bit","5 = Overwhelmingly"
"PX871201_Prolonged_Grief_Disorder_Life_Meaningless","Do you feel that life is meaningless without the person who died?","DCW_871201.doc","encoded values","","","","","","","PhenX","PX871201110000","","","","","1 = Not at all","2 = Slightly","3 = Somewhat","4 = Quite a bit","5 = Overwhelmingly"
"PX871201_Prolonged_Grief_Disorder_Alone_Without_Deceased","Do you feel alone or lonely without the deceased?","DCW_871201.doc","encoded values","","","","","","","PhenX","PX871201120000","","","","","1 = Not at all","2 = Slightly","3 = Somewhat","4 = Quite a bit","5 = Overwhelmingly"
"PX871201_Prolonged_Grief_Disorder_Significant_Impariment_Function","Have the symptoms above caused significant impairment in social, occupational, or other important areas of functioning?","DCW_871201.doc","enumerated","","","","","","","PhenX","PX871201130000","","","","","Yes","No","","",""
