VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX911001_Factor_Nine_Population_Clotting_Standard_Sample_Collection,Were the sample collection procedures outlined in Lippi et al. (2012) followed?,DCW_911001.doc,enumerated,,,,,,,PhenX,PX911001010100,,,,,Yes,No
PX911001_Factor_Nine_Population_Clotting_Standard_Sample_Collection_Venous_Statsis,Were steps taken to prevent prolonged venous stasis?,DCW_911001.doc,enumerated,,,,,,,PhenX,PX911001010200,,,,,Yes,No
PX911001_Factor_Nine_Population_Clotting_Standard_Sample_Collection_Nonhemolyzed,Were nonhemolyzed samples collected?,DCW_911001.doc,enumerated,,,,,,,PhenX,PX911001010300,,,,,Yes,No
PX911001_Factor_Nine_Population_Clotting_Standard_Sample_Collection_Blood_Draw,Was the order of blood draw recorded?,DCW_911001.doc,enumerated,,,,,,,PhenX,PX911001010400,,,,,Yes,No
PX911001_Factor_Nine_Population_Clotting_Standard_Sample_Collection_Tubes,Were collection tubes filled and mixed?,DCW_911001.doc,enumerated,,,,,,,PhenX,PX911001010500,,,,,Yes,No
PX911001_Factor_Nine_Population_Clotting_Standard_Sample_Collection_Venipuncture,Was blood collected by direct venipuncture into 3.2% sodium citrate tubes?,DCW_911001.doc,enumerated,,,,,,,PhenX,PX911001010600,,,,,Yes,No
PX911001_Factor_Nine_Population_Clotting_Standard_Sample_Collection_Tubes_Filled,Were the tubes filled within 11% of the fill line?,DCW_911001.doc,enumerated,,,,,,,PhenX,PX911001010700,,,,,Yes,No
PX911001_Factor_Nine_Population_Clotting_Standard_Sample_Collection_Tubes_Second,Was a second tube collected?,DCW_911001.doc,enumerated,,,,,,,PhenX,PX911001010800,,,,,Yes,No
PX911001_Factor_Nine_Population_Clotting_Standard_Sample_Collection_Tubes_Winged,Was a winged butterfly collection system used?,DCW_911001.doc,enumerated,,,,,,,PhenX,PX911001010900,,,,,Yes,No
PX911001_Factor_Nine_Population_Clotting_Standard_Sample_Collection_Tubes_Discard,Was a discard tube drawn?,DCW_911001.doc,enumerated,,,,,ASK IF Q1.9=YES,,PhenX,PX911001011000,,,,,Yes,No
