VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX090602_Exercise_Capacity_Angina_Myocardial_Infarction,Did the subject experience unstable angina during the previous month and myocardial infarction during the previous month?,DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602010000,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Resting_Heart_Rate_Blood_Pressure,"Is the subject's resting heart rate above 120bpm, systolic blood pressure above 180 mm Hg, and diastolic blood pressure above 100 mm Hg?",DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602020100,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Resting_Heart_Rate_Blood_Pressure_Physician_Referral,"If the subject answered yes, was the subject referred to a physician for assessment and a decision about the conduct of the test?",DCW_090602.doc,enumerated,,,,,ASK IF Q2 = Yes,,PhenX,PX090602020200,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Rapid_Response_Emergency_Testing_Location,"Is a rapid, appropriate response to an emergency possible at the current testing location?",DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602030000,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Available_Oxygen_Nitroglycerine_Aspirin_Albuterol,"Are the following supplies available during testing? Oxygen, sublingual nitroglycerine, aspirin, albuterol",DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602040000,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Technician_CPR_Basic_Life_Support,Is the technician certified in cardiopulmonary resuscitation with a minimum of Basic Life Supprt by an American Health Association-approved CPR course?,DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602050100,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Technician_CPR_Advanced_Certification,"If yes, does the subject have advanced cardiac life support certification?",DCW_090602.doc,enumerated,,,,,ASK IF Q5 = Yes,,PhenX,PX090602050200,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Chronic_Oxygen_Therapy,Is the patient on chronic oxygen therapy?,DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602060000,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Chest_Pain_Dyspnea_Leg_Cramps_Staggering_Diaphoresis_Pale_Oxygen_Concentration,"Is the patient experiencing chest pain, intolerable dyspnea, leg cramps, staggering, diaphoresis, have pale or ashen appearance, or have SpO2 < 80% when continuous oximetry is available?",DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602070100,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Blood_Pressure_Pulse_Rate_Oxygen_Saturation_Physician_Evaluation,"If the test was stopped, were the following assessments performed on the patient? Blood pressure, pulse rate, oxygen saturation, physician evaluation",DCW_090602.doc,enumerated,,,,,ASK IF Q10 = Yes,,PhenX,PX090602070200,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Walking_Course,Was the walking course 30 meters in length with no bends or pedestrian traffic?,DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602080000,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Subject_Clothing_Shoes,Is the test subject wearing comfortable clothing and appropriate shoes for walking?,DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602090000,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Subject_Walking_Aid,Is the test subject using a walking aid during the test?,DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602100000,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Subject_Exercise_Vigorously,Has the test subject exercised vigorously within 2 hours of beginning the test?,DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602110100,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Repeat_Testing,"If this is repeat testing, was repeat testing performed about the same time of day?",DCW_090602.doc,enumerated,,,,,ASK IF Q11 = Yes,,PhenX,PX090602110200,,,,,Yes,No,,,,,,,,,,
PX090602_Exercise_Capacity_Lap_Counter,Lap counter,DCW_090602.doc,numeric,,,,,,,PhenX,PX090602120000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Number,Patient name,DCW_090602.doc,string,,,,,,,PhenX,PX090602130000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_ID,Patient ID #,DCW_090602.doc,numeric,,,,,,,PhenX,PX090602140000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Walk_Number,Walk #,DCW_090602.doc,numeric,,,,,,,PhenX,PX090602150000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Technician_ID,Tech ID,DCW_090602.doc,numeric,,,,,,,PhenX,PX090602160000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Date,Date,DCW_090602.doc,date,,,,,,,PhenX,PX090602170000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Gender,Gender,DCW_090602.doc,enumerated,,,,,,,PhenX,PX090602180000,,,,,Male,Female,Other,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Age,Age,DCW_090602.doc,numeric,years,,,,,,PhenX,PX090602190000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Race,Race,DCW_090602.doc,string,,,,,,,PhenX,PX090602200000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Height_Feet,Height (in feet),DCW_090602.doc,numeric,feet,,,,,,PhenX,PX090602210100,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Height_Inches,Height (in inches),DCW_090602.doc,numeric,inches,,,,,,PhenX,PX090602210200,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Height_Meters,Height (in meters),DCW_090602.doc,numeric,meters,,,,,,PhenX,PX090602220100,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Weight_Pounds,Weight (in pounds),DCW_090602.doc,numeric,pounds,,,,,,PhenX,PX090602220200,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Weight_Kilograms,Weight (in kilograms),DCW_090602.doc,numeric,kilograms,,,,,,PhenX,PX090602230000,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Blood_Pressure_Systolic,Blood pressure (systolic),DCW_090602.doc,numeric,mm Hg,,,,,,PhenX,PX090602240100,,,,,,,,,,,,,,,,
PX090602_Exercise_Capacity_Patient_Blood_Pressure_Diastolic,Blood pressure (diastolic),DCW_090602.doc,numeric,mm Hg,,,,,,PhenX,PX090602240200,,,,,,,,,,,,,,,,
