"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX880101_Overactive_Bladder_4_Weeks_Bothered_Uncomfortable_Urge_Urinate","During the past 4 weeks, how bothered were you by... An uncomfortable urge to urinate?","DCW_880101.doc","encoded values","","","","","","","PhenX","PX880101010000","","","","","1 = Not at all","2 = A little bit","3 = Some- what","4 = Quite a bit","5 = A great deal","6 = A very great deal",""
"PX880101_Overactive_Bladder_4_Weeks_Bothered_Sudden_Urge_Urinate","During the past 4 weeks, how bothered were you by... A sudden urge to urinate with little or no warning?","DCW_880101.doc","encoded values","","","","","","","PhenX","PX880101020000","","","","","1 = Not at all","2 = A little bit","3 = Some- what","4 = Quite a bit","5 = A great deal","6 = A very great deal",""
"PX880101_Overactive_Bladder_4_Weeks_Bothered_Accidental_Loss_Small_Urine","During the past 4 weeks, how bothered were you by... Accidental loss of small amounts of urine?","DCW_880101.doc","encoded values","","","","","","","PhenX","PX880101030000","","","","","1 = Not at all","2 = A little bit","3 = Some- what","4 = Quite a bit","5 = A great deal","6 = A very great deal",""
"PX880101_Overactive_Bladder_4_Weeks_Bothered_Nighttime_Urination","During the past 4 weeks, how bothered were you by... Nighttime urination?","DCW_880101.doc","encoded values","","","","","","","PhenX","PX880101040000","","","","","1 = Not at all","2 = A little bit","3 = Some- what","4 = Quite a bit","5 = A great deal","6 = A very great deal",""
"PX880101_Overactive_Bladder_4_Weeks_Bothered_Wake_Up_Night_Urinate","During the past 4 weeks, how bothered were you by... Waking up at night because you had to urinate?","DCW_880101.doc","encoded values","","","","","","","PhenX","PX880101050000","","","","","1 = Not at all","2 = A little bit","3 = Some- what","4 = Quite a bit","5 = A great deal","6 = A very great deal",""
"PX880101_Overactive_Bladder_4_Weeks_Bothered_Urine_Loss_Desire_Urinate","During the past 4 weeks, how bothered were you by... Urine loss associated with a strong desire to urinate?","DCW_880101.doc","encoded values","","","","","","","PhenX","PX880101060000","","","","","1 = Not at all","2 = A little bit","3 = Some- what","4 = Quite a bit","5 = A great deal","6 = A very great deal",""
"PX880101_Overactive_Bladder_Past_Week_Symptoms_Plan_Escape_Routes","During the past week, how often have your bladder symptoms... Caused you to plan \"escape routes\" to restrooms in public places?","DCW_880101.doc","encoded values","","","","","","","PhenX","PX880101070000","","","","","1 = None of the time","2 = A little of the time","3 = Some of the time","4 = A good bit of the time","5 = Most of the time","6 = All of the time",""
"PX880101_Overactive_Bladder_Past_Week_Symptoms_Feel_Like_Something_Wrong","During the past week, how often have your bladder symptoms... Made you feel like there is something wrong with you?","DCW_880101.doc","encoded values","","","","","","","PhenX","PX880101080000","","","","","1 = None of the time","2 = A little of the time","3 = Some of the time","4 = A good bit of the time","5 = Most of the time","6 = All of the time",""
"PX880101_Overactive_Bladder_Past_Week_Symptoms_Interfere_Ability_Good_Night_Rest","During the past week, how often have your bladder symptoms... Interfered with your ability to get a good night's rest?","DCW_880101.doc","encoded values","","","","","","","PhenX","PX880101090000","","","","","1 = None of the time","2 = A little of the time","3 = Some of the time","4 = A good bit of the time","5 = Most of the time","6 = All of the time",""
"PX880101_Overactive_Bladder_Past_Week_Symptoms_Frustrated_Annoyed_Amount_Time_In_Restroom","During the past week, how often have your bladder symptoms... Made you frustrated or annoyed about the amount of time you spend in the restroom?","DCW_880101.doc","encoded values","","","","","","","PhenX","PX880101100000","","","","","1 = None of the time","2 = A little of the time","3 = Some of the time","4 = A good bit of the time","5 = Most of the time","6 = All of the time",""
"PX880101_Overactive_Bladder_Past_Week_Symptoms_Avoid_Activities_Away_From_Restroom","During the past week, how often have your bladder symptoms... Made you avoid activities away from restrooms (i.e., walks, running, hiking)?","DCW_880101.doc","encoded values","","","","","","","PhenX","PX880101110000","","","","","1 = None of the time","2 = A little of the time","3 = Some of the time","4 = A good bit of the time","5 = Most of the time","6 = All of the time",""
