"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX330801_Self_Efficacy_Smoking_Refrain_Internal_Stimuli_Nervous","Please indicate whether you are sure that you could refrain from smoking in each situation: When I feel nervous","DCW_330801.doc","encoded values","","","","","","","PhenX","PX330801010000","","","","","1 = Not at all sure","2 = Not very sure","3 = More or less sure","4 = Fairly sure","5 = Absolutely sure","",""
"PX330801_Self_Efficacy_Smoking_Refrain_Internal_Stimuli_Depressed","Please indicate whether you are sure that you could refrain from smoking in each situation: When I feel depressed","DCW_330801.doc","encoded values","","","","","","","PhenX","PX330801020000","","","","","1 = Not at all sure","2 = Not very sure","3 = More or less sure","4 = Fairly sure","5 = Absolutely sure","",""
"PX330801_Self_Efficacy_Smoking_Refrain_Internal_Stimuli_Angry","Please indicate whether you are sure that you could refrain from smoking in each situation: When I am angry","DCW_330801.doc","encoded values","","","","","","","PhenX","PX330801030000","","","","","1 = Not at all sure","2 = Not very sure","3 = More or less sure","4 = Fairly sure","5 = Absolutely sure","",""
"PX330801_Self_Efficacy_Smoking_Refrain_Internal_Stimuli_Anxious","Please indicate whether you are sure that you could refrain from smoking in each situation: When I feel very anxious","DCW_330801.doc","encoded values","","","","","","","PhenX","PX330801040000","","","","","1 = Not at all sure","2 = Not very sure","3 = More or less sure","4 = Fairly sure","5 = Absolutely sure","",""
"PX330801_Self_Efficacy_Smoking_Refrain_Internal_Stimuli_Difficult_Problem","Please indicate whether you are sure that you could refrain from smoking in each situation: When I want to think about a difficult problem","DCW_330801.doc","encoded values","","","","","","","PhenX","PX330801050000","","","","","1 = Not at all sure","2 = Not very sure","3 = More or less sure","4 = Fairly sure","5 = Absolutely sure","",""
"PX330801_Self_Efficacy_Smoking_Refrain_Internal_Stimuli_Urge","Please indicate whether you are sure that you could refrain from smoking in each situation: When I feel the urge to smoke.","DCW_330801.doc","encoded values","","","","","","","PhenX","PX330801060000","","","","","1 = Not at all sure","2 = Not very sure","3 = More or less sure","4 = Fairly sure","5 = Absolutely sure","",""
"PX330801_Self_Efficacy_Smoking_Refrain_External_Stimuli_Social_Drinking","Please indicate whether you are sure that you could refrain from smoking in each situation: When having a drink with friends","DCW_330801.doc","encoded values","","","","","","","PhenX","PX330801070000","","","","","1 = Not at all sure","2 = Not very sure","3 = More or less sure","4 = Fairly sure","5 = Absolutely sure","",""
"PX330801_Self_Efficacy_Smoking_Refrain_External_Stimuli_Celebrating","Please indicate whether you are sure that you could refrain from smoking in each situation: When celebrating something","DCW_330801.doc","encoded values","","","","","","","PhenX","PX330801080000","","","","","1 = Not at all sure","2 = Not very sure","3 = More or less sure","4 = Fairly sure","5 = Absolutely sure","",""
"PX330801_Self_Efficacy_Smoking_Refrain_External_Stimuli_Drinking","Please indicate whether you are sure that you could refrain from smoking in each situation: When drinking beer, wine or other spirits","DCW_330801.doc","encoded values","","","","","","","PhenX","PX330801090000","","","","","1 = Not at all sure","2 = Not very sure","3 = More or less sure","4 = Fairly sure","5 = Absolutely sure","",""
"PX330801_Self_Efficacy_Smoking_Refrain_External_Stimuli_Others","Please indicate whether you are sure that you could refrain from smoking in each situation: When I am with smokers","DCW_330801.doc","encoded values","","","","","","","PhenX","PX330801100000","","","","","1 = Not at all sure","2 = Not very sure","3 = More or less sure","4 = Fairly sure","5 = Absolutely sure","",""
"PX330801_Self_Efficacy_Smoking_Refrain_External_Stimuli_Meal","Please indicate whether you are sure that you could refrain from smoking in each situation: After a meal","DCW_330801.doc","encoded values","","","","","","","PhenX","PX330801110000","","","","","1 = Not at all sure","2 = Not very sure","3 = More or less sure","4 = Fairly sure","5 = Absolutely sure","",""
"PX330801_Self_Efficacy_Smoking_Refrain_External_Stimuli_Coffee_Tea","Please indicate whether you are sure that you could refrain from smoking in each situation: When having coffee or tea","DCW_330801.doc","encoded values","","","","","","","PhenX","PX330801120000","","","","","1 = Not at all sure","2 = Not very sure","3 = More or less sure","4 = Fairly sure","5 = Absolutely sure","",""
