VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,VARIABLE_TERM,ORDER,VALUES,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Introduction_EatingPattern,What has been your usual eating pattern?,DCW_650103.doc,string,,,,,,,PhenX,PX650103010100,,,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Introduction_DailyPattern,Have your eating habits varied much from day to day?,DCW_650103.doc,enumerated,,,,,,,PhenX,PX650103010200,,Yes,No,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Introduction_WeekVsWeekend,Have weekdays differed from weekends?,DCW_650103.doc,enumerated,,,,,,,PhenX,PX650103010300,,Yes,No,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Introduction_Fasting,Have there been any days when you haven't eaten anything?,DCW_650103.doc,enumerated,,,,,,,PhenX,PX650103010400,,Yes,No,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Introduction_History,What about the previous two months (specify months) ........  Were your eating habits much the same or were they different?,DCW_650103.doc,enumerated,,,,,,,PhenX,PX650103010500,,Same,Different,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Introduction_MoreHistory,How about the three months prior to that ................ that is between (specify month) and (specify month)?  What were you eating habits like then?,DCW_650103.doc,string,,,,,,,PhenX,PX650103010600,,,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Plugging_History,"Over the past four weeks have you had problems with the small opening in your stomach becoming plugged, or food becoming stuck in the small opening of your stomach?",DCW_650103.doc,enumerated,,,,,,,PhenX,PX650103020100,,Yes,No,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Plugging_Days_Month,"What is the number of days in 1 month prior that you had problems with the small opening in your stomach becoming plugged, or food becoming stuck in the small opening of your stomach?",DCW_650103.doc,integer,days,,,,,,PhenX,PX650103020201,,,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Plugging_Episodes_Month,"What is the number of episodes in 1 month prior that you had problems with the small opening in your stomach becoming plugged, or food becoming stuck in the small opening of your stomach?",DCW_650103.doc,integer,,,,,,,PhenX,PX650103020202,,,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Plugging_Days_MonthTwo,"What is the number of days in 2 month prior that you had problems with the small opening in your stomach becoming plugged, or food becoming stuck in the small opening of your stomach?",DCW_650103.doc,integer,days,,,,,,PhenX,PX650103020301,,,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Plugging_Episodes_MonthTwo,"What is the number of episodes in 2 month prior that you had problems with the small opening in your stomach becoming plugged, or food becoming stuck in the small opening of your stomach?",DCW_650103.doc,integer,,,,,,,PhenX,PX650103020302,,,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Plugging_Days_MonthThree,"What is the number of days in 3 month prior that you had problems with the small opening in your stomach becoming plugged, or food becoming stuck in the small opening of your stomach?",DCW_650103.doc,integer,days,,,,,,PhenX,PX650103020401,,,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Plugging_Episodes_MonthThree,"What is the number of episodes in 3 month prior that you had problems with the small opening in your stomach becoming plugged, or food becoming stuck in the small opening of your stomach?",DCW_650103.doc,integer,,,,,,,PhenX,PX650103020402,,,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Plugging_Days_MonthFour,"What is the number of days in 4 month prior that you had problems with the small opening in your stomach becoming plugged, or food becoming stuck in the small opening of your stomach?",DCW_650103.doc,integer,days,,,,,,PhenX,PX650103020501,,,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Plugging_Episodes_MonthFour,"What is the number of episodes in 4 month prior that you had problems with the small opening in your stomach becoming plugged, or food becoming stuck in the small opening of your stomach?",DCW_650103.doc,integer,,,,,,,PhenX,PX650103020502,,,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Plugging_Days_MonthFive,"What is the number of days in 5 month prior that you had problems with the small opening in your stomach becoming plugged, or food becoming stuck in the small opening of your stomach?",DCW_650103.doc,integer,days,,,,,,PhenX,PX650103020601,,,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Plugging_Episodes_MonthFive,"What is the number of episodes in 5 month prior that you had problems with the small opening in your stomach becoming plugged, or food becoming stuck in the small opening of your stomach?",DCW_650103.doc,integer,,,,,,,PhenX,PX650103020602,,,,,,,,,,,,,,,,,,
PX650103_PsychopathologyEatingDisordersBariatric_Plugging_Days_MonthSix,"What is the number of days in 6 month prior that you had problems with the small opening in your stomach becoming plugged, or food becoming stuck in the small opening of your stomach?",DCW_650103.doc,integer,days,,,,,,PhenX,PX650103020701,,,,,,,,,,,,,,,,,,
