"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX850801_Graft_Versus_Host_Disease_Acute_GVHD_Since_Last_Report","Did acute GVHD develop since the date of last report?","DCW_850801.doc","enumerated","","","","","","","PhenX","PX850801010000","","","","","Yes","No","Unknown","","","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Date_Acute_GVHD_Diagnosis","Date of acute GVHD diagnosis","DCW_850801.doc","date","","","","","","","PhenX","PX850801020000","","","","","","","","","","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Acute_GVHD_Persist_Last_Report","Did acute GVHD persist since the date of last report?","DCW_850801.doc","enumerated","","","","","","","PhenX","PX850801030000","","","","","Yes","No","Unknown","","","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Maximum_Overall_Grade_Acude_GVHD","Maximum overall grade of acute GVHD","DCW_850801.doc","enumerated","","","","","ASK IF \"Did acute GVHD persist since the date of last report\" = \"Yes\"","","PhenX","PX850801040000","","","","","I - Rash on < 50% of skin, no liver or gut involvement","II - Rash on > 50% of skin, bilirubin 2-3 mg/dL, or diarrhea 500-1000 mL/day or persistent nausea or vomiting","Ill - Bilirubin 3-15 mg/dL, or gut stage 2-4 diarrhea > 1000 mL/day or severe abdominal pain with or without ileus","IV - Generalized erythroderma with bullous formation, or bilirubin > 15 mg/dL","Not applicable (acute GVHD present but cannot be graded)","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Date_Maximum_Overall_Grade_Acute_GVHD","Date maximum overall grade of acute GVHD","DCW_850801.doc","date","","","","","ASK IF \"Did acute GVHD persist since the date of last report\" = \"Yes\"","","PhenX","PX850801050000","","","","","","","","","","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Skin","Specify the maximum overall grade and organ staging of acute GVHD since the date of last report: Skin","DCW_850801.doc","enumerated","","","","","ASK IF \"Did acute GVHD persist since the date of last report\" = \"Yes\"","","PhenX","PX850801060000","","","","","Stage 0 - no rash, no rash attributable to acute GVHD","Stage 1 - maculopapular rash, < 25% of body surface","Stage 2 - maculopapular rash, 25-50% of body surface","Stage 3 - generalized erythroderma, > 50% of body surface","Stage 4 - generalized erythroderma with bullae formation and/or desquamation","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Lower_Intestinal_Tract","Specify the maximum overall grade and organ staging of acute GVHD since the date of last report: Lower intestinal tract (use mL/day for adult recipients and mL/kg/day for pediatric recipients)","DCW_850801.doc","enumerated","","","","","ASK IF \"Did acute GVHD persist since the date of last report\" = \"Yes\"","","PhenX","PX850801070000","","","","","Stage 0 - no diarrhea, no diarrhea attributable to acute GVHD /diarrhea< 500 mL/day (adult), or <10 mL/kg/day (pediatric)","Stage 1 - diarrhea 500 - 1000 mL/day (adult), or 10 - 19.9 mL/kg/day (pediatric)","Stage 2 - diarrhea 1001 - 1500 mL/day (adult), or 20-30 mL/kg/day (pediatric)","Stage 3 - diarrhea > 1500 mL/day (adult), or >30 mL/kg/day (pediatric)","Stage 4 - severe abdominal pain, with or without ileus, and/or grossly bloody stool","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Upper_Intestinal_Tract","Specify the maximum overall grade and organ staging of acute GVHD since the date of last report: Upper instestinal tract","DCW_850801.doc","enumerated","","","","","ASK IF \"Did acute GVHD persist since the date of last report\" = \"Yes\"","","PhenX","PX850801080000","","","","","Stage 0 - no persistent nausea or vomiting","Stage 1 - persistent nausea or vomiting","","","","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Liver","Specify the maximum overall grade and organ staging of acute GVHD since the date of last report: Liver","DCW_850801.doc","enumerated","","","","","ASK IF \"Did acute GVHD persist since the date of last report\" = \"Yes\"","","PhenX","PX850801090000","","","","","Stage 0 - No liver acute GVHD / bilirubin < 2.0 mg/dL (< 34 µmol/L)","Stage 1 - bilirubin 2.0- 3.0 mg/dL (34-52 µmol/L)","Stage 2 - bilirubin 3.1-6.0 mg/dL (53-103 µmol/L)","Stage 3 - bilirubin 6.1-15.0 mg/dL (104-256 µmol/L)","Stage 4 - bilirubin > 15.0 mg/dL ( > 256 µmol/L)","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Other_Sites_Involved_Acute_GVHD","Specify the maximum overall grade and organ staging of acute GVHD since the date of last report: Other site(s) involved with acute GVHD","DCW_850801.doc","enumerated","","","","","ASK IF \"Did acute GVHD persist since the date of last report\" = \"Yes\"","","PhenX","PX850801100000","","","","","Yes","No","","","","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Specify_Other_Sites","Specify the maximum overall grade and organ staging of acute GVHD since the date of last report: Other site(s) involved with acute GVHD. Specify:","DCW_850801.doc","string","","","","","ASK IF \"Other site(s) involved with acute GVHD\" = \"Yes\"","","PhenX","PX850801110000","","","","","","","","","","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Chronic_GVHD_Since_Last_Report","Did chronic GVHD develop since the date of last report?","DCW_850801.doc","enumerated","","","","","","","PhenX","PX850801120000","","","","","Yes","No","Unknown","","","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Date_Chronic_GVHD_Diagnosis","Date of chronic GVHD diagnosis - date estimated","DCW_850801.doc","date","","","","","","","PhenX","PX850801130000","","","","","","","","","","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Chronic_GVHD_Persist_Since_Last_Report","Did chronic GVHD persist since the date of last report?","DCW_850801.doc","enumerated","","","","","","","PhenX","PX850801140000","","","","","Yes","No","","","","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Maximum_Grade_Chronic_GVHD","Maximum grade of chronic GVHD {according to best clinical judgment)","DCW_850801.doc","enumerated","","","","","","","PhenX","PX850801150000","","","","","Mild","Moderate","Severe","Unknown","","","","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Chronic_GVHD_Limited_Extensive","Specify if chronic GVHD was limited or extensive","DCW_850801.doc","enumerated","","","","","","","PhenX","PX850801160000","","","","","Limited - localized skin involvement and/or liver dysfunction","Extensive - one or more of the following:","generalized skin involvement; or,","liver histology showing chronic aggressive hepatitis, bridging necrosis or cirrhosis; or,","involvement of eye: Schirmer's test with < 5 mm wetting; or","involvement of minor salivary glands or oral mucosa demonstrated on labial biopsy; or","involvement of any other target organ","","","","","","",""
"PX850801_Graft_Versus_Host_Disease_Date_Maximum_Grade_Chronic_GVHD","Date of maximum grade of chronic GVHD","DCW_850801.doc","date","","","","","","","PhenX","PX850801170000","","","","","","","","","","","","","","","","","",""
