VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX910402_Quantitive_Factor_Nine_Clotting_Sample_Collection,Were the sample collection procedures outlined in Lippi et al. (2012) followed to ensure quality specimens for coagulation testing?,DCW_910402.doc,enumerated,,,,,,,PhenX,PX910402010000,,,,,Yes,No
PX910402_Quantitive_Factor_Nine_Clotting_Sample_Processing,Were the sample collection procedures outlined in Adcock Funk et al. (2012) followed?,DCW_910402.doc,enumerated,,,,,,,PhenX,PX910402020100,,,,,Yes,No
PX910402_Quantitive_Factor_Nine_Clotting_Sample_Processing_Capped_Room_Temp,Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?,DCW_910402.doc,enumerated,,,,,,,PhenX,PX910402020200,,,,,Yes,No
PX910402_Quantitive_Factor_Nine_Clotting_Sample_Processing_Not_Refrigerated_Stored,Were samples refrigerated or stored on ice or in an ice bath?,DCW_910402.doc,enumerated,,,,,,,PhenX,PX910402020300,,,,,Yes,No
PX910402_Quantitive_Factor_Nine_Clotting_Sample_Processing_Not_Transported_Vertically,Were samples transported vertically?,DCW_910402.doc,enumerated,,,,,,,PhenX,PX910402020400,,,,,Yes,No
PX910402_Quantitive_Factor_Nine_Clotting_Sample_Processing_Not_Agitated,Were samples agitated during transportation to avoid remixing of components?,DCW_910402.doc,enumerated,,,,,,,PhenX,PX910402020500,,,,,Yes,No
PX910402_Quantitive_Factor_Nine_Clotting_Sample_Processing_Transported_Stored,Were procedures for samples transportation and storage followed?,DCW_910402.doc,enumerated,,,,,,,PhenX,PX910402030100,,,,,Yes,No
PX910402_Quantitive_Factor_Nine_Clotting_Sample_Processing_Unprocessed_Sodium_Citrate,Were samples transported and stored as unprocessed sodium citrate whole blood samples?,DCW_910402.doc,enumerated,,,,,,,PhenX,PX910402030200,,,,,Yes,No
PX910402_Quantitive_Factor_Nine_Clotting_Sample_Processing_Whole_Blood_Centrifuged,Were samples transported and stored as whole blood samples centrifuged and maintained in sodium citrate tubes?,DCW_910402.doc,enumerated,,,,,,,PhenX,PX910402030300,,,,,Yes,No
PX910402_Quantitive_Factor_Nine_Clotting_Sample_Processing_Plasma_Processed_Centrifugation,Were samples transported and stored as plasma processed by centrifugation and aliquoting into a second tube?,DCW_910402.doc,enumerated,,,,,,,PhenX,PX910402030400,,,,,Yes,No
PX910402_Quantitive_Factor_Nine_Clotting_Bethesda_Assay_Nijmegen_Modification_One,Were appropriate assays and instruments to perform the Bethesda assay with Nijmegen modification using the one-stage clotting factor assay chosen?,DCW_910402.doc,enumerated,,,,,,,PhenX,PX910402040000,,,,,Yes,No
PX910402_Quantitive_Factor_Nine_Clotting_Interpretation_Results,Was a result of >= 0.6 Bethesda Units (BU) per mL on two or more separate assays over a 1-4 week period achieved?,DCW_910402.doc,enumerated,,,,,,,PhenX,PX910402050000,,,,,Yes,No
