VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,VARIABLE_TERM,ORDER,VALUES,,,,,,,,,,,,,,,,
PX650101_PsychopathologyEatingDisorders_Introduction,Has your eating been very different from one day to the next?,DCW_650101.doc,enumerated,,,,,,,PhenX,PX650101010100,,Yes,No,,,,,,,,,,,,,,,
PX650101_PsychopathologyEatingDisorders_Introduction_Weekend,Has your eating on weekends been different to days during the week?,DCW_650101.doc,enumerated,,,,,,,PhenX,PX650101010200,,Yes,No,,,,,,,,,,,,,,,
PX650101_PsychopathologyEatingDisorders_Introduction_Fasting,Have there been any days when you haven’t eaten anything at all?,DCW_650101.doc,enumerated,,,,,,,PhenX,PX650101010300,,Yes,No,,,,,,,,,,,,,,,
PX650101_PsychopathologyEatingDisorders_Introduction_SickDays,Recent sick days or vacation days during which you’re eating might have been different?,DCW_650101.doc,enumerated,,,,,,,PhenX,PX650101010400,,Yes,No,,,,,,,,,,,,,,,
PX650101_PsychopathologyEatingDisorders_Introduction_TwoMonths,What about during the past two months? (NB at this point you will almost certainly have to use the agenda to aid recall.),DCW_650101.doc,enumerated,,,,,,,PhenX,PX650101010500,,Yes,No,,,,,,,,,,,,,,,
PX650101_PsychopathologyEatingDisorders_PatternOfEating_Meals_Week,"Over the past 7 days (not including today), which of these meals or snacks have you eaten regularly during the week?",DCW_650101.doc,enumerated,,,,,,,PhenX,PX650101020100,,Breakfast,Mid-morning snack,Lunch,Mid-afternoon snack,Evening meal,"Nocturnal snack (i.e., after having been asleep)",,,,,,,,,,,
PX650101_PsychopathologyEatingDisorders_PatternOfEating_Meals_Weekend,"Over the past 7 days (not including today), which of these meals or snacks have you eaten regularly over the weekend?",DCW_650101.doc,enumerated,,,,,,,PhenX,PX650101020200,,Breakfast,Mid-morning snack,Lunch,Mid-afternoon snack,Evening meal,"Nocturnal snack (i.e., after having been asleep)",,,,,,,,,,,
PX650101_PsychopathologyEatingDisorders_PatternOfEating_Breakfast_Week,How would you rate your eating habits for breakfast during the week?,DCW_650101.doc,encoded values,,,,,skip logic,"ASK IF ""Breakfast"" was selected",PhenX,PX650101020300,,0 = meal or snack not taken,1,2 = meal or snack eaten on less than half the days,3,4 = meal or snack eaten on more than half the days,5,6 = meal or snack eaten every day,,,,,,,,,,
PX650101_PsychopathologyEatingDisorders_PatternOfEating_Breakfast_Weekend,How would you rate your eating habits for breakfast over the weekend?,DCW_650101.doc,encoded values,,,,,skip logic,"ASK IF ""Breakfast"" was selected",PhenX,PX650101020400,,0 = meal or snack not taken,1,2 = meal or snack eaten on less than half the days,3,4 = meal or snack eaten on more than half the days,5,6 = meal or snack eaten every day,,,,,,,,,,
PX650101_PsychopathologyEatingDisorders_PatternOfEating_Midmorning_Week,How would you rate your eating habits for mid-morning snacks during the week?,DCW_650101.doc,encoded values,,,,,skip logic,"ASK IF ""Mid-morning snack"" was selected",PhenX,PX650101020500,,0 = meal or snack not taken,1,2 = meal or snack eaten on less than half the days,3,4 = meal or snack eaten on more than half the days,5,6 = meal or snack eaten every day,,,,,,,,,,
PX650101_PsychopathologyEatingDisorders_PatternOfEating_Midmorning_Weekend,How would you rate your eating habits for mid-morning snacks over the weekend?,DCW_650101.doc,encoded values,,,,,skip logic,"ASK IF ""Mid-morning snack"" was selected",PhenX,PX650101020600,,0 = meal or snack not taken,1,2 = meal or snack eaten on less than half the days,3,4 = meal or snack eaten on more than half the days,5,6 = meal or snack eaten every day,,,,,,,,,,
PX650101_PsychopathologyEatingDisorders_PatternOfEating_Lunch_Week,How would you rate your eating habits for lunch during the week?,DCW_650101.doc,encoded values,,,,,skip logic,"ASK IF ""Lunch"" was selected",PhenX,PX650101020700,,0 = meal or snack not taken,1,2 = meal or snack eaten on less than half the days,3,4 = meal or snack eaten on more than half the days,5,6 = meal or snack eaten every day,,,,,,,,,,
