VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,
PX510801_AddictionSeverity_Religion, RELIGIOUS PREFERENCE,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801000100,,,,,1 = Protestant,2 = Catholic,3 = Jewish,4 = Islamic,5 = Other,6 = None,,,
PX510801_AddictionSeverity_Controlled_Environment,Have you been in a controlled environment in the past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801000201,,,,,1 = No - Go to Q4,2 = Jail,3 = Alcohol or Drug Treatment,4 = Medical Treatment,5 = Psychiatric Treatment,6 = Other ___________________________,,,
PX510801_AddictionSeverity_Controlled_Environment_Other,Have you been in a controlled environment in the past 30 days? Other,DCW_510801.doc,string,,,,,,,PhenX,PX510801000202,,,,,,,,,,,,,
PX510801_AddictionSeverity_Controlled_Environment_Days,How many days?,DCW_510801.doc,integer,days,,,,,,PhenX,PX510801000300,,,,,,,,,,,,,
PX510801_AddictionSeverity_Hospitalization_Medical_Problems,"*How many times in your life have you been hospitalized for medical problems? (Include o.d.’s, d.t.’s, exclude detox.)",DCW_510801.doc,integer,,,,,,,PhenX,PX510801000400,,,,,,,,,,,,,
PX510801_AddictionSeverity_Medical_Hospitalization_Years,How long ago was your last hospitalization for a physical problem - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801000501,,,,,,,,,,,,,
PX510801_AddictionSeverity_Medical_Hospitalization_Months,How long ago was your last hospitalization for a physical problem - Months,DCW_510801.doc,integer,months,,,,,,PhenX,PX510801000502,,,,,,,,,,,,,
PX510801_AddictionSeverity_Chronic_MedicalProblems,Do you have any chronic medical problems which continue to interfere with your life?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801000601,,,,,0 = No,"1 = Yes, specify",,,,,,,
PX510801_AddictionSeverity_Chronic_MedicalProblems_Specify,Do you have any chronic medical problems which continue to interfere with your life? Specify,DCW_510801.doc,string,,,,,,,PhenX,PX510801000602,,,,,,,,,,,,,
PX510801_AddictionSeverity_Prescribed_Medication,Are you taking any prescribed medication on a regular basis for a physical problem?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801000700,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Pension_Disability,Do you receive a pension for a physical disability? (Exclude psychiatric disability.),DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801000801,,,,,,,,,,,,,
PX510801_AddictionSeverity_Pension_Disability_Specify,Do you receive a pension for a physical disability? (Exclude psychiatric disability.) Specify,DCW_510801.doc,string,,,,,,,PhenX,PX510801000802,,,,,0 = No,"1 = Yes, specify",,,,,,,
PX510801_AddictionSeverity_Medical_Problems_PastMonth,How many days have you experienced medical problems in the past 30?,DCW_510801.doc,integer,,,,,,,PhenX,PX510801000900,,,,,,,,,,,,,
PX510801_AddictionSeverity_Medical_Problems_PastMonth_Rating,How troubled or bothered have you been by these medical problems in the past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801001000,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Medical_Problems_Treatment_Rating,How important to you now is treatment for these medical problems?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801001100,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Medical_Problems_Interviewers_Rating,How would you rate the patient’s need for medical treatment?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801001200,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Patient_Misrepresentation,Is the above information significantly distorted by: Patient’s misrepresentation?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801001300,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Patient_Misunderstanding,Is the above information significantly distorted by: Patient’s inability to understand?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801001400,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Profession,"Do you have a profession, trade, or skill?",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801001501,,,,,0 = No,"1 = Yes, specify",,,,,,,
PX510801_AddictionSeverity_Profession_Specify,"Do you have a profession, trade, or skill? Specify",DCW_510801.doc,string,,,,,,,PhenX,PX510801001502,,,,,,,,,,,,,
PX510801_AddictionSeverity_Drivers_License,Do you have a valid driver’s license?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801001600,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Automobile,Do you have an automobile available for use? (Answer No if no valid driver’s license.),DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801001700,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_FullTime_Employment_Years,How long was your longest full-time job? Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801001801,,,,,,,,,,,,,
PX510801_AddictionSeverity_FullTime_Employment_Months,How long was your longest full-time job? Months,DCW_510801.doc,integer,months,,,,,,PhenX,PX510801001802,,,,,,,,,,,,,
PX510801_AddictionSeverity_Last_Occupation,*Usual (or last) occupation.,DCW_510801.doc,string,,,,,,,PhenX,PX510801001900,,,,,,,,,,,,,
PX510801_AddictionSeverity_Outside_Support,Does someone contribute to your support in any way?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801002000,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Outside_Support_Majority,(ONLY IF ITEM 20 IS YES) Does this constitute the majority of your support?,DCW_510801.doc,encoded values,,,,,ASK IF Q20 = 1,,PhenX,PX510801002100,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Employment_Pattern,"Usual employment pattern, past 3 years.",DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801002200,,,,,1 = full time (40 hrs/wk),2 = part time (reg. hrs),"3 = part time (irreg, daywork)",4 = student,5 = service,6 = retired/disability,7 = unemployed,8 = in controlled environment,
PX510801_AddictionSeverity_PaidDays_Past_Month,"How many days were you paid for working in the past 30? (include ""under the table"" work""",DCW_510801.doc,integer,,,,,,,PhenX,PX510801002300,,,,,,,,,,,,,
PX510801_AddictionSeverity_Money_Employment,How much money did you receive from the following sources in the past 30 days? Employment (net income),DCW_510801.doc,integer,,,,,,,PhenX,PX510801002401,,,,,,,,,,,,,
PX510801_AddictionSeverity_Money_Unemployment,How much money did you receive from the following sources in the past 30 days? Unemployment compensation,DCW_510801.doc,integer,,,,,,,PhenX,PX510801002402,,,,,,,,,,,,,
PX510801_AddictionSeverity_Money_DPA,How much money did you receive from the following sources in the past 30 days? DPA,DCW_510801.doc,integer,,,,,,,PhenX,PX510801002403,,,,,,,,,,,,,
PX510801_AddictionSeverity_Money_Pension,"How much money did you receive from the following sources in the past 30 days? Pension, benefits or Social Security",DCW_510801.doc,integer,,,,,,,PhenX,PX510801002404,,,,,,,,,,,,,
PX510801_AddictionSeverity_Money_Friends_Family,"How much money did you receive from the following sources in the past 30 days? Mate, family or friends (Money for personal expenses.)",DCW_510801.doc,integer,,,,,,,PhenX,PX510801002405,,,,,,,,,,,,,
PX510801_AddictionSeverity_Money_Illegal,How much money did you receive from the following sources in the past 30 days? Illegal,DCW_510801.doc,integer,,,,,,,PhenX,PX510801002406,,,,,,,,,,,,,
PX510801_AddictionSeverity_Dependents,"How many people depend on you for the majority of their food, shelter, etc.?",DCW_510801.doc,integer,,,,,,,PhenX,PX510801002500,,,,,,,,,,,,,
PX510801_AddictionSeverity_EmploymentProblems_Past_Month,How many days have you experienced employment problems in the past 30?,DCW_510801.doc,integer,,,,,,,PhenX,PX510801002600,,,,,,,,,,,,,
PX510801_AddictionSeverity_Troubled_Employment_Problems,How troubled or bothered have you been by these employment problems in the past 30 days?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801002700,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Counseling_Employment_Problems,How important to you now is counseling for these employment problems?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801002800,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_EmploymentProblems_Interviewer_Rating,How would you rate the patient’s need for employment counseling?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801002900,,,,,0 = Not at all,1 = Slightly,2 = Moderately,3 = Considerably,4 = Extremely,,,,
PX510801_AddictionSeverity_Patient_Misrepresentation_Employment,Is the above information significantly distorted by: Patient’s misrepresentation?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801003000,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Patient_Misunderstanding_Employment,Is the above information significantly distorted by: Patient’s inability to understand?,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801003100,,,,,0 = No,1 = Yes,,,,,,,
PX510801_AddictionSeverity_Alcohol_AnyUse_PastMonth,Alcohol - Any use at all - Past 30 days,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801003201,,,,,,,,,,,,,
PX510801_AddictionSeverity_Alcohol_AnyUse_Lifetime,Alcohol - Any use at all - Lifetime - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801003202,,,,,,,,,,,,,
PX510801_AddictionSeverity_Alcohol_AnyUse_Administration,Alcohol - Any use at all - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801003203,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_Alcohol_ToIntoxication_PastMonth,Alcohol - To intoxication - Past 30 days,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801003301,,,,,,,,,,,,,
PX510801_AddictionSeverity_Alcohol_ToIntoxication_Lifetime,Alcohol - To intoxication - Lifetime - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801003302,,,,,,,,,,,,,
PX510801_AddictionSeverity_Alcohol_ToIntoxication_Administration,Alcohol - To intoxication - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801003303,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_Heroin_PastMonth,Heroin - Past 30 days,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801003401,,,,,,,,,,,,,
PX510801_AddictionSeverity_Heroin_Lifetime,Heroin - Lifetime - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801003402,,,,,,,,,,,,,
PX510801_AddictionSeverity_Heroin_Administration,Heroin - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801003403,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_Methadone_PastMonth,Methadone - Past 30 days,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801003501,,,,,,,,,,,,,
PX510801_AddictionSeverity_Methadone_Lifetime,Methadone - Lifetime - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801003502,,,,,,,,,,,,,
PX510801_AddictionSeverity_Methadone_Administration,Methadone - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801003503,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_Opiates_PastMonth,Other opiates/analgesics - Past 30 days,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801003601,,,,,,,,,,,,,
PX510801_AddictionSeverity_Opiates_Lifetime,Other opiates/analgesics - Lifetime - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801003602,,,,,,,,,,,,,
PX510801_AddictionSeverity_Opiates_Administration,Other opiates/analgesics - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801003603,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_Barbituates_PastMonth,Barbiturates - Past 30 days,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801003701,,,,,,,,,,,,,
PX510801_AddictionSeverity_Barbituates_Lifetime,Barbiturates - Lifetime - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801003702,,,,,,,,,,,,,
PX510801_AddictionSeverity_Barbituates_Administration,Barbiturates - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801003703,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_Sedatives_PastMonth,Other sed/hyp/tranq. - Past 30 days,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801003801,,,,,,,,,,,,,
PX510801_AddictionSeverity_Sedatives_Lifetime,Other sed/hyp/tranq. - Lifetime - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801003802,,,,,,,,,,,,,
PX510801_AddictionSeverity_Sedatives_Administration,Other sed/hyp/tranq. - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801003803,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_Cocaine_PastMonth,Cocaine - Past 30 days,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801003901,,,,,,,,,,,,,
PX510801_AddictionSeverity_Cocaine_Lifetime,Cocaine - Lifetime - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801003902,,,,,,,,,,,,,
PX510801_AddictionSeverity_Cocaine_Administration,Cocaine - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801003903,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_Amphetmaines_PastMonth,Amphetamines - Past 30 days,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801004001,,,,,,,,,,,,,
PX510801_AddictionSeverity_Amphetmaines_Lifetime,Amphetamines - Lifetime - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801004002,,,,,,,,,,,,,
PX510801_AddictionSeverity_Amphetmaines_Administration,Amphetamines - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801004003,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_Cannabis_PastMonth,Cannabis - Past 30 days,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801004101,,,,,,,,,,,,,
PX510801_AddictionSeverity_Cannabis_Lifetime,Cannabis - Lifetime - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801004102,,,,,,,,,,,,,
PX510801_AddictionSeverity_Cannabis_Administration,Cannabis - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801004103,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_Hallucinogens_PastMonth,Hallucinogens - Past 30 days,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801004201,,,,,,,,,,,,,
PX510801_AddictionSeverity_Hallucinogens_Lifetime,Hallucinogens - Lifetime - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801004202,,,,,,,,,,,,,
PX510801_AddictionSeverity_Hallucinogens_Administration,Hallucinogens - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801004203,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_Inhalants_PastMonth,Inhalants - Past 30 days,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801004301,,,,,,,,,,,,,
PX510801_AddictionSeverity_Inhalants_Lifetime,Inhalants - Lifetime - Years,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801004302,,,,,,,,,,,,,
PX510801_AddictionSeverity_Inhalants_Administration,Inhalants - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801004303,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_MoreThan_OneSubstance_PastMonth,More than one substance per day (Include alcohol) - Past month,DCW_510801.doc,integer,times,,,,,,PhenX,PX510801004401,,,,,,,,,,,,,
PX510801_AddictionSeverity_MoreThan_OneSubstance_Lifetime,More than one substance per day (Include alcohol) - Lifetime,DCW_510801.doc,integer,years,,,,,,PhenX,PX510801004402,,,,,,,,,,,,,
PX510801_AddictionSeverity_MoreThan_OneSubstance_Administration,More than one substance per day (Include alcohol) - Route of administration,DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801004403,,,,,1 = Oral,2 = Nasal,3 = Smoking,4 = Non IV injection,5 = IV injection,,,,
PX510801_AddictionSeverity_Substance_Major_Problem,"Which substance is the major problem? Please code as above or 00-No problem; 15-Alcohol & Drug (Dual addiction); 16-Polydrug; when not clear, ask patient.",DCW_510801.doc,string,,,,,,,PhenX,PX510801004500,,,,,,,,,,,,,
PX510801_AddictionSeverity_Longest_Abstinence,How long was your last period of voluntary abstinence from this major substance? (00-never abstinent),DCW_510801.doc,string,,,,,,,PhenX,PX510801004601,,,,,,,,,,,,,
PX510801_AddictionSeverity_Longest_Abstinence_Coded,How long was your last period of voluntary abstinence from this major substance? (00-never abstinent),DCW_510801.doc,encoded values,,,,,,,PhenX,PX510801004602,,,,,00 = never abstinent,,,,,,,,
