"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX850301_Psychosocial_Assessment_Candidates_Transplantation_Initial_Rating","Initial Rating of Candidate Quality","DCW_850301.doc","encoded values","","","","","","","PhenX","PX850301010000","","","","","0 = Poor surgery candidate","1 = Borderline candidate acceptable under some conditions","2 = Acceptable with some reservations","3 = Good candidate","4 = Excellent candidate","","","","","","","","",""
"PX850301_Psychosocial_Assessment_Candidates_Transplantation_Family_Support_System_Stability","Family or Support System Stability","DCW_850301.doc","encoded values","","","","","","","PhenX","PX850301020000","","","","","1 = No strong interpersonal ties or highly unstable relations","2","3 = Some stable relationships; some problems evident","4","5 = Stable, committed relationships strong family commitment; good mental health in supporters","UR = Unable to rate","","","","","","","",""
"PX850301_Psychosocial_Assessment_Candidates_Transplantation_Family_Support_System_Availability","Family or Support System Availability","DCW_850301.doc","encoded values","","","","","","","PhenX","PX850301030000","","","","","1 = Support unavailable","2","3 = Support availability limited by emotional or geographical factors","4","5 = In town with patient through process; emotionally supportive","UR = Unable to rate","","","","","","","",""
"PX850301_Psychosocial_Assessment_Candidates_Transplantation_Psychopathology_Personality_Factors","Psychopathology, Stable Personality Factors","DCW_850301.doc","encoded values","","","","","","","PhenX","PX850301040000","","","","","1 = Sever ongoing psychopathology (e.g., schizophrenia, recurrent depression, personality disorder)","2","3 = Moderate personality or adjustment/coping problems (e.g., significant reactive anxiety, situational depression)","4","5 = Well-adjusted","UR = Unable to rate","","","","","","","",""
"PX850301_Psychosocial_Assessment_Candidates_Transplantation_Psychopathology_Risk","Risk for Psychopathology","DCW_850301.doc","encoded values","","","","","","","PhenX","PX850301050000","","","","","1 = Strong family history of major psychopathology; previous significant psychiatric history in patient","2","3 = Periods of poor coping; some psychological sensitivity to medications; some family history of major psychopathology","4","5 = No history of major psychopathology in family, self, no periods of poor coping","UR = Unable to rate","","","","","","","",""
"PX850301_Psychosocial_Assessment_Candidates_Transplantation_Healthy_Lifestyle","Healthy Lifestyle, Ability to Sustain Change in Lifestyle","DCW_850301.doc","encoded values","","","","","","","PhenX","PX850301060000","","","","","1 = Sedentary lifestyle; major dietary problems; ongoing smoking; reluctant to change","2","3 = Some lifestyle change; may require further education to reduce risk","4","5 = Major, sustained changes in lifestyle; no major risk factors; willing to change","UR = Unable to rate","","","","","","","",""
"PX850301_Psychosocial_Assessment_Candidates_Transplantation_Drug_Alcohol_Use","Drug and Alcohol Use","DCW_850301.doc","encoded values","","","","","","","PhenX","PX850301070000","","","","","1 = Dependence, reluctant to change","2","3 = Moderate, non-daily use; willing to discontinue","4","5 = Abstinence or rare use","UR = Unable to rate","","","","","","","",""
"PX850301_Psychosocial_Assessment_Candidates_Transplantation_Compliance_Medications","Compliance with Medications and Medical Advice","DCW_850301.doc","encoded values","","","","","","","PhenX","PX850301080000","","","","","1 = Unreliable compliance; unconcerned; does not consult physician","2","3 = Knowledgeable re: meds; near adequate compliance; not vigilant, usually consults physician","4","5 = Knowledgeable re: meds; vigilant; keeps records; consults physician","UR = Unable to rate","","","","","","","",""
"PX850301_Psychosocial_Assessment_Candidates_Transplantation_Knowledge_Education","Knowledge and Education","DCW_850301.doc","encoded values","","","","","","","PhenX","PX850301090000","","","","","1 = No idea of what is involved; views transplant as cure, no long range picture","2","3 = Some knowledge gaps or denial; generally good understanding","4","5 = Able to state risks and benefits; realistic","UR = Unable to rate","","","","","","","",""
"PX850301_Psychosocial_Assessment_Candidates_Transplantation_Candidate_Quality_Rating","Final Rating of Candidate Quality (Do not average above responses)","DCW_850301.doc","encoded values","","","","","","","PhenX","PX850301100000","","","","","0 = Poor surgery candidate","1 = Borderline candidate acceptable under some conditions","2 = Acceptable with some reservations","3 = Good candidate","4 = Excellent candidate","","","","","","","","",""
"PX850301_Psychosocial_Assessment_Candidates_Transplantation_Candidate_Quality_Rating_Factor","Which of the above items contributed most heavily to your final rating?","DCW_850301.doc","encoded values","","","","","","","PhenX","PX850301110000","","","","","1","2","3","4","5","6","7","8","","","","","",""
"PX850301_Psychosocial_Assessment_Candidates_Transplantation_Candidate_Quality_Rating_Factor_Other","List any factors that went into your final rating other than those included above","DCW_850301.doc","string","","","","","","","PhenX","PX850301120000","","","","","","","","","","","","","","","","","",""
