VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050801_Cereal_Frequency,"Think about your eating habits over the past 12 months. About how often did you eat Cold cereal? Remember breakfast, lunch, dinner, snacks, and eating out. Choose only one answer.",DCW_050801.doc,enumerated,,,,,,,PhenX,PX050801010100,,,,,Never,Less than Once Per Month,1-3 Times Per Month,1-2 Times Per Week,3-4 Times Per Week,5-6 Times Per Week,1 Time Per Day,2 or More Times Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050801_Skim_Milk_Frequency,"Think about your eating habits over the past 12 months. About how often did you drink Skim milk, on cereal or to drink? Remember breakfast, lunch, dinner, snacks, and eating out. Choose only one answer.",DCW_050801.doc,enumerated,,,,,,,PhenX,PX050801010200,,,,,Never,Less than Once Per Month,1-3 Times Per Month,1-2 Times Per Week,3-4 Times Per Week,5-6 Times Per Week,1 Time Per Day,2 or More Times Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050801_Egg_Frequency,"Think about your eating habits over the past 12 months. About how often did you eat Eggs, fried or scrambled in margarine, butter, or oil? Remember breakfast, lunch, dinner, snacks, and eating out. Choose only one answer.",DCW_050801.doc,enumerated,,,,,,,PhenX,PX050801010300,,,,,Never,Less than Once Per Month,1-3 Times Per Month,1-2 Times Per Week,3-4 Times Per Week,5-6 Times Per Week,1 Time Per Day,2 or More Times Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050801_Sausage_Bacon_Frequency,"Think about your eating habits over the past 12 months. About how often did you eat Sausage or bacon, regular-fat? Remember breakfast, lunch, dinner, snacks, and eating out. Choose only one answer.",DCW_050801.doc,enumerated,,,,,,,PhenX,PX050801010400,,,,,Never,Less than Once Per Month,1-3 Times Per Month,1-2 Times Per Week,3-4 Times Per Week,5-6 Times Per Week,1 Time Per Day,2 or More Times Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050801_Butter_On_Bread_Frequency,"Think about your eating habits over the past 12 months. About how often did you eat Margarine or butter on bread, rolls, pancakes? Remember breakfast, lunch, dinner, snacks, and eating out. Choose only one answer.",DCW_050801.doc,enumerated,,,,,,,PhenX,PX050801010500,,,,,Never,Less than Once Per Month,1-3 Times Per Month,1-2 Times Per Week,3-4 Times Per Week,5-6 Times Per Week,1 Time Per Day,2 or More Times Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050801_Orange_Juice_Frequency,"Think about your eating habits over the past 12 months. About how often did you drink Orange juice or grapefruit juice? Remember breakfast, lunch, dinner, snacks, and eating out. Choose only one answer.",DCW_050801.doc,enumerated,,,,,,,PhenX,PX050801010600,,,,,Never,Less than Once Per Month,1-3 Times Per Month,1-2 Times Per Week,3-4 Times Per Week,5-6 Times Per Week,1 Time Per Day,2 or More Times Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050801_Fruit_Frequency,"Think about your eating habits over the past 12 months. About how often did you eat Fruit (not juices)? Remember breakfast, lunch, dinner, snacks, and eating out. Choose only one answer.",DCW_050801.doc,enumerated,,,,,,,PhenX,PX050801010700,,,,,Never,Less than Once Per Month,1-3 Times Per Month,1-2 Times Per Week,3-4 Times Per Week,5-6 Times Per Week,1 Time Per Day,2 or More Times Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050801_Hot_Dog_Frequency,"Think about your eating habits over the past 12 months. About how often did you eat Beef or pork hot dogs, regular-fat? Remember breakfast, lunch, dinner, snacks, and eating out. Choose only one answer.",DCW_050801.doc,enumerated,,,,,,,PhenX,PX050801010800,,,,,Never,Less than Once Per Month,1-3 Times Per Month,1-2 Times Per Week,3-4 Times Per Week,5-6 Times Per Week,1 Time Per Day,2 or More Times Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050801_Cheese_Frequency,"Think about your eating habits over the past 12 months. About how often did you eat Cheese or cheese spread, regular-fat? Remember breakfast, lunch, dinner, snacks, and eating out. Choose only one answer.",DCW_050801.doc,enumerated,,,,,,,PhenX,PX050801010900,,,,,Never,Less than Once Per Month,1-3 Times Per Month,1-2 Times Per Week,3-4 Times Per Week,5-6 Times Per Week,1 Time Per Day,2 or More Times Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050801_French_Fries_Frequency,"Think about your eating habits over the past 12 months. About how often did you eat French fries, home fries, or hash brown potatoes? Remember breakfast, lunch, dinner, snacks, and eating out. Choose only one answer.",DCW_050801.doc,enumerated,,,,,,,PhenX,PX050801011000,,,,,Never,Less than Once Per Month,1-3 Times Per Month,1-2 Times Per Week,3-4 Times Per Week,5-6 Times Per Week,1 Time Per Day,2 or More Times Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050801_Butter_On_Vegetable_Frequency,"Think about your eating habits over the past 12 months. About how often did you eat Margarine or butter on vegetables, including potatoes? Remember breakfast, lunch, dinner, snacks, and eating out. Choose only one answer.",DCW_050801.doc,enumerated,,,,,,,PhenX,PX050801011100,,,,,Never,Less than Once Per Month,1-3 Times Per Month,1-2 Times Per Week,3-4 Times Per Week,5-6 Times Per Week,1 Time Per Day,2 or More Times Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
