"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX321201_Unmet_Needs_Cancer_Survivors_Information_Complementary_Alternative_Therapies","This part of the survey is about unmet needs that relate to finding information IN THE LAST MONTH. Finding information about complementary or alternative therapies","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201010000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Fears_Spreading","This part of the survey is about unmet needs that relate to finding information IN THE LAST MONTH. Dealing with fears about cancer spreading","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201020000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Treatment_Effect","This part of the survey is about unmet needs that relate to finding information IN THE LAST MONTH. Dealing with worry about whether the treatment has worked","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201030000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Worry_Earning_Money","This part of the survey is about unmet needs you may have had about your job and finances IN THE LAST MONTH. Worry about earning money","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201040000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Pension_Disability","This part of the survey is about unmet needs you may have had about your job and finances IN THE LAST MONTH. Having to take a pensions or disability allowance","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201050000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Household_Bills","This part of the survey is about unmet needs you may have had about your job and finances IN THE LAST MONTH. Paying household bills or other payments","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201060000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Financial_Assistance","This part of the survey is about unmet needs you may have had about your job and finances IN THE LAST MONTH. Finding what type of financial assistance is available and how to obtain it","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201070000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Car_Parking_Afford","This part of the survey is about unmet needs you may have had about your job and finances IN THE LAST MONTH. Finding car parking that I can afford at the hospital or clinic","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201080000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Insurance_Coverage","This part of the survey is about unmet needs you may have had about your job and finances IN THE LAST MONTH. Understanding what is covered by my medical insurance or benefits","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201090000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Work_Disability","This part of the survey is about unmet needs you may have had about your job and finances IN THE LAST MONTH. Knowing how much time I would need away from work","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201100000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_House_Work","This part of the survey is about unmet needs you may have had about your job and finances IN THE LAST MONTH. Doing work around the house (cooking, cleaning, home repairs, etc.)","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201110000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Access_Services_Close_Home","This part of the survey is about unmet needs that relate to medical care IN THE LAST MONTH. Having access to cancer services close to my home","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201120000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Appointments_Specialists","This part of the survey is about unmet needs that relate to medical care IN THE LAST MONTH. Getting appointments with specialists quickly enough (oncologist, surgeon, etc.)","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201130000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Test_Results","This part of the survey is about unmet needs that relate to medical care IN THE LAST MONTH. Getting test results quickly enough","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201140000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Care_Access_Specialists","This part of the survey is about unmet needs that relate to medical care IN THE LAST MONTH. Having access to care from other health specialists (dieticians, physiotherapists, occupational therapists)","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201150000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Doctor_Nurse_Questions","This part of the survey is about unmet needs that relate to medical care IN THE LAST MONTH. Making sure I had enough time to ask my doctor or nurse questions","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201160000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
"PX321201_Unmet_Needs_Cancer_Survivors_Health_Care_Team","This part of the survey is about unmet needs that relate to medical care IN THE LAST MONTH. Getting the health care team to attend promptly to my physical needs","DCW_321201.doc","encoded values","","","","","","","PhenX","PX321201170000","","","","","0 = No unmet need","1 = Low unmet need","2 = Moderate unmet need","3 = High unmet need","4 = Very high unmet need","","","","","",""
