VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,
PX510303_SubstanceUse_Ever_Smoked_Cigarettes,Have you ever smoked cigarettes?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303010000,,,,,1 = Never,2 = Once or twice,3 = Occasionally but not regularly,4 = Regularly in the past,5 = Regularly now,,,,,,,,,,
PX510303_SubstanceUse_PastMonth_Smoking_Frequency,How frequently have you smoked cigarettes during the past 30 days?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303020000,,,,,1 = Not at all,2 = Less than one cigarette per day,3 = One to five cigarettes per day,4 = About one-half pack per day,5 = About one pack per day,6 = About one and one-half packs per day,7 = Two packs or more per day,,,,,,,,
PX510303_SubstanceUse_Ever_SmokelessTobacco,"Have you ever taken or used smokeless tobacco (snuff, plug, dipping tobacco, chewing tobacco, snus, dissolvable tobacco)?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303030000,,,,,1 = Never,2 = Once or twice,3 = Occasionally but not regularly,4 = Regularly in the past,5 = Regularly now,,,,,,,,,,
PX510303_SubstanceUse_PastMonth_SmokelessTobacco_Frequency,How frequently have you taken smokeless tobacco during the past 30 days?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303040000,,,,,1 = Never,2 = Once or twice,3 = Occasionally but not regularly,4 = Regularly in the past,5 = Regularly now,,,,,,,,,,
PX510303_SubstanceUse_Ever_Drink_Alcohol,"Next we want to ask you about drinking alcoholic beverages, including beer, wine, liquor, and any other beverage that contains alcohol. Have you ever had any alcoholic beverage to drink-more than just a few sips?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303050000,,,,,1 = No,2 = Yes,,,,,,,,,,,,,
PX510303_SubstanceUse_Lifetime_Alcohol,On how many occasions have you had alcoholic beverages to drink - more than just a few sips in your lifetime?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303060100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Alcohol,On how many occasions have you had alcoholic beverages to drink - more than just a few sips during the last 12 months?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303060200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Alcohol,On how many occasions have you had alcoholic beverages to drink - more than just a few sips during the last 30 days?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303060300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastTwoWeeks_Five_Drinks,"Think back over the LAST TWO WEEKS. How many times have you had five or more drinks in a row? (A “drink” is a glass of wine, a bottle of beer, a shot glass or liquor, a mixed drink, etc.)",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303070000,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Marijuana_Hashish,"On how many occasions (if any) have you used marijuana (weed, pot) or hashish (hash, hash oil) in your lifetime?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303080100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_Marijuana_Hashish,"On how many occasions (if any) have you used marijuana (weed, pot) or hashish (hash, hash oil) during the last 12 months?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303080200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_Marijuana_Hashish,"On how many occasions (if any) have you used marijuana (weed, pot) or hashish (hash, hash oil) during the last 30 days?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303080300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_LSD,On how many occasions (if any) have you used LSD (“acid”) in your lifetime?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303090100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastYear_LSD,On how many occasions (if any) have you used LSD (“acid”) during the last 12 months?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303090200,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_PastMonth_LSD,On how many occasions (if any) have you used LSD (“acid”) during the last 30 days?,DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303090300,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
PX510303_SubstanceUse_Lifetime_Other_Hallucinogen,"On how many occasions (if any) have you used hallucinogens other than LSD (like mescaline, peyote, ""shrooms"" or psilocybin, PCP) in your lifetime?",DCW_510303.doc,encoded values,,,,,,,PhenX,PX510303100100,,,,,1 = 0 occasions,2 = 1-2 occasions,3 = 3-5 occasions,4 = 6-9 occasions,5 = 10-19 occasions,6 = 20-39 occasions,7 = 40 or more,,,,,,,,
