VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130201_Sensory_Symptoms,Sensory Symptoms,DCW_130201.doc,encoded values,,,,,,,PhenX,PX130201010000,,,,,0 = None,1 = Limited to toes,2 = Extend up to and may include ankle,3 = Extend up to and may include knee,4 = Extends above knees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130201_Motor_Symptoms_Legs,Motor Symptoms: Legs,DCW_130201.doc,encoded values,,,,,,,PhenX,PX130201020000,,,,,0 = None,"1 = Trips, catches toes, slaps feet",2 = AFO on at least 1 leg or ankle support,"3 = Cane, walker, ankle surgery",4 = Wheelchair most of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130201_Motor_Symptoms_Arms,Motor Symptoms: Arms,DCW_130201.doc,encoded values,,,,,,,PhenX,PX130201030000,,,,,0 = None,1 = Difficulty with buttons/zippers,2 = Unable to do buttons or zippers but can write,3 = Can not write or use keyboard,4 = Proximal arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130201_Pin_Sensibility,Pin sensibility,DCW_130201.doc,encoded values,,,,,,,PhenX,PX130201040000,,,,,0 = Normal,1 = Reduced in fingers/toes,2 = Reduced up to and may include wrist/ankle,3 = Reduced up to and may include elbow/knee,4 = Reduced above elbow/knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130201_Vibration,Vibration,DCW_130201.doc,encoded values,,,,,,,PhenX,PX130201050000,,,,,0 = Normal,1 = Reduced at fingers/toes,2 = Reduced at wrist/ankle,3 = Reduced at elbow/knee,4 = Reduced above elbow/knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130201_Strength_Legs,Strength: Legs,DCW_130201.doc,encoded values,,,,,,,PhenX,PX130201060000,,,,,0 = Normal,"1 = 4+, 4, or 4- on foot dorsiflexion",2 = <3 Foot dorsiflexion,3 = <3 Dorsiflexion and plantar flexion,4 = Proximal weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130201_Strength_Arms,Strength: Arms,DCW_130201.doc,encoded values,,,,,,,PhenX,PX130201070000,,,,,0 = Normal,"1 = 4+, 4, or 4- on intrinsics or finger extensors",2 = <3 Intrinsics or finger extensors,3 = <5 Wrist extensors,4 = Weak above elbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130201_CMAP,Compound Muscle Action Potential (CMAP),DCW_130201.doc,encoded values,,,,,,,PhenX,PX130201080000,,,,,0 = > 6 mV,1 = 4.0-5.9 mV,2 = 2.0-3.9 mV,3 = 0.1-1.9 mV,4 = Absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130201_Ulnar_CMAP_Median,Ulnar Compound Muscle Action Potential (Median),DCW_130201.doc,encoded values,,,,,,,PhenX,PX130201090000,,,,,0 = (>4 mV),1 = (2.8-3.9),2 = (1.2-2.7),3 = (0.1-1.1),4 = (Absent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130201_Ulnar_SNAP,Ulnar Sensory Nerve Action Potential,DCW_130201.doc,encoded values,,,,,,,PhenX,PX130201100000,,,,,0 = > 9 uV,1 = 6.0 - 8.9 uV,2 = 3.0-5.9 uV,3 = 0.1-2.9 uV,4 = Absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130201_Ulnar_SNAP_Median,Ulnar Sensory Nerve Action Potential (Median),DCW_130201.doc,encoded values,,,,,,,PhenX,PX130201110000,,,,,0 = (>22 uV),1 = (14.0-21.9),2 = (7.0-13.9),3 = (0.1-6.9),4 = (Absent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
