VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220703_Disease_ProgressionRegression_12to18_Date,Date of assessment:,DCW_220703.doc,date,,,,,,,PhenX,PX220703010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220703_Disease_ProgressionRegression_12to18_Age,Age at assessment:,DCW_220703.doc,integer,,,,,,,PhenX,PX220703020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220703_Disease_ProgressionRegression_12to18_Parental_Consanguinity,Parental consanguinity:,DCW_220703.doc,string,,,,,,,PhenX,PX220703030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220703_Disease_ProgressionRegression_12to18_Parental_AgePresentation,Age at presentation:,DCW_220703.doc,integer,,,,,,,PhenX,PX220703040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220703_Disease_ProgressionRegression_12to18_ParentalAge_AgeDx,Age at clinical diagnosis:,DCW_220703.doc,integer,,,,,,,PhenX,PX220703050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220703_Disease_ProgressionRegression_12to18_Genotype,Genotype if known:,DCW_220703.doc,string,,,,,,,PhenX,PX220703060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220703_Disease_ProgressionRegression_12to18_Biochemical_Phenotype,Biochemical phenotype if known:,DCW_220703.doc,string,,,,,,,PhenX,PX220703070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220703_Disease_ProgressionRegression_12to18_Basis_Diagnosis,"Basis of clinical diagnosis e.g. MRI, blood / CSF lactate",DCW_220703.doc,string,,,,,,,PhenX,PX220703080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220703_Disease_ProgressionRegression_12to18_Reduced_FetalMovement,reduced fetal movements,DCW_220703.doc,string,,,,,,,PhenX,PX220703090000,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220703_Disease_ProgressionRegression_12to18_Pregnancy_Cardiomyopathy_Antenatal,cardiomyopathy on antenatal scans,DCW_220703.doc,string,,,,,,,PhenX,PX220703100000,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
