VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX911301_Factor_Eight_Emicizumab_Sample_Collection,Were the sample collection procedures outlined in Lippi et al. (2012) followed?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301010100,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Collection_Venous_Statsis,Were steps taken to prevent prolonged venous stasis?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301010200,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Collection_Nonhemolyzed,Were nonhemolyzed samples collected?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301010300,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Collection_Blood_Draw,Was the order of blood draw recorded?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301010400,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Collection_Tubes,Were collection tubes filled and mixed as outlined in Lippi et al. (2012)?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301010500,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Collection_Venipuncture,Was blood collected by direct venipuncture into 3.2% sodium citrate tubes?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301010600,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Collection_Tubes_Filled,Were the tubes filled within 11% of the fill line?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301010700,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Collection_Tubes_Second,Was a second tube collected?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301010800,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Collection_Tubes_Winged,Was a winged butterfly collection system used?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301010900,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Collection_Tubes_Discard,Was a discard tube drawn?,DCW_911301.doc,enumerated,,,,,ASK IF Q1.9=YES,,PhenX,PX911301011000,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing,Were the sample collection and processing procedures outlined in Adcock Funk et al. (2012) followed?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301020100,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing_Sodium_Citrate,Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301020200,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing_Refrigerated,Were samples refrigerated or stored on ice or in an ice bath?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301020300,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing_Transportation,Were samples transported vertically?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301020400,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing_Agitation,Were samples agitated during transportation?,DCW_911301.doc,enumerated,,,,,ASK IF Q2.4=YES,,PhenX,PX911301020500,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing_Storage_Unprocessed,Were samples stored as unprocessed sodium citrate whole blood samples?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301020600,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing_Storage_Whole_Blood,Were samples stored as whole blood samples centrifuged and maintained in sodium citrate tubes?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301020700,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing_Storage_Plasma,Were samples stored as plasma processed by centrifugation and aliquoting into a second tube?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301020800,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing_Platelet_Poor_Plasma,Were samples processed to platelet poor plasma (PPP) within 1 hour of collection?,DCW_911301.doc,enumerated,,,,,ASK IF Q2.7=YES,,PhenX,PX911301020900,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing_Assayed,Were samples assayed within 4 hours of collection?,DCW_911301.doc,enumerated,,,,,ASK IF Q2.7=YES,,PhenX,PX911301021000,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing_Centrifuge_Validated,"Was the centrifuge validated so that process results in less than 10,000 platelets/microliter ",DCW_911301.doc,enumerated,,,,,ASK IF Q2.7=YES,,PhenX,PX911301021100,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing_Frozen,Was the sample frozen immediately and stored at -20 C for at most 2 weeks?,DCW_911301.doc,enumerated,,,,,ASK IF Q2.7=YES,,PhenX,PX911301021200,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Sample_Processing_Deep_Freeze,"Was the sample transferred to <= -70 C, including shipment?",DCW_911301.doc,enumerated,,,,,ASK IF Q2.7=YES,,PhenX,PX911301021300,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Therapy_Bethesda_Assay_Nijmegen_Modification_Chromogenic_Substrate_Assay,Were any changes made in the protocol over the course of the study?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301030100,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Therapy_Bethesda_Assay_Nijmegen_Modification_Chromogenic_Substrate_Assay_Record,"Were the make and manufacturer of equipment, repeatability and coefficients of variation for the assay, and the reagents used recorded?",DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301030200,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Therapy_Bethesda_Assay_Nijmegen_Modification_Chromogenic_Substrate_Assay_Samples,Were the samples heated prior to testing to eliminate exogenous Factor VIII?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301030300,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Therapy_Bethesda_Assay_Nijmegen_Modification_Chromogenic_Substrate_Assay_Guidelines,"Were the parameters outlined by the International Society on Thrombosis and Haemostasis Subcommittee on Factor VIII, Factor VIII and Rare Coagulation Disorders (Iorio et al., 2017) followed?",DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301030400,,,,,Yes,No
PX911301_Factor_Eight_Emicizumab_Therapy_Bethesda_Assay_Nijmegen_Modification_Chromogenic_Substrate_Assay_Interpretation_Results,Was a result of of >= 0.6 Bethesda Units (BU) per mL on two or more separate assays over a 1-4 week period achieved?,DCW_911301.doc,enumerated,,,,,,,PhenX,PX911301040000,,,,,Yes,No
