VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX241401_Prenatal_Postpartum_Depression_Laugh_Funny,I have been able to laugh and see the funny side of things,DCW_241401.doc,enumerated,,,,,,,PhenX,PX241401010000,,,,,As much as I always could,Not quite so much now,Definitely not so much now,Not at all,,,,,,,,
PX241401_Prenatal_Postpartum_Depression_Enjoyment,I have looked forward with enjoyment to things,DCW_241401.doc,enumerated,,,,,,,PhenX,PX241401020000,,,,,As much as I ever did,Rather less than I used to,Definitely less than I used to,Hardly at all,,,,,,,,
PX241401_Prenatal_Postpartum_Depression_Blame,I have blamed myself unnecessarily when things went wrong,DCW_241401.doc,enumerated,,,,,,,PhenX,PX241401030000,,,,,"Yes, most of the time","Yes, some of the time",Not very often,"No, never",,,,,,,,
PX241401_Prenatal_Postpartum_Depression_Anxiety_Worry,I have been anxious or worried for no good reason,DCW_241401.doc,enumerated,,,,,,,PhenX,PX241401040000,,,,,"No, not at all",Hardly ever,"Yes, sometimes","Yes, very often",,,,,,,,
PX241401_Prenatal_Postpartum_Depression_Scared_Panicky,I have felt scared or panicky for no very good reason,DCW_241401.doc,enumerated,,,,,,,PhenX,PX241401050000,,,,,"Yes, quite a lot","Yes, sometimes","No, not much","No, not at all",,,,,,,,
PX241401_Prenatal_Postpartum_Depression_Overwhelmed,Things have been getting on top of me,DCW_241401.doc,enumerated,,,,,,,PhenX,PX241401060000,,,,,"Yes, most of the time I haven?t been able to cope at all","Yes, sometimes I haven?t been coping as well as usual","No, most of the time I have coped quite well","No, have been coping as well as ever",,,,,,,,
PX241401_Prenatal_Postpartum_Depression_Unhappy_Affect_Sleep,I have been so unhappy that I have had difficulty sleeping,DCW_241401.doc,enumerated,,,,,,,PhenX,PX241401070000,,,,,"Yes, most of the time","Yes, sometimes",Not very often,"No, not at all",,,,,,,,
PX241401_Prenatal_Postpartum_Depression_Sad_Miserable,I have felt sad or miserable,DCW_241401.doc,enumerated,,,,,,,PhenX,PX241401080000,,,,,"Yes, most of the time","Yes, quite often",Not very often,"No, not at all",,,,,,,,
PX241401_Prenatal_Postpartum_Depression_Unhappy_Crying,I have been so unhappy that I have been crying,DCW_241401.doc,enumerated,,,,,,,PhenX,PX241401090000,,,,,"Yes, most of the time","Yes, quite often",Only occasionally,"No, never",,,,,,,,
PX241401_Prenatal_Postpartum_Depression_Self_Harm,The thought of harming myself has occurred to me,DCW_241401.doc,enumerated,,,,,,,PhenX,PX241401100000,,,,,"Yes, quite often",Sometimes,Hardly ever,Never,"No, never",,,,,,,
