"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_Estimate","Not Hispanic or Latino - Estimate","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_Margin_Error","Not Hispanic or Latino - Margin of Error","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_White_Estimate","Not Hispanic or Latino - White alone - Estimate","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_White_Margin_Error","Not Hispanic or Latino - White alone - Margin of Error","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_Black_Estimate","Not Hispanic or Latino - Black or African American alone - Estimate","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_Black_Margin_Error","Not Hispanic or Latino - Black or African American alone - Margin of Error","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010302","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_American_Indian_Estimate","Not Hispanic or Latino - American Indian and Alaska Native alone - Estimate","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_American_Indian_Margin_Error","Not Hispanic or Latino - American Indian and Alaska Native alone - Margin of Error","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_Asian_Estimate","Not Hispanic or Latino - Asian alone - Estimate","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_Asian_Margin_Error","Not Hispanic or Latino - Asian alone - Margin of Error","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010502","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_Pacific_Islander_Estimate","Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone - Estimate","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_Pacific_Islander_Margin_Error","Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone - Margin of Error","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX211404_Racial_Ethnic_Segregation_Separation_Index_Not_Hispanic_Other_Race_Estimate","Not Hispanic or Latino - Some other race alone - Estimate","DCW_211404.doc","integer","","","","","","","PhenX","PX211404010701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
