"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX171901_Rheumatoid_Arthritis_Disease_Activity_Swollen_Left_Shoulder","Please indicate if the following joint feels swollen: Left Shoulder","DCW_171901.doc","encoded values","","","","","","","PhenX","PX171901010000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171901_Rheumatoid_Arthritis_Disease_Activity_Swollen_Left_Elbow","Please indicate if the following joint feels swollen: Left Elbow","DCW_171901.doc","encoded values","","","","","","","PhenX","PX171901020000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171901_Rheumatoid_Arthritis_Disease_Activity_Swollen_Left_Wrist","Please indicate if the following joint feels swollen: Left Wrist","DCW_171901.doc","encoded values","","","","","","","PhenX","PX171901030000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171901_Rheumatoid_Arthritis_Disease_Activity_Swollen_Left_MCP 1","Please indicate if the following joint feels swollen: Left MCP 1","DCW_171901.doc","encoded values","","","","","","","PhenX","PX171901040000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171901_Rheumatoid_Arthritis_Disease_Activity_Swollen_Left_MCP 2","Please indicate if the following joint feels swollen: Left MCP 2","DCW_171901.doc","encoded values","","","","","","","PhenX","PX171901050000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171901_Rheumatoid_Arthritis_Disease_Activity_Swollen_Left_MCP 3","Please indicate if the following joint feels swollen: Left MCP 3","DCW_171901.doc","encoded values","","","","","","","PhenX","PX171901060000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171901_Rheumatoid_Arthritis_Disease_Activity_Swollen_Left_MCP 4","Please indicate if the following joint feels swollen: Left MCP 4","DCW_171901.doc","encoded values","","","","","","","PhenX","PX171901070000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171901_Rheumatoid_Arthritis_Disease_Activity_Swollen_Left_MCP 5","Please indicate if the following joint feels swollen: Left MCP 5","DCW_171901.doc","encoded values","","","","","","","PhenX","PX171901080000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171901_Rheumatoid_Arthritis_Disease_Activity_Swollen_Left_PIP 1","Please indicate if the following joint feels swollen: Left PIP 1","DCW_171901.doc","encoded values","","","","","","","PhenX","PX171901090000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
"PX171901_Rheumatoid_Arthritis_Disease_Activity_Swollen_Left_PIP 2","Please indicate if the following joint feels swollen: Left PIP 2","DCW_171901.doc","encoded values","","","","","","","PhenX","PX171901100000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","",""
