VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,
PX300802_Parenting_Behavior_Parent_Parent_Completing,Parent Completing Form ,DCW_300802.doc,enumerated,,,,,,,PhenX,PX300802000100,,,,,mother,father,other,,
PX300802_Parenting_Behavior_Parent_Parent_Completing_Other,"Parent Completing Form: Other, specify",DCW_300802.doc,string,,,,,,,PhenX,PX300802000200,,,,,,,,,
PX300802_Parenting_Behavior_Parent_Friendly_Talk,Please rate each item as to how often it TYPICALLY occurs in your home. You have a friendly talk with your child.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802010000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Know_Good_Job,Please rate each item as to how often it TYPICALLY occurs in your home. You let your child know when he/she is doing a good job with something.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802020000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Threaten_Punishment,Please rate each item as to how often it TYPICALLY occurs in your home. You threaten to punish your child and then do not actually punish him/her.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802030000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Volunteer_Special_Activities,"Please rate each item as to how often it TYPICALLY occurs in your home. You volunteer to help with special activities that your child is involved in (such as sports, boy/girl scouts, church youth groups).",DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802040000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Reward_Obeying,Please rate each item as to how often it TYPICALLY occurs in your home. You reward or give something extra to your child for obeying you or behaving well.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802050000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Fail_Leave_Note,Please rate each item as to how often it TYPICALLY occurs in your home. Your child fails to leave a note or let you know where he/she is going.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802060000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Play_Games_Fun_Things,Please rate each item as to how often it TYPICALLY occurs in your home. You play games or do other fun things with your child.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802070000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Talked_Out_Of_Punishment,Please rate each item as to how often it TYPICALLY occurs in your home. Your child talks you out of being punished after he/she has done something wrong.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802080000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Ask_School,Please rate each item as to how often it TYPICALLY occurs in your home. You ask your child about his/her day in school.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802090000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Out_Past_Curfew,Please rate each item as to how often it TYPICALLY occurs in your home. Your child stays out in the evening past the time he/she is supposed to be home.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802100000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
PX300802_Parenting_Behavior_Parent_Help_With_Homework,Please rate each item as to how often it TYPICALLY occurs in your home. You help your child with his/her homework.,DCW_300802.doc,encoded values,,,,,,,PhenX,PX300802110000,,,,,1 = Never,2 = Almost never,3 = Sometimes,4 = Often,5 = Always
