"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX290301_Educational_Attainment_Population_18_24_Years_Total_Estimate","Educational attainment for Population 18 to 24 years - Total - Estimate","DCW_290301.doc","integer","","","","","","","PhenX","PX290301010101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290301_Educational_Attainment_Population_18_24_Years_Total_Margin_Error_Estimate","Educational attainment for Population 18 to 24 years - Total - Margin of error for estimate","DCW_290301.doc","integer","","","","","","","PhenX","PX290301010102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290301_Educational_Attainment_Population_18_24_Years_Male_Estimate","Educational attainment for Population 18 to 24 years - Male - Estimate","DCW_290301.doc","integer","","","","","","","PhenX","PX290301010201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290301_Educational_Attainment_Population_18_24_Years_Males_Margin_Error_Estimate","Educational attainment for Population 18 to 24 years - Males - Margin of error for estimate","DCW_290301.doc","integer","","","","","","","PhenX","PX290301010202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290301_Educational_Attainment_Population_18_24_Years_Females_Estimate","Educational attainment for Population 18 to 24 years - Females - Estimate","DCW_290301.doc","integer","","","","","","","PhenX","PX290301010301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290301_Educational_Attainment_Population_18_24_Years_Females_Margin_Error_Estimate","Educational attainment for Population 18 to 24 years - Females - Margin of error for estimate","DCW_290301.doc","integer","","","","","","","PhenX","PX290301010302","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290301_Educational_Attainment_Population_18_24_Years_Less_High_School_Graduate_Total_Estimate","Educational attainment for Population 18 to 24 years - Less than high school graduate - Total - Estimate","DCW_290301.doc","integer","","","","","","","PhenX","PX290301020101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290301_Educational_Attainment_Population_18_24_Years_Less_High_School_Graduate_Total_Margin_Error_Estimate","Educational attainment for Population 18 to 24 years - Less than high school graduate - Total - Margin of error for estimate","DCW_290301.doc","integer","","","","","","","PhenX","PX290301020102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290301_Educational_Attainment_Population_18_24_Years_Less_High_School_Graduate_Percent_Total_Estimate","Educational attainment for Population 18 to 24 years - Less than high school graduate - Percent Total - Estimate","DCW_290301.doc","decimal","","","","","","","PhenX","PX290301020201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290301_Educational_Attainment_Population_18_24_Years_Less_High_School_Graduate_Percent_Total_Margin_Error_Estimate","Educational attainment for Population 18 to 24 years - Less than high school graduate - Percent Total - Margin of error for estimate","DCW_290301.doc","decimal","","","","","","","PhenX","PX290301020202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
