VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Had_Cancer,Have you ever had cancer?,DCW_071101.doc,enumerated,,,,,,,PhenX,PX071101010000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Site,Cancer Site/Type?,DCW_071101.doc,string,,,,,For respondents who have had cancer.,,PhenX,PX071101020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Laterality,Laterality?,DCW_071101.doc,enumerated,,,,,For respondents who have had cancer.,,PhenX,PX071101020100,,,,,Left,Right,Both,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Diagnosis_Date,Date of Diagnosis?,DCW_071101.doc,Date,,,,,For respondents who have had cancer.,,PhenX,PX071101020200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Diagnosis_Age,Age of Diagnosis?,DCW_071101.doc,integer,,,,,For respondents who have had cancer.,,PhenX,PX071101020300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Surgery,Did you have Surgery for this Cancer?,DCW_071101.doc,enumerated,,,,,For respondents who have had cancer.,,PhenX,PX071101020401,,,,,Yes,No,Not Sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Surgery_Name,Name of Procedure?,DCW_071101.doc,string,,,,,For respondents who have had cancer.,,PhenX,PX071101020402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Surgery_Date,Surgery Date?,DCW_071101.doc,Date,,,,,For respondents who have had cancer.,,PhenX,PX071101020403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Surgery_Hospital,Treatment Hospital?,DCW_071101.doc,string,,,,,For respondents who have had cancer.,,PhenX,PX071101020404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Chemotherapy,Did you receive Chemotherapy for this Cancer?,DCW_071101.doc,enumerated,,,,,For respondents who have had cancer.,,PhenX,PX071101020501,,,,,Yes,No,Not Sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Chemotherapy_Drug_Name,Type of Chemo?,DCW_071101.doc,enumerated,,,,,For respondents who have had cancer.,,PhenX,PX071101020502,,,,,Adriamycin,Taxol (Paclitaxel),Taxotere (Docetaxel),Cytoxan,Xeloda,Leucovorin,Fluorouracil,Methotrexate,Herceptin,Avastin,Aromasin,Femara,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Chemotherapy_Completed_Date,Date Chemo completed?,DCW_071101.doc,Date,,,,,For respondents who have had cancer.,,PhenX,PX071101020503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Chemotherapy_Hospital,Treatment Hospital?,DCW_071101.doc,string,,,,,For respondents who have had cancer.,,PhenX,PX071101020504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Radiation,Did you receive Radiation for this Cancer?,DCW_071101.doc,enumerated,,,,,For respondents who have had cancer.,,PhenX,PX071101020601,,,,,Yes,No,Not Sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Radiation_Completed_Date,Date Radiation completed?,DCW_071101.doc,Date,,,,,For respondents who have had cancer.,,PhenX,PX071101020602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Radiation_Hospital,Treatment Hospital,DCW_071101.doc,string,,,,,For respondents who have had cancer.,,PhenX,PX071101020603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Hormonal_Therapy,Did you receive Hormonal Therapy for this Cancer?,DCW_071101.doc,enumerated,,,,,For respondents who have had cancer.,,PhenX,PX071101020701,,,,,Yes,No,Not Sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Hormonal_Therapy_Drug_Name,Name of Hormone Therapy?,DCW_071101.doc,enumerated,,,,,For respondents who have had cancer.,,PhenX,PX071101020702,,,,,Tamoxifen,Aromasin,Femara,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Hormonal_Therapy_Started_Date,Date Hormonal Therapy started?,DCW_071101.doc,Date,,,,,For respondents who have had cancer.,,PhenX,PX071101020703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Hormonal_Therapy_Hospital,Treatment Hospital?,DCW_071101.doc,string,,,,,For respondents who have had cancer.,,PhenX,PX071101020704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Other_Therapy,Did you receive any other type(s) of therapy?,DCW_071101.doc,enumerated,,,,,For respondents who have had cancer.,,PhenX,PX071101020801,,,,,Yes,No,Not Sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Other_Therapy_Name,Name of Other Therapy?,DCW_071101.doc,string,,,,,For respondents who have had cancer.,,PhenX,PX071101020802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Other_Therapy_Started_Date,Date Other Therapy started?,DCW_071101.doc,Date,,,,,For respondents who have had cancer.,,PhenX,PX071101020803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Other_Therapy_Hospital,Treatment Hospital?,DCW_071101.doc,string,,,,,For respondents who have had cancer.,,PhenX,PX071101020804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Recurrence,Have you had a Recurrence with this Cancer?,DCW_071101.doc,enumerated,,,,,For respondents who have had cancer.,,PhenX,PX071101020901,,,,,Yes,No,Not Sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX071101_Cancer_Recurrence_Date,Date of Recurrence?,DCW_071101.doc,Date,,,,,For respondents who have had cancer.,,PhenX,PX071101020902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
