VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,
PX270401_Health_Literacy_Kidney,"Which of the two words is most similar to the top word (kidney)? Urine or Fever? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401010000,,,,,1 = Urine,0 = Fever,0 = Don't know,,
PX270401_Health_Literacy_Occupation,"Which of the two words is most similar to the top word (occupation)? Work or Education? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401020000,,,,,1 = Work,0 = Education,0 = Don't know,,
PX270401_Health_Literacy_Medication,"Which of the two words is most similar to the top word (medication)? Instrument or Treatment? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401030000,,,,,0 = Instrument,1 = Treatment,0 = Don't know,,
PX270401_Health_Literacy_Nutrition,"Which of the two words is most similar to the top word (nutrition)? Healthy or Soda? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401040000,,,,,1 = Healthy,0 = Soda,0 = Don't know,,
PX270401_Health_Literacy_Miscarriage,"Which of the two words is most similar to the top word (miscarriage)? Loss or Marriage? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401050000,,,,,1 = Loss,0 = Marriage,0 = Don't know,,
PX270401_Health_Literacy_Infection,"Which of the two words is most similar to the top word (infection)? Plant or Virus? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401060000,,,,,0 = Plant,1 = Virus,0 = Don't know,,
PX270401_Health_Literacy_Alcoholism,"Which of the two words is most similar to the top word (alcoholism)? Addiction or Recreation? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401070000,,,,,1 = Addiction,0 = Recreation,0 = Don't know,,
PX270401_Health_Literacy_Pregnancy,"Which of the two words is most similar to the top word (pregnancy)? Birth or Childhood? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401080000,,,,,1 = Birth,0 = Childhood,0 = Don't know,,
PX270401_Health_Literacy_Seizure,"Which of the two words is most similar to the top word (seizure)? Dizzy or Calm? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401090000,,,,,1 = Dizzy,0 = Calm,0 = Don't know,,
PX270401_Health_Literacy_Dose,"Which of the two words is most similar to the top word (dose)? Sleep or Amount? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401100000,,,,,0 = Sleep,1 = Amount,0 = Don't know,,
PX270401_Health_Literacy_Hormones,"Which of the two words is most similar to the top word (hormones)? Growth or Harmony? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401110000,,,,,1 = Growth,0 = Harmony,0 = Don't know,,
PX270401_Health_Literacy_Abnormal,"Which of the two words is most similar to the top word (abnormal)? Different or Similar? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401120000,,,,,1 = Different,0 = Similar,0 = Don't know,,
PX270401_Health_Literacy_Directed,"Which of the two words is most similar to the top word (directed)? Instruction or Decision? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401130000,,,,,1 = Instruction,0 = Decision,0 = Don't know,,
PX270401_Health_Literacy_Nerves,"Which of the two words is most similar to the top word (nerves)? Bored or Anxiety? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401140000,,,,,0 = Bored,1 = Anxiety,0 = Don't know,,
PX270401_Health_Literacy_Constipation,"Which of the two words is most similar to the top word (constipation)? Blocked or Loose? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401150000,,,,,1 = Blocked,0 = Loose,0 = Don't know,,
PX270401_Health_Literacy_Diagnosis,"Which of the two words is most similar to the top word (diagnosis)? Evaluation or Recovery? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401160000,,,,,1 = Evaluation,0 = Recovery,0 = Don't know,,
PX270401_Health_Literacy_Hemorrhoids,"Which of the two words is most similar to the top word (hemorrhoids)? Veins or Heart? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401170000,,,,,1 = Veins,0 = Heart,0 = Don't know,,
PX270401_Health_Literacy_Syphilis,"Which of the two words is most similar to the top word (syphilis)? Contraception or Condom? If you don't know the answer, please say ""I don't know"".",DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401180000,,,,,0 = Contraception,1 = Condom,0 = Don't know,,
PX270401_Health_Literacy_Medical_Forms,How confident are you filling out medical forms by yourself? ,DCW_270401.doc,encoded values,,,,,,,PhenX,PX270401190000,,,,,1 = Extremely   ,2 = Quite a bit   ,3 = Somewhat   ,4 = A little bit   ,5 = Not at all
