VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX540603_SPSRQ_NotDoSomething_Fear_Legality,Do you often refrain from doing something because you are afraid of it being illegal?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603010000,,,,,Yes,No
PX540603_SPSRQ_ProspectOf_Money_Motivation,Does the good prospect of obtaining money motivate you strongly to do some things?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603020000,,,,,Yes,No
PX540603_SPSRQ_NotToAskWhen_NotSure_Obtainable,Do you prefer not to ask for something when you are not sure you will obtain it?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603030000,,,,,Yes,No
PX540603_SPSRQ_Encouraged_ToAct_ToBe_Valued,"Are you frequently encouraged to act by the possibility of being valued in your work, in your studies, with your friends or with your family?",DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603040000,,,,,Yes,No
PX540603_SPSRQ_Often_Afraid_NewUnexpected_Situations,Are you often afraid of new or unexpected situations?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603050000,,,,,Yes,No
PX540603_SPSRQ_Meet_People_Physically_Attractive,Do you often meet people that you find physically attractive?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603060000,,,,,Yes,No
PX540603_SPSRQ_Difficulty_Telephone_Stranger,Is it difficult for you to telephone someone you do not know?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603070000,,,,,Yes,No
PX540603_SPSRQ_Get_Pleasure_From_Drugs,Do you like to take some drugs because of the pleasure you get from them?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603080000,,,,,Yes,No
PX540603_SPSRQ_Renounce_Rights_Avoid_Quarrel,Do you often renounce your rights when you know you can avoid a quarrel with a person or an organization?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603090000,,,,,Yes,No
PX540603_SPSRQ_Often_Do_Things_ForPraise,Do you often do things to be praised?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603100000,,,,,Yes,No
PX540603_SPSRQ_TroubledBy_Punishments_At_HomeSchool,"As a child, were you troubled by punishments at home or in school?",DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603110000,,,,,Yes,No
PX540603_SPSRQ_CenterOf_Attention_PartySocialMeeting,Do you like being the center of attention at a party or a social meeting?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603120000,,,,,Yes,No
PX540603_SPSRQ_ImportanceOn_PossibilityOf_Failure,"In tasks that you are not prepared for, do you attach great importance to the possibility of failure?",DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603130000,,,,,Yes,No
PX540603_SPSRQ_Time_Spent_Obtaining_Image,Do you spend a lot of your time on obtaining a good image?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603140000,,,,,Yes,No
PX540603_SPSRQ_DiscouragedIn_Difficult_Situations,Are you easily discouraged in difficult situations?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603150000,,,,,Yes,No
PX540603_SPSRQ_Need_Constant_ShowOf_Affection,Do you need people to show their affection for you all the time?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603160000,,,,,Yes,No
PX540603_SPSRQ_Shy_Person,Are you a shy person?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603170000,,,,,Yes,No
PX540603_SPSRQ_InGroup_Make_MostIntelligentFunniest_Comments,"When you are in a group, do you try to make your opinions the most intelligent or the funniest?",DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603180000,,,,,Yes,No
PX540603_SPSRQ_Avoid_Demonstrating_Fear_Embarrassment,"Whenever possible, do you avoid demonstrating your skills for fear of being embarrassed?",DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603190000,,,,,Yes,No
PX540603_SPSRQ_Often_PickUp_Attractive_People,Do you often take the opportunity to pick up people you find attractive?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603200000,,,,,Yes,No
PX540603_SPSRQ_Group_Difficulty_Discussion_Topic,"When you are with a group, do you have difficulties selecting a good topic to talk about?",DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603210000,,,,,Yes,No
PX540603_SPSRQ_Do_ThingsFor_Approval_AsChild,"As a child, did you do a lot of things to get people's approval?",DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603220000,,,,,Yes,No
PX540603_SPSRQ_Difficulty_Sleep_ThingsToDo,Is it often difficult for you to fall asleep when you think about things you have done or must do?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603230000,,,,,Yes,No
PX540603_SPSRQ_SocialAdvancement_Motivation_NotFairPlay,"Does the possibility of social advancement, move you to action, even if this involves not playing fair?",DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603240000,,,,,Yes,No
PX540603_SPSRQ_ThinkBefore_Complaining_Restaurant_Meal,Do you think a lot before complaining in a restaurant if your meal is not well prepared?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603250000,,,,,Yes,No
PX540603_SPSRQ_GivePreferenceTo_Activities_With_ImmediateGain,Do you generally give preferences to those activities that imply an immediate gain?,DCW_540603.doc,enumerated,,,,,,,PhenX,PX540603260000,,,,,Yes,No
