VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150701_Yesterday_ActivityNumber_700AM,Write in the activity number that corresponds to the main activity you actually performed during that particular time period.,DCW_150701.doc,encoded values,,,,,,,PhenX,PX150701010101,,,,,1 = Eating a meal,2 = Snacking,"3 = Working (e.g., part-time job, child care)","4 = Doing house chores (e.g., vacuuming, dusting, washing dishes, animal care, etc.)","5 = Yard Work (e.g., mowing, raking)",6 = Church,7 = Hanging around,8 = Homework,9 = Listening to music,10 = Marching band/flag line/drill team,11 = Music lesson/playing instrument,12 = Playing video games/surfing Internet,13 = Reading,14 = Shopping,15 = Talking on phone,16 = Watching TV or movie,17 = Riding in a car/bus,18 = Travel by walking,19 = Travel by bicycling,20 = Getting dressed,"21 = Getting ready (hair, make-up, etc.)",22 = Showering/bathing,23 = Sleeping,"24 = Club, student activity",25 = Lunch/free time/study hall,26 = P.E = Class,27 = ROTC,28 = Sitting in class,29 = Aerobics/aerobic dancing,30 = Basketball,31 = Bicycling,32 = Bowling,"33 = Calisthenics (i.e., jumping jacks, sit-ups)",34 = Cheerleading,"35 = Dancing (social, recreational)","36 = Dancing (ballet, jazz, modern, tap)",37 = Field hockey,38 = Frisbee,39 = Golf,40 = Horseback riding,41 = Ice/roller skating,42 = Jogging/running,43 = Karate/judo/martial arts/self-defense,44 = Rollerblading,45 = Skateboarding,46 = Soccer,47 = Softball/baseball,"48 = Stationary exercise machines (e.g., cycle, ski machine, stair climber, treadmill)",49 = Street hockey,"50 = Swimming, water exercise",51 = Tennis,52 = Volleyball,53 = Walking (briskly),54 = Weight/circuit training,55 = Gymnastics/tumbling,56 = Kickboxing/Tae Bo,57 = Track and field,58 = Trampoline,59 = Other,,,,
PX150701_Yesterday_ActivityNumber_700AM_Work_List,"Write in the activity number that corresponds to the main activity you actually performed during that particular time period.  Complete if activity number is ""3. Working (list)""",DCW_150701.doc,string,,,,,"Complete if activity number is ""3. Working (list)""",,PhenX,PX150701010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150701_Yesterday_ActivityNumber_700AM_Other,"Write in the activity number that corresponds to the main activity you actually performed during that particular time period.  Complete if activity number is ""59. Other""",DCW_150701.doc,string,,,,,"Complete if activity number is ""59. Other""",,PhenX,PX150701010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150701_Yesterday_ExertionLevel_700AM,Rate how physically hard activity was.,DCW_150701.doc,enumerated,,,,,,,PhenX,PX150701010104,,,,,Light,Moderate,Hard,Very Hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150701_Yesterday_ActivityNumber_730AM,Write in the activity number that corresponds to the main activity you actually performed during that particular time period.,DCW_150701.doc,encoded values,,,,,,,PhenX,PX150701010201,,,,,1 = Eating a meal,2 = Snacking,"3 = Working (e.g., part-time job, child care)","4 = Doing house chores (e.g., vacuuming, dusting, washing dishes, animal care, etc.)","5 = Yard Work (e.g., mowing, raking)",6 = Church,7 = Hanging around,8 = Homework,9 = Listening to music,10 = Marching band/flag line/drill team,11 = Music lesson/playing instrument,12 = Playing video games/surfing Internet,13 = Reading,14 = Shopping,15 = Talking on phone,16 = Watching TV or movie,17 = Riding in a car/bus,18 = Travel by walking,19 = Travel by bicycling,20 = Getting dressed,"21 = Getting ready (hair, make-up, etc.)",22 = Showering/bathing,23 = Sleeping,"24 = Club, student activity",25 = Lunch/free time/study hall,26 = P.E = Class,27 = ROTC,28 = Sitting in class,29 = Aerobics/aerobic dancing,30 = Basketball,31 = Bicycling,32 = Bowling,"33 = Calisthenics (i.e., jumping jacks, sit-ups)",34 = Cheerleading,"35 = Dancing (social, recreational)","36 = Dancing (ballet, jazz, modern, tap)",37 = Field hockey,38 = Frisbee,39 = Golf,40 = Horseback riding,41 = Ice/roller skating,42 = Jogging/running,43 = Karate/judo/martial arts/self-defense,44 = Rollerblading,45 = Skateboarding,46 = Soccer,47 = Softball/baseball,"48 = Stationary exercise machines (e.g., cycle, ski machine, stair climber, treadmill)",49 = Street hockey,"50 = Swimming, water exercise",51 = Tennis,52 = Volleyball,53 = Walking (briskly),54 = Weight/circuit training,55 = Gymnastics/tumbling,56 = Kickboxing/Tae Bo,57 = Track and field,58 = Trampoline,59 = Other,,,,
PX150701_Yesterday_ActivityNumber_730AM_Work_List,"Write in the activity number that corresponds to the main activity you actually performed during that particular time period.  Complete if activity number is ""3. Working (list)""",DCW_150701.doc,string,,,,,"Complete if activity number is ""3. Working (list)""",,PhenX,PX150701010202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150701_Yesterday_ActivityNumber_730AM_Other,"Write in the activity number that corresponds to the main activity you actually performed during that particular time period.  Complete if activity number is ""59. Other""",DCW_150701.doc,string,,,,,"Complete if activity number is ""59. Other""",,PhenX,PX150701010203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150701_Yesterday_ExertionLevel_730AM,Rate how physically hard activity was.,DCW_150701.doc,enumerated,,,,,,,PhenX,PX150701010204,,,,,Light,Moderate,Hard,Very Hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150701_Yesterday_ActivityNumber_800AM,Write in the activity number that corresponds to the main activity you actually performed during that particular time period.,DCW_150701.doc,encoded values,,,,,,,PhenX,PX150701010301,,,,,1 = Eating a meal,2 = Snacking,"3 = Working (e.g., part-time job, child care)","4 = Doing house chores (e.g., vacuuming, dusting, washing dishes, animal care, etc.)","5 = Yard Work (e.g., mowing, raking)",6 = Church,7 = Hanging around,8 = Homework,9 = Listening to music,10 = Marching band/flag line/drill team,11 = Music lesson/playing instrument,12 = Playing video games/surfing Internet,13 = Reading,14 = Shopping,15 = Talking on phone,16 = Watching TV or movie,17 = Riding in a car/bus,18 = Travel by walking,19 = Travel by bicycling,20 = Getting dressed,"21 = Getting ready (hair, make-up, etc.)",22 = Showering/bathing,23 = Sleeping,"24 = Club, student activity",25 = Lunch/free time/study hall,26 = P.E = Class,27 = ROTC,28 = Sitting in class,29 = Aerobics/aerobic dancing,30 = Basketball,31 = Bicycling,32 = Bowling,"33 = Calisthenics (i.e., jumping jacks, sit-ups)",34 = Cheerleading,"35 = Dancing (social, recreational)","36 = Dancing (ballet, jazz, modern, tap)",37 = Field hockey,38 = Frisbee,39 = Golf,40 = Horseback riding,41 = Ice/roller skating,42 = Jogging/running,43 = Karate/judo/martial arts/self-defense,44 = Rollerblading,45 = Skateboarding,46 = Soccer,47 = Softball/baseball,"48 = Stationary exercise machines (e.g., cycle, ski machine, stair climber, treadmill)",49 = Street hockey,"50 = Swimming, water exercise",51 = Tennis,52 = Volleyball,53 = Walking (briskly),54 = Weight/circuit training,55 = Gymnastics/tumbling,56 = Kickboxing/Tae Bo,57 = Track and field,58 = Trampoline,59 = Other,,,,
PX150701_Yesterday_ActivityNumber_800AM_Work_List,"Write in the activity number that corresponds to the main activity you actually performed during that particular time period.  Complete if activity number is ""3. Working (list)""",DCW_150701.doc,string,,,,,"Complete if activity number is ""3. Working (list)""",,PhenX,PX150701010302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
