"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX310901_Patient_Response_Genetic_Testing_Result_Upset","(In the past week) How upset did you feel about your genetic test result?","DCW_310901.doc","encoded values","","","","","","","PhenX","PX310901010000","","","","","0 = not at all","1 = a little","2 = somewhat","3 = a good deal","4 = a great deal","","","","","","",""
"PX310901_Patient_Response_Genetic_Testing_Result_Happy","(In the past week) How happy did you feel about your genetic test result?","DCW_310901.doc","encoded values","","","","","","","PhenX","PX310901020000","","","","","0 = not at all","1 = a little","2 = somewhat","3 = a good deal","4 = a great deal","","","","","","",""
"PX310901_Patient_Response_Genetic_Testing_Result_Nervous","(In the past week) How anxious or nervous did you feel about your genetic test result?","DCW_310901.doc","encoded values","","","","","","","PhenX","PX310901030000","","","","","0 = not at all","1 = a little","2 = somewhat","3 = a good deal","4 = a great deal","","","","","","",""
"PX310901_Patient_Response_Genetic_Testing_Result_Relief","(In the past week) How relieved did you feel about your genetic test result?","DCW_310901.doc","encoded values","","","","","","","PhenX","PX310901040000","","","","","0 = not at all","1 = a little","2 = somewhat","3 = a good deal","4 = a great deal","","","","","","",""
"PX310901_Patient_Response_Genetic_Testing_Result_Sad","(In the past week) How sad did you feel about your genetic test result?","DCW_310901.doc","encoded values","","","","","","","PhenX","PX310901050000","","","","","0 = not at all","1 = a little","2 = somewhat","3 = a good deal","4 = a great deal","","","","","","",""
"PX310901_Patient_Response_Genetic_Testing_Result_Recommended_Care_Frustrated","(In the past week) How frustrated did you feel about recommendations for your care based on the genetic test result?","DCW_310901.doc","encoded values","","","","","","","PhenX","PX310901060000","","","","","0 = not at all","1 = a little","2 = somewhat","3 = a good deal","4 = a great deal","","","","","","",""
"PX310901_Patient_Response_Genetic_Testing_Result_Feel_Uncertain","(In the past week) How uncertain did you feel about what your genetic test result means for you?","DCW_310901.doc","encoded values","","","","","","","PhenX","PX310901070000","","","","","0 = not at all","1 = a little","2 = somewhat","3 = a good deal","4 = a great deal","","","","","","",""
"PX310901_Patient_Response_Genetic_Testing_Result_Feel_Uncertain_Family","(In the past week) How uncertain did you feel about what your genetic test result means for your child(ren) and/or family's risk of disease?","DCW_310901.doc","encoded values","","","","","","","PhenX","PX310901080000","","","","","0 = not at all","1 = a little","2 = somewhat","3 = a good deal","4 = a great deal","","","","","","",""
"PX310901_Patient_Response_Genetic_Testing_Result_Understand_Care_Choice","(In the past week) How much did you feel that you understood clearly your choices for care based on the genetic test result?","DCW_310901.doc","encoded values","","","","","","","PhenX","PX310901090000","","","","","0 = not at all","1 = a little","2 = somewhat","3 = a good deal","4 = a great deal","","","","","","",""
"PX310901_Patient_Response_Genetic_Testing_Result_Concern_Affect_Insurance","(In the past week) How concerned did you feel that your genetic test result would affect your ability to get or keep health insurance?","DCW_310901.doc","encoded values","","","","","","","PhenX","PX310901100000","","","","","0 = not at all","1 = a little","2 = somewhat","3 = a good deal","4 = a great deal","","","","","","",""
"PX310901_Patient_Response_Genetic_Testing_Result_Helpful_Planning_Future","(In the past week) How helpful was the information you received from your genetic test result in planning for the future?","DCW_310901.doc","encoded values","","","","","","","PhenX","PX310901110000","","","","","0 = not at all","1 = a little","2 = somewhat","3 = a good deal","4 = a great deal","","","","","","",""
"PX310901_Patient_Response_Genetic_Testing_Result_Concern_Job","(In the past week) How concerned did you feel that your genetic test result might make it hard for you to get a job or keep a job?","DCW_310901.doc","encoded values","","","","","","","PhenX","PX310901120000","","","","","0 = not at all","1 = a little","2 = somewhat","3 = a good deal","4 = a great deal","","","","","","",""
