VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount _hemophilia,Do you have hemophilia?,DCW_220501.doc,encoded values,,,,,,,PhenX,PX220501010000,,,,,1 Yes,2 No,7 Refused,9 Don’t Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount _Chemotherapy_4weeks,Have you received cancer chemotherapy in the past four weeks or do you anticipate such therapy in the next four weeks?,DCW_220501.doc,encoded values,,,,,,,PhenX,PX220501020000,,,,,1 Yes,2 No,7 Refused,9 Don’t Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount _Age,Age,DCW_220501.doc,integer,years,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX220501030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount _Blood_Draw_Results,Record the results of the blood draw.,DCW_220501.doc,string,,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX220501040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount _Blood_Draw_Tube_Deviation,Record reasons for a tube not being drawn according to the protocol.,DCW_220501.doc,string,,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX220501050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount _Venipuncture_Comments,Record any comments about the venipuncture.,DCW_220501.doc,string,,,,,skip logic,ASK IF Q1!=1 & Q2!=1,PhenX,PX220501060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount_White_Blood_Cell_Count,White blood cell count,DCW_220501.doc,decimal,1000 cells/uL,,,,,,PhenX,PX220501070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount_Lymphocyte,Lymphocyte,DCW_220501.doc,decimal,%,,,,,,PhenX,PX220501080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount_Monocyte,Monocyte,DCW_220501.doc,decimal,%,,,,,,PhenX,PX220501090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount_Segmented_Neutrophils,Segmented neutrophils,DCW_220501.doc,decimal,%,,,,,,PhenX,PX220501100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount_Eosinophils,Eosinophils,DCW_220501.doc,decimal,%,,,,,,PhenX,PX220501110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount_Basophils,Basophils,DCW_220501.doc,decimal,%,,,,,,PhenX,PX220501120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220501_CompleteBloodCount_Lymphocyte_Number,Lymphocyte number,DCW_220501.doc,decimal,1000 cells/uL,,,,,,PhenX,PX220501130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
