VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,
PX150801_Participant_First_Name,What is your...  First Name?,DCW_150801.doc,string,,,,,,,PhenX,PX150801010100,,,,,,,,,,,,,
PX150801_Participant_Middle_Initial,What is your...  Middle Initial?,DCW_150801.doc,string,,,,,,,PhenX,PX150801010200,,,,,,,,,,,,,
PX150801_Participant_Last_Name,What is your...  Last Name?,DCW_150801.doc,string,,,,,,,PhenX,PX150801010300,,,,,,,,,,,,,
PX150801_Participant_Received_Actigraph,Did the participant receive an ActiGraph?,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801020000,,,,,Yes,No,,,,,,,
PX150801_Participant_SerialNo,"If answer is ""Yes"", please record the last four digits of serial number:",DCW_150801.doc,integer,,,,,,,PhenX,PX150801020100,,,,,,,,,,,,,
PX150801_Reason_Participant_NotReceive_Actigraph,Why didn't the participant receive an ActiGraph?,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801020200,,,,,Participant Refused,Cognitive Impairment,No device available/schedule problem,Physical/Medical Problem,Other,,,,
PX150801_Reason_Participant_NotReceive_Actigraph_PhysicalMedical,Physical/Medical Problem (Please Specify),DCW_150801.doc,string,,,,,,,PhenX,PX150801020201,,,,,,,,,,,,,
PX150801_Reason_Participant_NotReceive_Actigraph_Other,Other (Please Specify),DCW_150801.doc,string,,,,,,,PhenX,PX150801020202,,,,,,,,,,,,,
PX150801_QA_Distribution_USB,ActiGraph is connected to USB cable,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801030000,,,,,Yes,No,,,,,,,
PX150801_QA_Distribution_Free-Living,ActiGraph set up for free-living,DCW_150801.doc,enumerated,,,,,,,PhenX,PX150801040000,,,,,Yes,No,,,,,,,
