"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX960101_Covid19_Community_Mental_Health_Impacts_Past_Week_Nervous","In the past week, how often: Have you felt nervous, anxious, or on edge?","DCW_960101.doc","encoded values","","","","","","","PhenX","PX960101010100","","","","","1 = Not at all or less than 1 day","2 = 1-2 days","3 = 3-4 days","4 = 5-7 days","","","","","","","","","","","","",""
"PX960101_Covid19_Community_Mental_Health_Impacts_Past_Week_Depressed","In the past week, how often: Have you felt depressed?","DCW_960101.doc","encoded values","","","","","","","PhenX","PX960101010200","","","","","1 = Not at all or less than 1 day","2 = 1-2 days","3 = 3-4 days","4 = 5-7 days","","","","","","","","","","","","",""
"PX960101_Covid19_Community_Mental_Health_Impacts_Past_Week_Lonely","In the past week, how often: Have you felt lonely?","DCW_960101.doc","encoded values","","","","","","","PhenX","PX960101010300","","","","","1 = Not at all or less than 1 day","2 = 1-2 days","3 = 3-4 days","4 = 5-7 days","","","","","","","","","","","","",""
"PX960101_Covid19_Community_Mental_Health_Impacts_Past_Week_Hopeful","In the past week, how often: Have you felt hopeful about the future?","DCW_960101.doc","encoded values","","","","","","","PhenX","PX960101010400","","","","","1 = Not at all or less than 1 day","2 = 1-2 days","3 = 3-4 days","4 = 5-7 days","","","","","","","","","","","","",""
"PX960101_Covid19_Community_Mental_Health_Impacts_Past_Week_Physical_Reactions","In the past week, how often: Have you had physical reactions, such as sweating, trouble breathing, nausea, or a pounding heart, when thinking about your experience with the novel coronavirus (COVID-19) pandemic?","DCW_960101.doc","encoded values","","","","","","","PhenX","PX960101010500","","","","","1 = Not at all or less than 1 day","2 = 1-2 days","3 = 3-4 days","4 = 5-7 days","","","","","","","","","","","","",""
"PX960101_Covid19_Community_Mental_Health_Impacts_Worried","Please tell me if you agree or disagree with the following statements. I am very worried about getting the coronavirus.","DCW_960101.doc","encoded values","","","","","","","PhenX","PX960101020100","","","","","1 = Strongly disagree","2 = Disagree","3 = Neither agree nor disagree","4 = Agree","5 = Strongly agree","","","","","","","","","","","",""
"PX960101_Covid19_Community_Mental_Health_Impacts_Worried_Friends_Family","Please tell me if you agree or disagree with the following statements. I am very worried about my family/friends getting the coronavirus.","DCW_960101.doc","encoded values","","","","","","","PhenX","PX960101020200","","","","","1 = Strongly disagree","2 = Disagree","3 = Neither agree nor disagree","4 = Agree","5 = Strongly agree","","","","","","","","","","","",""
"PX960101_Covid19_Community_Mental_Health_Impacts_Worried_Others","Please tell me if you agree or disagree with the following statements. I am very worried about giving someone else the coronavirus.","DCW_960101.doc","encoded values","","","","","","","PhenX","PX960101020300","","","","","1 = Strongly disagree","2 = Disagree","3 = Neither agree nor disagree","4 = Agree","5 = Strongly agree","","","","","","","","","","","",""
"PX960101_Covid19_Community_Mental_Health_Impacts_Difficulty_Sleeping","Please tell me if you agree or disagree with the following statements. I have a hard time sleeping because of the coronavirus","DCW_960101.doc","encoded values","","","","","","","PhenX","PX960101020400","","","","","1 = Strongly disagree","2 = Disagree","3 = Neither agree nor disagree","4 = Agree","5 = Strongly agree","","","","","","","","","","","",""
"PX960101_Covid19_Community_Mental_Health_Impacts_Difficulty_Concentrating","Please tell me if you agree or disagree with the following statements. I have had difficulties concentrating because of the coronavirus","DCW_960101.doc","encoded values","","","","","","","PhenX","PX960101020500","","","","","1 = Strongly disagree","2 = Disagree","3 = Neither agree nor disagree","4 = Agree","5 = Strongly agree","","","","","","","","","","","",""
