VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX240401_PCB_Pesticide_Hemophilia,Do you have hemophilia or any bleeding disorder?,DCW_240401.doc,enumerated,,,,,,,PhenX,PX240401010000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240401_PCB_Pesticide_Chemotherapy,Have you had cancer chemotherapy within the past 4 weeks?,DCW_240401.doc,enumerated,,,,,ASK IF Q1 = No,,PhenX,PX240401020000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240401_PCB_Pesticide_Blood_Draw,Have you had any problems with a blood draw in the past?,DCW_240401.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240401030000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240401_PCB_Pesticide_Blood_Draw_Problems,What problems have you had with a blood draw in the past?,DCW_240401.doc,string,,,,,ASK IF Q3 = Yes,,PhenX,PX240401040000,,,,,,,,,,,,,,,,
PX240401_PCB_Pesticide_Ingested_Date,When was the last time you had anything to eat or drink other than water? Date,DCW_240401.doc,date,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240401050100,,,,,,,,,,,,,,,,
PX240401_PCB_Pesticide_Ingested_Time,When was the last time you had anything to eat or drink other than water? Time,DCW_240401.doc,string,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240401050200,,,,,,,,,,,,,,,,
PX240401_PCB_Pesticide_Sweetener,"Have you had sweetener or milk added to a drink, such as coffee or tea, in the last 8 hours?",DCW_240401.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240401060000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240401_PCB_Pesticide_Alcohol,"Have you had alcohol such as beer, wine, or liquor in the last 8 hours?",DCW_240401.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240401070000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240401_PCB_Pesticide_Gum,"Have you chewed gum, or used breath mints, lozenges, cough drops, or other cough or cold remedies in the last 8 hours?",DCW_240401.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240401080000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240401_PCB_Pesticide_Antacid,"Have you used antacid, laxatives, or anti-diarrheal medications in the last 8 hours?",DCW_240401.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240401090000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240401_PCB_Pesticide_Dietary_Supplement,Have you taken a dietary supplement such as vitamins or minerals in the last 8 hours?,DCW_240401.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240401100000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240401_PCB_Pesticide_Diabetes,Has a doctor ever told you that you had diabetes?,DCW_240401.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240401110000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240401_PCB_Pesticide_Insulin,Have you taken any insulin in the last 8 hours?,DCW_240401.doc,enumerated,,,,,ASK IF Q11 = Yes,,PhenX,PX240401120000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240401_PCB_Pesticide_Concentrations,Serum Polychlorinated Biphenyl Persistent Pesticide Concentration in Nanogram Per Gram Lipid Weight,DCW_240401.doc,numeric,,,,,,,PhenX,PX240401130000,,,,,,,,,,,,,,,,
