VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121603_Lack_Prosocial_Emotions_Children_Self_Report_Express_Feelings,How well does the student expresses his/her feelings openly.,DCW_121603.doc,encoded values,,,,,,,PhenX,PX121603010000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121603_Lack_Prosocial_Emotions_Children_Self_Report_Right_Wrong,The student does not seem to know �right� from �wrong.�,DCW_121603.doc,encoded values,,,,,,,PhenX,PX121603020000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121603_Lack_Prosocial_Emotions_Children_Self_Report_Care_School_Work ,The student seems motivated to do his/her best in structured activities. ,DCW_121603.doc,encoded values,,,,,,,PhenX,PX121603030000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121603_Lack_Prosocial_Emotions_Children_Self_Report_Hurt,The student does not care who he/she hurts to get what he/she wants.,DCW_121603.doc,encoded values,,,,,,,PhenX,PX121603040000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121603_Lack_Prosocial_Emotions_Children_Self_Report_Bad_Guilt,The student feels bad or guilty when he/she has done something wrong.,DCW_121603.doc,encoded values,,,,,,,PhenX,PX121603050000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121603_Lack_Prosocial_Emotions_Children_Self_Report_Show_Emotions,The student does not show emotions.,DCW_121603.doc,encoded values,,,,,,,PhenX,PX121603060000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121603_Lack_Prosocial_Emotions_Children_Self_Report_Punctual,The student does not care about being on time.,DCW_121603.doc,encoded values,,,,,,,PhenX,PX121603070000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121603_Lack_Prosocial_Emotions_Children_Self_Report_Concerned_Others_Feelings,The student is concerned about the feelings of others.,DCW_121603.doc,encoded values,,,,,,,PhenX,PX121603080000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121603_Lack_Prosocial_Emotions_Children_Self_Report_Trouble,The student does not care if he/she is in trouble.,DCW_121603.doc,encoded values,,,,,,,PhenX,PX121603090000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121603_Lack_Prosocial_Emotions_Children_Self_Report_Feelings,The student does not let feelings control him/her,DCW_121603.doc,encoded values,,,,,,,PhenX,PX121603100000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
