"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX172001_Psoriatic_Arthritis_Impact_of_Disease_Pain","Circle the number that best describes the pain you felt due to your psoriatic arthritis during the last week:","DCW_172001.doc","encoded values","","","","","","","PhenX","PX172001010000","","","","","0 = 0, None","1 = 1","2 = 2","3 = 3","4 = 4","5 = 5","6 = 6","7 = 7","8 = 8","9 = 9","10 = 10, Extreme","","","","","","","","","",""
"PX172001_Psoriatic_Arthritis_Impact_of_Disease_Fatigue","Circle the number that best describes the overall level of fatigue due to your psoriatic arthritis you have experienced during the last week:","DCW_172001.doc","encoded values","","","","","","","PhenX","PX172001020000","","","","","0 = 0, No fatigue","1 = 1","2 = 2","3 = 3","4 = 4","5 = 5","6 = 6","7 = 7","8 = 8","9 = 9","10 = 10, Totally Exhausted","","","","","","","","","",""
"PX172001_Psoriatic_Arthritis_Impact_of_Disease_Skin_Problems","Circle the number that best describes the skin problems including itching you felt due to your psoriatic arthritis during the last week:","DCW_172001.doc","encoded values","","","","","","","PhenX","PX172001030000","","","","","0 = 0, None","1 = 1","2 = 2","3 = 3","4 = 4","5 = 5","6 = 6","7 = 7","8 = 8","9 = 9","10 = 10, Extreme","","","","","","","","","",""
"PX172001_Psoriatic_Arthritis_Impact_of_Disease_Work_Leisure_Activities","Circle the number that best describes the difficulties you had to participate fully in work and/or leisure activities due to your psoriatic arthritis during the last week:","DCW_172001.doc","encoded values","","","","","","","PhenX","PX172001040000","","","","","0 = 0, None","1 = 1","2 = 2","3 = 3","4 = 4","5 = 5","6 = 6","7 = 7","8 = 8","9 = 9","10 = 10, Extreme","","","","","","","","","",""
"PX172001_Psoriatic_Arthritis_Impact_of_Disease_Functional_Capacity","Circle the number that best describes the difficulty you had in doing daily physical activities due to your psoriatic arthritis during the last week:","DCW_172001.doc","encoded values","","","","","","","PhenX","PX172001050000","","","","","0 = 0, None","1 = 1","2 = 2","3 = 3","4 = 4","5 = 5","6 = 6","7 = 7","8 = 8","9 = 9","10 = 10, Extreme","","","","","","","","","",""
"PX172001_Psoriatic_Arthritis_Impact_of_Disease_Discomfort","Circle the number that best describes the feeling of discomfort and annoyance with everyday tasks due to your psoriatic arthritis during the last week:","DCW_172001.doc","encoded values","","","","","","","PhenX","PX172001060000","","","","","0 = 0, None","1 = 1","2 = 2","3 = 3","4 = 4","5 = 5","6 = 6","7 = 7","8 = 8","9 = 9","10 = 10, Extreme","","","","","","","","","",""
"PX172001_Psoriatic_Arthritis_Impact_of_Disease_Sleep_Disturbance","Circle the number that best describes the sleep difficulties (i.e., resting at night) you felt due to your psoriatic arthritis during the last week:","DCW_172001.doc","encoded values","","","","","","","PhenX","PX172001070000","","","","","0 = 0, None","1 = 1","2 = 2","3 = 3","4 = 4","5 = 5","6 = 6","7 = 7","8 = 8","9 = 9","10 = 10, Extreme","","","","","","","","","",""
"PX172001_Psoriatic_Arthritis_Impact_of_Disease_Coping","Considering your psoriatic arthritis overall, how well did you cope (manage, deal, make do) with your psoriatic arthritis during the last week?","DCW_172001.doc","encoded values","","","","","","","PhenX","PX172001080000","","","","","0 = 0, None","1 = 1","2 = 2","3 = 3","4 = 4","5 = 5","6 = 6","7 = 7","8 = 8","9 = 9","10 = 10, Extreme","","","","","","","","","",""
"PX172001_Psoriatic_Arthritis_Impact_of_Disease_Anxiety_Fear_Uncertainty","Circle the number that best describes the level of anxiety, fear, and uncertainty (for example, about the future, treatments, fear of loneliness) due to your psoriatic arthritis you have experienced during the last week:","DCW_172001.doc","encoded values","","","","","","","PhenX","PX172001090000","","","","","0 = 0, None","1 = 1","2 = 2","3 = 3","4 = 4","5 = 5","6 = 6","7 = 7","8 = 8","9 = 9","10 = 10, Extreme","","","","","","","","","",""
"PX172001_Psoriatic_Arthritis_Impact_of_Disease_Embarrassment_Shame","Considering your psoriatic arthritis overall, circle the number that best describes the level of embarrassment and/or shame due to your appearance experienced during the last week:","DCW_172001.doc","encoded values","","","","","","","PhenX","PX172001100000","","","","","0 = 0, None","1 = 1","2 = 2","3 = 3","4 = 4","5 = 5","6 = 6","7 = 7","8 = 8","9 = 9","10 = 10, Extreme","","","","","","","","","",""
"PX172001_Psoriatic_Arthritis_Impact_of_Disease_Social_Participation","Circle the number that best describes the difficulties you had to participate fully in social activities (including relationships with family and/or people very close to you) due to your psoriatic arthritis during the last week:","DCW_172001.doc","encoded values","","","","","","","PhenX","PX172001110000","","","","","0 = 0, None","1 = 1","2 = 2","3 = 3","4 = 4","5 = 5","6 = 6","7 = 7","8 = 8","9 = 9","10 = 10, Extreme","","","","","","","","","",""
"PX172001_Psoriatic_Arthritis_Impact_of_Disease_Depression","Circle the number that best describes the level of depression due to your psoriatic arthritis you have experienced during the last week:","DCW_172001.doc","encoded values","","","","","","","PhenX","PX172001120000","","","","","0 = 0, None","1 = 1","2 = 2","3 = 3","4 = 4","5 = 5","6 = 6","7 = 7","8 = 8","9 = 9","10 = 10, Extreme","","","","","","","","","",""
