VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX510404_Substance_Abuse_Dependence_Past_Year_Drinks_Less_Effect,Did you find that your usual number of drinks had much less effect on you than it once did in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404010000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Drink_More_Same_Effect,Did you find that you had to drink much more than you once did to get the effect you wanted in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404020000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Twenty_Drinks,"Did you drink as much as a fifth of liquor in one day, that would be about 20 drinks, or 3 bottles of wine, or as much as 3 six-packs of beer in a single day in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404030000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Increase_Drinking_Same_Effect,Did you increase your drinking because the amount you used to drink didn’t give you the same effect anymore in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404040000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Stop_Drinking_Multiple_Times,Did you more than once want to stop or cut down on your drinking in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404050000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Stop_Drinking_Multiple_Times_Fail,Did you more than once try to stop or cut down on your drinking but found you couldn’t do it in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404060000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Drinking_More_Accidentally,Did you have a period when you ended up drinking more than you meant to in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404070000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Drinking_More_Than_Intended,Did you have a period when you kept on drinking for longer than you had intended to in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404080000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Trouble_Sleeping,Did you have trouble falling asleep or staying asleep when the effects of alcohol were wearing off in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404090000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Shaking_Trembling,Did you find yourself shaking or your hands trembling in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404100000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Anxious_Nervous,Did you feel anxious or nervous in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404110000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Sick_Vomit,Did you feel sick to your stomach or vomit when the effects of alcohol were wearing off in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404120000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Restless,Did you feel more restless than is usual for you in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404130000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Sweating_Heart_Beating,Did you find yourself sweating or your heart beating fast in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404140000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Hallucination,"Did you see, feel, or hear things that weren’t really there when the effects of alcohol were wearing off in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404150000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Fits_Seizures,Did you have fits or seizures in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404160000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Item_Check,"Are at least 2 items marked ""Yes"" in column b, items 9-16",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404170100,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_After_Effects_Stop_Drinking,You just mentioned that you had SOME bad aftereffects when stopping or cutting down on drinking in the last 12 months. Did at least 2 of these experiences happen around the same time DURING the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404170200,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_After_Effects_Recover_Drugs,"Did you take a drink or use any drug or medicine, other than aspirin, advil or tylenol, to get over any of the bad aftereffects of drinking in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404180000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_After_Effects_Prevention_Drugs,"Did you take a drink or use any drug or medicine, other than aspirin, advil or tylenol, to keep from having any of these bad aftereffects of drinking in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404190000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Period_Drinking_Excessively,Did you have a period when you spent a lot of time drinking in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404200000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Sick_Recovering_After_Effects_Drinking,Did you have a period when you spent a lot of time being sick or getting over the bad aftereffects of drinking in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404210000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Social_Impact_Drinking,"Did you give up or cut down on activities that were important to you in order to drink-like work, school, or associating with friends or relatives in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404220000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Hobbies_Impact_Drinking,Did you give up or cut down on activities that you were interested in or that gave you pleasure in order to drink in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404230000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Continue_Drinking_Depressed,"Did you continue to drink even though you knew it was making you feel depressed, uninterested in things, or suspicious or distrustful of other people in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404240000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Continue_Drinking_Health,Did you continue to drink even though you knew it was causing you a health problem or making a health problem worse in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404250000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Continue_Drinking_Blackout,"Did you continue to drink even though you had experienced a prior blackout, that is, awakened the next day not being able to remember some of the things you did while drinking or after drinking in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404260000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Desire_Stop_Drinking,Did you feel a very strong urge or desire to drink in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404270000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Preoccupied_Drinking,Did you want a drink so badly that you couldn’t think of anything else in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404280000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Family_Impact_Drinking,Did you have a period when your drinking or being sick from drinking often interfered with taking care of your home or family in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404290000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Job_School_Drinking,"Did you have job or school troubles because of your drinking or being sick from drinking-like missing too much work, not doing your work well, being demoted or losing a job, or being suspended, expelled, or dropping out of school in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404300000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Continue_Drinking_School_Work,Did you continue to drink even though it was causing you problems at school or at work in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404310000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Drive_Car_Drinking,Did you more than once drive a car or other vehicle while you were drinking in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404320000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Vehicle_Accident_Under_Influence,"Did you drive a car, motorcycle, truck, boat, or other vehicle and have an accident while you were under the influence of alcohol in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404330000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Vehicle_Accident_Alcohol_Multiple_Times,"Did you more than once drive a car, motorcycle, truck, boat, or other vehicle after having too much to drink in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404340000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Safety_Risk_Drinking,"Did you get into situations while drinking or after drinking that increased your chances of getting hurt-like swimming, using machinery, or walking in a dangerous area or around heavy traffic in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404350000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Spouse_Fight_Drinking,Did you have arguments or problems with your spouse or partner or family or friends because of your drinking in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404360000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Continue_Drinking_Family_Impact,Did you continue to drink even though it was causing you trouble with your family or friends in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404370000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Fight_Drinking,Did you get into physical fights while drinking or right after drinking in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404380000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Passenger_Car_Drinking,Did you ride in a car as a passenger while you were drinking in the last 12 months?,DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404390000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Vehicle_Accident_Alcohol,"Did you drive a car, motorcycle, truck, or other vehicle and injure yourself or someone else in an accident while you were under the influence of alcohol in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404400000,,,,,1 = Yes,2 = No
PX510404_Substance_Abuse_Dependence_Past_Year_Vehicle_Accident_Injury,"Did you accidentally injure yourself or someone else in any way other than motor vehicle accidents, like a bad fall or bad cut, while you were under the influence of alcohol in the last 12 months?",DCW_510404.doc,encoded values,,,,,,,PhenX,PX510404410000,,,,,1 = Yes,2 = No
