"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX930401_Covid19_Knowledge_Attitude_Avoidant_Behavior_Symptoms_Fever_Chills","Which of the following are the main symptoms people infected with the coronavirus experience? Fever or chills","DCW_930401.doc","enumerated","","","","","","","PhenX","PX930401010100","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX930401_Covid19_Knowledge_Attitude_Avoidant_Behavior_Symptoms_Runny_Nose","Which of the following are the main symptoms people infected with the coronavirus experience? Runny or stuffy nose","DCW_930401.doc","enumerated","","","","","","","PhenX","PX930401010200","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX930401_Covid19_Knowledge_Attitude_Avoidant_Behavior_Symptoms_Chest_Congestion","Which of the following are the main symptoms people infected with the coronavirus experience? Chest congestion","DCW_930401.doc","enumerated","","","","","","","PhenX","PX930401010300","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX930401_Covid19_Knowledge_Attitude_Avoidant_Behavior_Symptoms_Skin_Rash","Which of the following are the main symptoms people infected with the coronavirus experience? Skin rash","DCW_930401.doc","enumerated","","","","","","","PhenX","PX930401010400","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX930401_Covid19_Knowledge_Attitude_Avoidant_Behavior_Symptoms_Cough","Which of the following are the main symptoms people infected with the coronavirus experience? Cough","DCW_930401.doc","enumerated","","","","","","","PhenX","PX930401010500","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX930401_Covid19_Knowledge_Attitude_Avoidant_Behavior_Symptoms_Sore_Throat","Which of the following are the main symptoms people infected with the coronavirus experience? Sore throat","DCW_930401.doc","enumerated","","","","","","","PhenX","PX930401010600","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX930401_Covid19_Knowledge_Attitude_Avoidant_Behavior_Symptoms_Sneezing","Which of the following are the main symptoms people infected with the coronavirus experience? Sneezing","DCW_930401.doc","enumerated","","","","","","","PhenX","PX930401010700","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX930401_Covid19_Knowledge_Attitude_Avoidant_Behavior_Symptoms_Muscle_Body_Aches","Which of the following are the main symptoms people infected with the coronavirus experience? Muscle or body aches","DCW_930401.doc","enumerated","","","","","","","PhenX","PX930401010800","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX930401_Covid19_Knowledge_Attitude_Avoidant_Behavior_Symptoms_Headaches","Which of the following are the main symptoms people infected with the coronavirus experience? Headaches","DCW_930401.doc","enumerated","","","","","","","PhenX","PX930401010900","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX930401_Covid19_Knowledge_Attitude_Avoidant_Behavior_Symptoms_Fatigue","Which of the following are the main symptoms people infected with the coronavirus experience? Fatigue or tiredness","DCW_930401.doc","enumerated","","","","","","","PhenX","PX930401011000","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
