"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX181102_Temperament_Early_Childhood_Clinging","When approached by an unfamiliar person in a public place (for example, the grocery store), how often did your child cling to a parent?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102010000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Irritated","While having trouble completing a task (e.g., building, drawing, dressing), how often did your child get easily irritated?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102020000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Seek_Company","When a familiar child came to your home, how often did your child seek out the company of the child?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102030000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Decide_Choiecs","When offered a choice of activities, how often did your child decide what to do very quickly and go after it?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102040000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Singing","During daily or evening quiet time with you and your child, how often did your child enjoy just being quietly sung to?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102050000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Outdoors_Excitement","While playing outdoors, how often did your child choose to take chances for the fun and excitement of it?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102060000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Toy_Time","When engaged in play with his/her favorite toy, how often did your child play for more than 10 minutes?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102070000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Toy_Responding","When engaged in play with his/her favorite toy, how often did your child continue to play while at the same time responding to your remarks or questions?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102080000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Visit_Excited","When told that loved adults would visit, how often did your child get very excited?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102090000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Quiet_Activities_Fiddle","During quiet activities, such as reading a story, how often did your child fiddle with his/her hair, clothing, etc.?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102100000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Indoors_Rough_Games","While playing indoors, how often did your child like rough and rowdy games?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102110000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Hug","When being gently rocked or hugged, how often did your child seem eager to get away?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102120000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_New_Activity","When encountering a new activity, how often did your child get involved immediately?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102130000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Activity_Tired","When engaged in an activity requiring attention, such as building with blocks, how often did your child tire of the activity relatively quickly?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102140000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Everyday_Activities_Attention","During everyday activities, how often did your child pay attention to you right away when you called to him/her?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102150000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Everyday_Activities_Irritated","During everyday activities, how often did your child seem to be irritated by tags in his/her clothes?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102160000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Everyday_Activities_Bothered","During everyday activities, how often did your child become bothered by sounds while in noisy environments?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102170000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Everyday_Activities_Energy","During everyday activities, how often did your child seem full of energy, even in the evening?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102180000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Public_Place_Noise","While in a public place, how often did your child seem afraid of large, noisy vehicles?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102190000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Outdoors_Active","When playing outdoors with other children, how often did your child seem to be one of the most active children?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102200000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Stop_Activity","When told \"no\", how often did your child stop the forbidden activity?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102210000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Stop_Tearful","When told \"no\", how often did your child become sadly tearful?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102220000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Activity_Depressed","Following an exciting activity or event, how often did your child seem to feel down or blue?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102230000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
"PX181102_Temperament_Early_Childhood_Indoors_Run","While playing indoors, how often did your child run through the house?","DCW_181102.doc","encoded values","","","","","","","PhenX","PX181102240000","","","","","1 = never","2 = very rarely","3 = less than half the time","4 = about half the time","5 = more than half the time","6 = almost always","7 = always","NA = does not apply","","","","","","","","","","","",""
