VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_Felt_Miserable,I felt miserable or unhappy.,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702010000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_Enjoy,I didn�t enjoy anything at all.,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702020000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_Sat_Around,I felt so tired I just sat around and did nothing.,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702030000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_Restless,I was very restless.,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702040000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_No_Good,I felt I was no good anymore.,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702050000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_Cried,I cried a lot,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702060000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_Hard_To_Think,I found it hard to think properly or concentrate.,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702070000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_Hate_Myself,I hated myself.,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702080000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_Bad_Person,I was a bad person.,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702090000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_Felt_Lonely,I felt lonely,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702100000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_Loved_Me,I thought nobody really loved me,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702110000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_Good_Other_Kids,I thought I could never be as good as other kids.,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702120000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121702_Depression_Questionnaire_Children_Everything_Wrong,I did everything wrong,DCW_121702.doc,encoded values,,,,,,,PhenX,PX121702130000,,,,,0 = Not True,1 = Sometimes,2 = True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
