VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_1,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501010100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_1,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501010200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_1,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501010300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_2,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501020100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_2,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501020200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_2,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501020300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_3,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501030100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_3,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501030200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_3,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501030300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_4,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501040100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_4,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501040200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_4,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501040300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_5,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501050100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_5,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501050200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_5,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501050300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_6,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501060100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_6,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501060200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_6,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501060300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_7,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501070100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_7,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501070200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_7,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501070300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_8,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501080100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_8,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501080200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_8,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501080300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_9,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501090100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_9,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501090200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_9,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501090300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_10,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501100100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_10,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501100200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_10,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501100300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_11,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501110100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_11,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501110200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_11,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501110300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_12,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501120100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_12,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501120200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_12,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501120300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_13,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501130100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_13,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501130200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_13,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501130300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_14,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501140100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_14,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501140200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_14,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501140300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_15,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501150100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_15,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501150200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_15,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501150300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_16,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501160100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_16,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501160200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_16,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501160300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_17,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501170100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_17,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501170200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_17,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501170300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_18,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501180100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_18,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501180200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_18,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501180300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_19,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501190100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_19,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501190200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_19,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501190300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_20,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501200100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_20,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501200200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_20,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501200300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_21,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501210100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_21,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501210200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_21,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501210300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_22,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501220100,,,,,Yes,No,,,,,,,,,,,,,
PX530501_Risk_Taking_Money_Amount_22,How much money was collected or lost?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501220200,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Number_Pumps_22,How many pumps were executed by the participant?,DCW_530501.doc,numeric,,,,,,,PhenX,PX530501220300,,,,,,,,,,,,,,,,,,,
PX530501_Risk_Taking_Collect_Money_23,Did the participant collect the money before the balloon popped?,DCW_530501.doc,enumerated,,,,,,,PhenX,PX530501230100,,,,,Yes,No,,,,,,,,,,,,,
