VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX240501_Trace_Metals_Hemophilia,Do you have hemophilia or any bleeding disorder?,DCW_240501.doc,enumerated,,,,,,,PhenX,PX240501010000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240501_Trace_Metals_Chemotherapy,Have you had cancer chemotherapy within the past 4 weeks?,DCW_240501.doc,enumerated,,,,,ASK IF Q1 = No,,PhenX,PX240501020000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240501_Trace_Metals_Blood_Draw,Have you had any problems with a blood draw in the past?,DCW_240501.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240501030000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240501_Trace_Metals_Blood_Draw_Problems,What problems have you had with a blood draw in the past?,DCW_240501.doc,string,,,,,ASK IF Q3 = Yes,,PhenX,PX240501040000,,,,,,,,,,,,,,,,
PX240501_Trace_Metals_Ingested_Date,When was the last time you had anything to eat or drink other than water? Date,DCW_240501.doc,date,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240501050100,,,,,,,,,,,,,,,,
PX240501_Trace_Metals_Ingested_Time,When was the last time you had anything to eat or drink other than water? Time,DCW_240501.doc,string,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240501050200,,,,,,,,,,,,,,,,
PX240501_Trace_Metals_Sweetener,"Have you had sweetener or milk added to a drink, such as coffee or tea, in the last 8 hours?",DCW_240501.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240501060000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240501_Trace_Metals_Alcohol,"Have you had alcohol such as beer, wine, or liquor in the last 8 hours?",DCW_240501.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240501070000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240501_Trace_Metals_Gum,"Have you chewed gum, or used breath mints, lozenges, cough drops, or other cough or cold remedies in the last 8 hours?",DCW_240501.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240501080000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240501_Trace_Metals_Antacid,"Have you used antacid, laxatives, or anti-diarrheal medications in the last 8 hours?",DCW_240501.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240501090000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240501_Trace_Metals_Dietary_Supplement,Have you taken a dietary supplement such as vitamins or minerals in the last 8 hours?,DCW_240501.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240501100000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240501_Trace_Metals_Diabetes,Has a doctor ever told you that you had diabetes?,DCW_240501.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240501110000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240501_Trace_Metals_Insulin,Have you taken any insulin in the last 8 hours?,DCW_240501.doc,enumerated,,,,,ASK IF Q11 = Yes,,PhenX,PX240501120000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240501_Trace_Metals_Concentration,Serum Trace Metal Concentration Microgram per Milliliter,DCW_240501.doc,string,,,,,,,PhenX,PX240501130000,,,,,,,,,,,,,,,,
