VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,
PX250401_Knee_Injury_Osteoarthritis_Swelling,Do you have swelling in your knee?,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401010100,,,,,Never,Rarely,Sometimes,Often,Always 
PX250401_Knee_Injury_Osteoarthritis_Grinding_Clicking_Noise,"Do you feel grinding, hear clicking or any other type of noise when your knee moves?",DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401010200,,,,,Never,Rarely,Sometimes,Often,Always 
PX250401_Knee_Injury_Osteoarthritis_Catch_Hang_Moving,Does your knee catch or hang up when moving?,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401010300,,,,,Never,Rarely,Sometimes,Often,Always 
PX250401_Knee_Injury_Osteoarthritis_Straighten_Fully,Can you straighten your knee fully?,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401010400,,,,,Always,Often,Sometimes,Rarely,Never
PX250401_Knee_Injury_Osteoarthritis_Bend_Fully,Can you bend your knee fully?,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401010500,,,,,Always,Often,Sometimes,Rarely,Never
PX250401_Knee_Injury_Osteoarthritis_Stiffness_Morning,How severe is your knee joint stiffness after first wakening in the morning?,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401010600,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Stiffness_Sitting_Lying_Resting,"How severe is your knee stiffness after sitting, lying or resting later in the day?",DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401010700,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Pain_Frequency,How often do you experience knee pain?,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401020100,,,,,Never,Rarely,Sometimes,Often,Always 
PX250401_Knee_Injury_Osteoarthritis_Pain_Twisting_Pivoting,What amount of knee pain have you experienced the last week during the following activities? Twisting/pivoting on your knee,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401020200,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Pain_Straighten_Fully,What amount of knee pain have you experienced the last week during the following activities? Straightening knee fully,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401020300,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Pain_Bend_Fully,What amount of knee pain have you experienced the last week during the following activities? Bending knee fully,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401020400,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Pain_Walking_Flat_Surface,What amount of knee pain have you experienced the last week during the following activities? Walking on flat surface,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401020500,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Pain_Stairs,What amount of knee pain have you experienced the last week during the following activities? Going up or down stairs,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401020600,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Pain_Night_Bed,What amount of knee pain have you experienced the last week during the following activities? At night while in bed,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401020700,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Pain_Sitting_Lying,What amount of knee pain have you experienced the last week during the following activities? Sitting or lying,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401020800,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Pain_Standing_Upright,What amount of knee pain have you experienced the last week during the following activities? Standing upright,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401020900,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Descend_Stairs,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Descending stairs,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401030100,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Ascend_Stairs,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Ascending stairs,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401030200,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Rising_Sitting,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Rising from sitting,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401030300,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Standing,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Standing,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401030400,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Bending_Floor,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Bending to floor/pick up an object,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401030500,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Walking_Flat_Surface,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Walking on flat surface,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401030600,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Enter_Exit_Car,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Getting in/out of car,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401030700,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Shopping,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Going shopping,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401030800,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Socks_Stockings,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Putting on socks/stockings,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401030900,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Rising_Bed,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Rising from bed,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401031000,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Remove_Stocks_Stockings,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Taking off socks/stockings,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401031100,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Lying,"For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Lying in bed (turning over, maintaining knee position)",DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401031200,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Bathtub,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Getting in/out of bath,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401031300,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Sitting,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Sitting,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401031400,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Toilet,For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Getting on/off toilet,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401031500,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Heavy_Domestic_Duties,"For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Heavy domestic duties (moving heavy boxes, scrubbing floors, etc.)",DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401031600,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Light_Domestic_Duties,"For each of the following activities please indicate the degree of difficulty you have experienced in the last week due to your knee. Light domestic duties (cooking, dusting, etc.)",DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401031700,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Squatting,The questions should be answered thinking of what degree of difficulty you have experienced during the last week due to your knee. Squatting,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401040100,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Running,The questions should be answered thinking of what degree of difficulty you have experienced during the last week due to your knee. Running,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401040200,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Jumping,The questions should be answered thinking of what degree of difficulty you have experienced during the last week due to your knee. Jumping,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401040300,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Twisting_Pivoting,The questions should be answered thinking of what degree of difficulty you have experienced during the last week due to your knee. Twisting/pivoting on your injured knee,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401040400,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Function_Kneeling,The questions should be answered thinking of what degree of difficulty you have experienced during the last week due to your knee. Kneeling,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401040500,,,,,None,Mild,Moderate,Severe,Extreme
PX250401_Knee_Injury_Osteoarthritis_Quality_Life_Awareness,How often are you aware of your knee problem?,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401050100,,,,,Never,Monthly,Weekly,Daily,Constantly
PX250401_Knee_Injury_Osteoarthritis_Quality_Life_Change,Have you modified your life style to avoid potentially damaging activities to your knee?,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401050200,,,,,Not at all,Mildly,Moderately,Severely,Totally
PX250401_Knee_Injury_Osteoarthritis_Quality_Life_Confidence,How much are you troubled with lack of confidence in your knee?,DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401050300,,,,,Not at all,Mildly,Moderately,Severely,Totally
PX250401_Knee_Injury_Osteoarthritis_Quality_Life_Difficulty,"In general, how much difficulty do you have with your knee?",DCW_250401.doc,enumerated,,,,,,,PhenX,PX250401050400,,,,,None,Mild,Moderate,Severe,Extreme
