"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX280601_Spirituality_Spiritual_Being_Hard_Times","To what extent does any connection to a spiritual being help you to get through hard times?","DCW_280601.doc","encoded values","","","","","","","PhenX","PX280601010000","","","","","1 = Not at all","2 = A little","3 = A moderate amount","4 = Very much","5 = An extreme amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280601_Spirituality_Spiritual_Being_Stress","To what extent does any connection to a spiritual being help you to tolerate stress?","DCW_280601.doc","encoded values","","","","","","","PhenX","PX280601020000","","","","","1 = Not at all","2 = A little","3 = A moderate amount","4 = Very much","5 = An extreme amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280601_Spirituality_Spiritual_Being_Understand_Others","To what extent does any connection to a spiritual being help you to understand others?","DCW_280601.doc","encoded values","","","","","","","PhenX","PX280601030000","","","","","1 = Not at all","2 = A little","3 = A moderate amount","4 = Very much","5 = An extreme amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280601_Spirituality_Spiritual_Being_Comfort","To what extent does any connection to a spiritual being provide you with comfort / reassurance?","DCW_280601.doc","encoded values","","","","","","","PhenX","PX280601040000","","","","","1 = Not at all","2 = A little","3 = A moderate amount","4 = Very much","5 = An extreme amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280601_Spirituality_Inner_Peace","To what extent do you feel peaceful within yourself?","DCW_280601.doc","encoded values","","","","","","","PhenX","PX280601050000","","","","","1 = Not at all","2 = A little","3 = A moderate amount","4 = Very much","5 = An extreme amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280601_Spirituality_Inner_Peace_Extent","To what extent do you have inner peace?","DCW_280601.doc","encoded values","","","","","","","PhenX","PX280601060000","","","","","1 = Not at all","2 = A little","3 = A moderate amount","4 = Very much","5 = An extreme amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280601_Spirituality_Inner_Peace_Need","How much are you able to feel peaceful when you need to?","DCW_280601.doc","encoded values","","","","","","","PhenX","PX280601070000","","","","","1 = Not at all","2 = A little","3 = A moderate amount","4 = Very much","5 = An extreme amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280601_Spirituality_Inner_Peace_Harmony","To what extent do you feel a sense of harmony in your life?","DCW_280601.doc","encoded values","","","","","","","PhenX","PX280601080000","","","","","1 = Not at all","2 = A little","3 = A moderate amount","4 = Very much","5 = An extreme amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280601_Spirituality_Meaning_Life","To what extent do you find meaning in life?","DCW_280601.doc","encoded values","","","","","","","PhenX","PX280601090000","","","","","1 = Not at all","2 = A little","3 = A moderate amount","4 = Very much","5 = An extreme amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280601_Spirituality_Meaning_Life_Care_Others","To what extent does taking care of other people provide meaning of life for you?","DCW_280601.doc","encoded values","","","","","","","PhenX","PX280601100000","","","","","1 = Not at all","2 = A little","3 = A moderate amount","4 = Very much","5 = An extreme amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
