VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190301_Hemophilia,Do you have hemophilia?,DCW_190301.doc,encoded values,,,,,,,PhenX,PX190301010000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190301_Chemotherapy,Have you received cancer chemotherapy in the past four weeks or do you anticipate such therapy in the next four weeks?,DCW_190301.doc,encoded values,,,,,,,PhenX,PX190301020000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190301_Exclusion_Criteria,Exclusion Criteria,DCW_190301.doc,enumerated,,,,,,,PhenX,PX190301030000,,,,,Hemophilia,Received cancer chemotherapy in the last 3 weeks,None - proceed with blood draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190301_Blood_Draw_Done,Was blood drawn?,DCW_190301.doc,enumerated,,,,,,,PhenX,PX190301040100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190301_Blood_Draw_Sample,Was full sample obtained?,DCW_190301.doc,enumerated,,,,,,,PhenX,PX190301040200,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190301_Blood_Draw_Comments,"Record any comments about the blood draw, including any reasons for the tube not being drawn according to the protocol.",DCW_190301.doc,string,,,,,,,PhenX,PX190301040300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190301_Sample_Comments,Record any comments about the sample during processing.,DCW_190301.doc,string,,,,,,,PhenX,PX190301050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190301_Assay_Type_TTG,Record the type of assay used to perform the determination of tissue transglutaminase antibody.,DCW_190301.doc,string,,,,,,,PhenX,PX190301060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190301_Equipment_Make_TTG,Make of the equipment used to perform the determination of tissue transglutaminase antibody,DCW_190301.doc,string,,,,,,,PhenX,PX190301070100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190301_Equipment_Manufacturer_TTG,Manufacturer of the equipment used to perform the determination of tissue transglutaminase antibody.,DCW_190301.doc,string,,,,,,,PhenX,PX190301070200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
