"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Not_Able_Do_Things_Other_Kids_Do","Please circle the number indicating how stressful the following things have been for your child in the past 6 months. Not being able to do the things that other kids can do or are allowed to do","DCW_870702.doc","encoded values","","","","","","","PhenX","PX870702010000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Go_To_Hospital_often","Please circle the number indicating how stressful the following things have been for your child in the past 6 months. Having to go to the hospital or clinic so often","DCW_870702.doc","encoded values","","","","","","","PhenX","PX870702020000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Missing_School_Falling_Behind_Work","Please circle the number indicating how stressful the following things have been for your child in the past 6 months. Missing school days or falling behind in school work","DCW_870702.doc","encoded values","","","","","","","PhenX","PX870702030000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Concerns_Family_Friends","Please circle the number indicating how stressful the following things have been for your child in the past 6 months. Concerns about his/her family and friends","DCW_870702.doc","encoded values","","","","","","","PhenX","PX870702040000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Feeling_Confused_Why_Got_It","Please circle the number indicating how stressful the following things have been for your child in the past 6 months. Feeling confused about what sickle cell disease is and why he/she got it","DCW_870702.doc","encoded values","","","","","","","PhenX","PX870702050000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Not_Understanding_Doctors_Tell","Please circle the number indicating how stressful the following things have been for your child in the past 6 months. Not understanding what doctors tell him/her about sickle cell disease","DCW_870702.doc","encoded values","","","","","","","PhenX","PX870702060000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Having_Pain_Crises","Please circle the number indicating how stressful the following things have been for your child in the past 6 months. Having sickle cell pain crises","DCW_870702.doc","encoded values","","","","","","","PhenX","PX870702070000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Concerns_Future","Please circle the number indicating how stressful the following things have been for your child in the past 6 months. Concerns about the future","DCW_870702.doc","encoded values","","","","","","","PhenX","PX870702080000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Concerns_Future_Other","Please circle the number indicating how stressful the following things have been for your child in the past 6 months. Other:","DCW_870702.doc","encoded values","","","","","","","PhenX","PX870702090000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Concerns_Future_Other_Write","Please circle the number indicating how stressful the following things have been for your child in the past 6 months. Other (Specify):","DCW_870702.doc","string","","","","","ASK IF \"Please circle the number indicating how stressful the following things have been for your child in the past 6 months. Other:  \" = \"2\" OR \"Please circle the number indicating how stressful the following things have been for you in the past 6 months. Other:  \" = \"3\" OR \"Please circle the number indicating how stressful the following things have been for you in the past 6 months. Other:  \" = \"4\"","","PhenX","PX870702090100","","","","","","","","",",,,,,"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Circle_Control_Over_Problems","Circle the number that shows how much control he/she generally thinks he/she has over these problems.","DCW_870702.doc","encoded values","","","","","","","PhenX","PX870702100000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Try_Not_Feel_Anything","WHEN DEALING WITH THE STRESS OF SICKLE CELL DISEASE: He/she tries not to feel anything","DCW_870702.doc","encoded values","","","","","","","PhenX","PX870702110000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
"PX870702_Responses_Stress_Sickle_Cell_Disease_Parents_Feel_Sick_Stomach_Headaches","WHEN DEALING WITH THE STRESS OF SICKLE CELL DISEASE: When dealing with the stress of having sickle cell disease, he/she feels sick to his/her stomach or gets headaches","DCW_870702.doc","encoded values","","","","","","","PhenX","PX870702120000","","","","","1 = Not at all","2 = A Little","3 = Somewhat","4 = Very",",,,,,"
