"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX320101_Burden_Cancer_Employment_Diagnosis_Working_Pay_Business_Job","At any time from when you were first diagnosed with cancer until now, were you working for pay at a job or business?","DCW_320101.doc","enumerated","","","","","","","PhenX","PX320101010000","","","","","Yes","No","","","","","","","","",""
"PX320101_Burden_Cancer_Employment_Diagnosis_Working_Time_Off","At any time since your first cancer diagnosis, did you take extended paid time off from work, unpaid time off, or make a change in your hours, duties or employment status?","DCW_320101.doc","enumerated","","","","","ASK IF 'At any time from when you were first diagnosed with cancer until now, were you working for pay at a job or business?' = 'Yes'","","PhenX","PX320101020000","","","","","Yes","No","","","","","","","","",""
"PX320101_Burden_Cancer_Employment_Diagnosis_Extended_Time_Off","At any time since your first cancer diagnosis, did you ask for extended paid time off from work, unpaid time off, or a change in your hours, duties or employment status?","DCW_320101.doc","enumerated","","","","","ASK IF 'At any time since your first cancer diagnosis, did you take extended paid time off from work, unpaid time off, or make a change in your hours, duties or employment status?' = 'No'","","PhenX","PX320101030000","","","","","Yes","No","","","","","","","","",""
"PX320101_Burden_Cancer_Employment_Ask_Work_Changes","Did you ask for these work changes","DCW_320101.doc","enumerated","","","","","ASK IF 'At any time since your first cancer diagnosis, did you ask for extended paid time off from work, unpaid time off, or a change in your hours, duties or employment status?' = 'Yes'","","PhenX","PX320101040000","","","","","Because of your cancer, its treatment or its lasting effect","Some other reason?","","","","","","","","",""
"PX320101_Burden_Cancer_Employment_Make_Work_Changes","Did you make these work changes","DCW_320101.doc","enumerated","","","","","ASK IF 'At any time since your first cancer diagnosis, did you take extended paid time off from work, unpaid time off, or make a change in your hours, duties or employment status?' = 'Yes'","","PhenX","PX320101050000","","","","","Because of your cancer, its treatment or its lasting effect","Some other reason?","","","","","","","","",""
"PX320101_Burden_Cancer_Employment_Extended_Time_Off_Ever","Did you ever take extended time off from work (vacation, sick time and/or disability leave)? By extended time off, we mean more than an occasional day off here and there.","DCW_320101.doc","enumerated","","","","","ASK IF 'Did you make these work changes' = 'Because of your cancer, its treatment or its lasting effect'","","PhenX","PX320101060000","","","","","Yes","No","","","","","","","","",""
"PX320101_Burden_Cancer_Employment_Extended_Time_Off_When","When did you take extended paid time off from work?","DCW_320101.doc","enumerated","","","","","ASK IF 'Did you ever take extended time off from work (vacation, sick time and/or disability leave)? By extended time off, we mean more than an occasional day off here and there.' = 'Yes'","","PhenX","PX320101070000","","","","","At the time of diagnosis","During treatment","Less than on year after treatment was finished","One year or more after treatment was finished","","","","","","",""
"PX320101_Burden_Cancer_Employment_Extended_Time_Off_Length","What do you estimate was the total amount of extended paid time off from work that you took?","DCW_320101.doc","enumerated","","","","","ASK IF 'Did you ever take extended time off from work (vacation, sick time and/or disability leave)? By extended time off, we mean more than an occasional day off here and there.' = 'Yes'","","PhenX","PX320101080000","","","","","Less than 2 months","2 months to less than 6 months","6 months to less than 1 year","1 year to 3 years","More than 3 years","","","","","",""
"PX320101_Burden_Cancer_Employment_Extended_Time_Off_Ongoing","Is your extended paid time off from work ongoing?","DCW_320101.doc","enumerated","","","","","ASK IF 'Did you ever take extended time off from work (vacation, sick time and/or disability leave)? By extended time off, we mean more than an occasional day off here and there.' = 'Yes'","","PhenX","PX320101090000","","","","","Yes","No","","","","","","","","",""
"PX320101_Burden_Cancer_Employment_Unpaid_Time_Off_Ever","Did you ever take unpaid time off from work?","DCW_320101.doc","enumerated","","","","","ASK IF 'Did you make these work changes' = 'Because of your cancer, its treatment or its lasting effect'","","PhenX","PX320101100000","","","","","Yes","No","","","","","","","","",""
"PX320101_Burden_Cancer_Employment_Unpaid_Time_Off_When","When did you take unpaid time off from work?","DCW_320101.doc","enumerated","","","","","ASK IF 'Did you ever take unpaid time off from work?' = 'Yes'","","PhenX","PX320101110000","","","","","At the time of diagnosis","During treatment","Less than one year after treatment was finished","One year or more after treatment was finished","","","","","","",""
"PX320101_Burden_Cancer_Employment_Unpaid_Time_Off_Length","What do you estimate was the total amount of unpaid time off from work that you took?","DCW_320101.doc","enumerated","","","","","ASK IF 'Did you ever take unpaid time off from work?' = 'Yes'","","PhenX","PX320101120000","","","","","Less than 2 months","2 months to less than 6 months","6 months to less than 1 year","1 year to 3 years","More than 3 years","","","","","",""
"PX320101_Burden_Cancer_Employment_Unpaid_Time_Off_Ongoing","Is your unpaid time off ongoing?","DCW_320101.doc","enumerated","","","","","ASK IF 'Did you ever take unpaid time off from work?' = 'Yes'","","PhenX","PX320101130000","","","","","Yes","No","","","","","","","","",""
"PX320101_Burden_Cancer_Employment_Part_Full_Time_Change_Ever","Did you ever change from working part-time to working full-time?","DCW_320101.doc","enumerated","","","","","ASK IF 'Did you make these work changes' = 'Because of your cancer, its treatment or its lasting effect'","","PhenX","PX320101140000","","","","","Yes","No","","","","","","","","",""
"PX320101_Burden_Cancer_Employment_Part_Full_Time_Change_When","When did you change from working part-time to working full-time?","DCW_320101.doc","enumerated","","","","","ASK IF 'Did you ever change from working part-time to working full-time?' = 'Yes'","","PhenX","PX320101150000","","","","","At the time of diagnosis","During treatment","Less than one year after treatment was finished","One year or more after treatment was finished","","","","","","",""
"PX320101_Burden_Cancer_Employment_Part_Full_Time_Change_Length","What do you estimate was the total amount of time you worked full-time?","DCW_320101.doc","enumerated","","","","","ASK IF 'Did you ever change from working part-time to working full-time?' = 'Yes'","","PhenX","PX320101160000","","","","","Less than 2 months","2 months to less than 6 months","6 months to less than 1 year","1 year to 3 years","More than 3 years","","","","","",""
